,0
research,13096
plants,7162
production,6628
genetic,6514
development,6313
improved,6085
resistance,5851
system,5654
food,5452
disease,5277
plant,5162
base,5146
agriculture,4674
environment,4625
process,4623
data,4253
biological,3992
population,3874
molecular,3750
gene,3715
genes,3692
programs,3564
soybeans,3471
methods,3437
wheat,3384
technology,3356
goals,3311
water,3261
soil,3177
resources,3100
cereals,3010
testing,2873
trait,2868
proteins,2729
study,2667
stress,2667
seeds,2629
cost,2620
health,2607
novel,2603
work,2581
names,2571
modeling,2526
breeding,2524
human,2516
growth,2506
knowledge,2506
time,2496
tool,2465
source,2458
area,2437
response,2411
fabaceae,2411
economics,2389
training,2355
address,2330
rice,2319
pathogen,2258
genome,2246
industry,2236
risk,2232
universities,2209
role,2198
dietary,2114
nitrogen,2099
management,2092
affect,2079
genomics,2056
climate,2055
biology,2028
of,2020
,1990
farming,1981
feeding,1957
nutrient,1897
bean,1879
productivity,1874
science,1852
chemicals,1823
united,1792
and,1787
site,1787
states,1765
communities,1761
design,1733
techniques,1727
personnel,1707
student,1687
structure,1685
dna,1628
students,1615
marketing,1612
farmer,1601
future,1590
maize,1586
life,1579
insecta,1576
measures,1552
evaluation,1508
environmental,1505
carbon,1490
meetings,1443
expression,1433
vegetables,1420
roots,1414
performance,1409
engineering,1405
pathway,1398
property,1386
cell,1375
practice,1374
poaceae,1348
analysis,1341
animals,1328
educational,1290
seasons,1282
harvest,1275
nutritional,1257
laboratories,1257
interest,1255
scientist,1255
education,1243
complex,1234
potato,1230
high,1222
temperature,1208
lead,1198
genetics,1196
rotation,1195
fertilizers,1195
control,1188
variant,1188
droughts,1176
change,1141
virus,1138
biomass,1104
characteristics,1083
acids,1074
outcome,1062
protein,1056
monitor,1043
diet,1040
funding,1040
outreach,1009
collection,1006
phenotype,986
oils,981
collaborations,980
bacteria,976
ecosystem,974
models,967
sampling,962
diseases,954
genotype,951
maps,948
regulation,940
family,939
cells,937
individual,931
pesticides,925
rna,924
international,912
interactions,911
services,899
microbial,897
biochemical,896
model,872
gossypium,868
graduate,867
fiber,857
experience,851
school,848
signal,845
leaves,835
link,834
safety,834
natural,830
physiological,828
play,824
gases,821
fungus,819
quality,816
marker,811
surface,811
impact,808
location,806
livestock,801
evolution,800
databases,798
transgenic,797
project,791
stem,781
grants,780
systems,771
innovation,768
pressure,767
in,762
economic,760
sequencing,759
prevent,755
pisum,753
pattern,752
generations,744
medical,743
reporting,741
sativa,736
foundations,725
learning,719
fruit,715
tissues,712
acid,712
hybrids,711
new,710
price,707
sativum,706
animal,705
ecology,705
organism,704
organisms,695
sequence,694
security,693
function,691
phase,687
operation,687
factor,687
effectiveness,686
award,683
resource,681
ensure,672
consumption,665
north,664
infection,663
insight,662
american,662
nuts,662
alfalfa,654
transduction,653
nutrition,653
avena,652
trees,634
dioxide,630
institution,628
density,627
growthdevelopment,625
fixation,622
behavior,621
web,621
success,620
markers,618
assay,617
member,617
mutant,612
staging,612
nature,612
insecticides,608
metabolic,606
irrigation,604
surveys,598
herbicides,590
industrial,588
fatty,587
workshop,585
grant,578
falls,577
related,573
microbe,573
computer,573
recommendation,573
barley,571
mediating,571
investigation,570
aphids,565
information,563
event,563
air,562
liquid,558
methodology,558
tomatoes,556
modification,555
adoption,555
measurement,554
relative,554
quantitative,553
specialties,552
sugar,551
accounting,550
person,548
ethanol,547
substance,546
fusarium,545
metabolism,544
movement,540
disorder,536
to,533
simulation,532
country,530
cattle,530
light,526
grain,524
greenhouse,518
publications,517
community,514
rural,512
chemistry,509
sorghum,508
comparative,504
screening,501
generation,494
insect,494
activity,493
california,493
fungicide,492
physiology,491
drug,490
physical,489
detection,488
next,488
enzymes,487
social,486
supply,484
loci,483
procedures,482
nematoda,482
undergraduate,480
postdoctoral,474
arachis,472
faculty,465
virulence,463
heating,461
south,461
documentation,458
career,457
peanuts,454
hypogaea,450
bioinformatics,450
income,447
functional,440
societies,440
mutation,438
arabidopsis,436
dakota,436
texas,435
head,432
weather,428
solutions,427
series,426
equipment,425
fellow,424
communication,422
soy,422
protocols,420
effective,418
equilibrium,417
fertility,415
mission,414
rhizobium,414
tolerance,410
minority,409
genomic,405
small,404
weight,402
symposium,401
fruits,400
institutes,399
uptake,395
decision,394
toxin,394
prevention,393
procedure,392
immune,391
america,389
host,389
transcription,388
factors,387
starch,387
college,386
manure,386
alleles,385
pest,385
injury,381
elements,380
predisposition,377
order,376
hand,375
energy,374
coupled,374
amino,373
reaction,372
publishing,372
rye,371
cereal,371
biotechnology,368
habitats,367
viral,366
adopted,366
instructing,365
processing,361
strategies,361
mycotoxins,361
recording,361
medicago,361
sound,360
maintenance,357
image,357
wasting,357
receptor,356
previous,356
events,356
coleoptera,356
support,354
cancer,354
blood,353
flowers,353
set,353
recovery,351
reproductive,350
schools,350
symbiosis,350
infrastructure,347
agricultural,346
adult,344
vector,343
output,343
oats,342
variation,342
guidelines,341
program,340
vulgaris,340
excision,337
beef,335
carbohydrates,333
diagnostic,333
chemical,330
field,328
architecture,328
policies,327
policy,325
chromosome,322
minerals,322
sensor,321
candidate,320
value,320
mentors,319
chromosomes,318
viruses,316
exhibits,314
lentils,314
nurseries,313
vitro,313
participant,312
positioning,309
microorganism,308
government,308
face,308
seedling,306
inbreeding,306
materials,306
imaging,306
attribute,305
solid,304
software,302
race,300
use,299
cycle,299
complement,298
incidence,297
chromatography,296
spottings,296
cloning,295
domestic,295
parents,295
phosphorus,295
petroleum,294
malignant,294
experimental,293
public,292
state,292
skills,291
transmission,291
dose,291
mass,289
making,288
deposition,288
intervention,288
reproduction,286
africa,286
fowls,286
approach,284
phaseolus,284
county,283
mapping,282
back,281
translating,280
land,278
intake,278
exposure,278
epigenetic,276
feed,275
outbreaks,273
resilience,273
discovery,271
molds,271
transcriptome,271
biochemistry,270
atmosphere,269
forest,268
tools,268
wisconsin,267
sales,267
defense,266
species,265
saccharum,265
age,265
biodiversity,265
milk,263
child,263
organ,262
photosynthesis,262
clinical,262
meat,261
attention,260
pollution,259
fermentation,258
arthropods,258
pathogenicity,257
mexico,257
teacher,257
binding,256
fossil,255
fuels,255
countries,255
interdisciplinary,254
membrane,252
florida,252
shapes,252
nebraska,251
global,251
dependence,251
zea,251
mechanics,250
fertilization,250
trend,250
european,250
michigan,249
stages,249
mississippi,248
nodule,248
effect,247
regeneration,247
businesses,246
crops,246
amendment,246
obesity,243
aflatoxins,243
lipids,243
carolina,242
chronic,241
germination,241
nut,241
internet,239
geographic,238
genomewide,238
iron,238
tissue,237
specificity,237
recruitment,237
grapes,236
resolution,236
anabolism,235
profiling,235
journals,235
antioxidants,234
radiation,234
fostering,233
genus,233
glycerol,233
phylogenetic,232
sciences,231
helianthus,229
update,229
agents,228
color,228
bacterial,228
glycine,228
apple,228
iowa,228
algorithms,228
housing,227
epidemiology,227
arts,226
esters,226
pacific,225
stream,224
rivers,224
precipitation,224
fishes,222
polymers,222
mechanism,221
sodium,221
planetary,221
underrepresented,221
product,220
clover,220
sector,219
dynamics,219
therapeutic,219
flour,218
toxic,218
length,217
asia,217
discipline,217
recombinants,216
interaction,216
treatment,214
particle,214
profile,214
preservation,214
woman,214
oil,214
peer,213
theories,213
arkansas,212
laboratory,212
fitness,212
secure,211
diagnosis,211
consumer,211
egg,211
feeds,210
online,210
adaptation,210
group,209
polymorphism,208
truncatula,208
biocontrols,207
statistics,207
products,207
investments,207
aspergillus,205
residual,204
assessment,204
perception,203
preparation,203
left,203
idaho,202
vivo,202
indexing,202
washington,202
proteomics,201
morphology,201
pollen,201
tobacco,201
northwest,201
neoplasms,201
eating,200
spectrum,198
general,198
virginia,197
basic,197
silage,197
object,196
cyst,196
awareness,195
metals,195
curriculum,194
minnesota,194
developing,194
review,193
colorado,193
instrument,193
transfer,192
inhibitorantagonist,191
mosaic,191
heart,191
label,190
benefit,188
louisiana,187
sample,187
brassica,186
suidae,186
illinois,186
method,185
oxygen,184
feedback,184
chloride,183
kansas,181
pathology,181
oryza,180
cessation,180
nitrates,179
repository,179
glyphosate,179
microscopy,179
phytochemical,178
organic,178
symptoms,178
controlled,178
digestion,177
transportation,177
sweet,177
epidemic,176
code,176
home,176
culture,175
prevalence,175
almond,174
association,174
interference,174
nuclear,173
cellular,173
physiologic,173
female,173
developmental,172
reliance,172
immunity,171
driving,171
phytophthora,171
application,170
analyses,170
grasslands,170
running,170
ammonia,170
fellowship,169
flexibility,169
mays,169
therapy,169
devices,168
bread,168
brain,168
transcript,167
validation,167
literature,166
mining,166
behavioral,166
cooking,166
chromatin,165
sclerotinia,165
diabetes,165
york,165
formulations,164
yeasts,164
commercialization,164
pulse,164
wall,164
oxide,164
analytical,163
effects,163
asians,163
severities,162
material,162
china,162
midwestern,162
beta,160
angiosperms,160
savings,160
instrumentation,160
computing,160
availability,159
internships,159
antimicrobial,158
freezing,158
oklahoma,158
transgenes,157
parasites,157
schedule,157
habits,157
occupations,156
infections,156
floods,156
minor,155
magnetic,155
honey,155
frequencies,155
body,154
dental,154
nucleotide,154
pathogenic,154
hybrid,153
mellitus,153
cellulose,153
cold,152
wind,152
killings,152
type,152
vegetable,151
specialist,151
hormones,150
transcriptomics,150
multidisciplinary,150
patients,150
african,149
visit,149
neoplasm,149
gluten,148
skin,148
adverse,148
the,147
reading,147
sensory,147
single,147
vitamin,147
computerized,147
soybean,147
remote,146
maker,146
larva,146
methylation,146
applied,146
relationship,145
sensing,145
laws,145
drainage,145
male,145
hypersensitivity,145
pathogenesis,144
preparations,144
medicine,144
regulator,144
statistical,144
lignin,144
studies,143
mathematics,143
texture,143
bees,142
joints,142
tumor,142
montana,141
wide,141
missouri,141
carrots,141
regulators,140
electronics,140
fly,140
resonance,140
kinetics,139
principal,139
disorders,139
restoration,139
absorption,138
birds,137
costs,137
height,136
energygenerating,136
automobile,136
protection,136
combat,135
heat,135
americas,135
whole,135
zinc,135
ruminants,134
flavoring,134
oral,134
wood,134
canada,134
trifolium,134
mouseear,133
cress,133
targeting,133
investigator,133
silencing,132
calories,132
scheme,132
conservation,132
physics,132
compost,132
disasters,131
molecule,131
sources,131
outcomes,131
pharmaceutical,131
glucose,130
mathematical,130
benefits,130
mutagenesis,129
native,129
prototype,129
requirements,129
europe,129
cardiovascular,128
diploidy,128
private,127
uncertainty,127
illness,127
partner,127
ozone,126
groups,126
business,126
syndrome,125
chain,125
agency,125
recycling,125
kidney,125
libraries,124
descriptor,124
pennsylvania,124
archives,124
optics,124
peach,124
citrus,124
arizona,124
atmospheric,124
allergens,124
fungal,123
oregon,123
algae,123
rain,123
university,123
peptides,122
virulent,122
simulate,122
quarantine,122
knockout,122
supplementation,121
region,121
longevity,121
national,121
spectroscopy,121
gastrointestinal,121
nematode,121
industrialization,121
southeastern,121
scale,120
malt,119
rapid,119
preference,119
paper,119
incentives,119
bone,119
computers,118
randomized,118
abstracting,118
metabolomics,118
biocompatible,118
warming,118
situ,118
vectors,117
strawberries,117
personal,117
allergic,117
pennisetum,116
cues,116
budgets,116
intestines,116
americans,115
service,115
moths,115
nutritive,115
acute,114
messenger,114
recombination,114
locations,114
sorting,114
regulatory,114
lolium,114
ohio,114
salmonella,114
formulation,114
calcium,114
vitamins,113
death,113
facility,113
classification,113
leadership,113
stressor,113
mites,113
transport,113
flavus,112
weevils,112
nitrous,112
pesticide,112
positional,111
cities,111
manufacturer,111
name,111
dissection,111
silicon,111
genbank,110
museums,110
visual,110
insurance,110
invaded,110
infiltration,110
burn,110
pharmacologic,110
plastics,110
exercise,110
infant,110
peptide,109
database,109
forestry,109
enhancement,109
parasitic,109
status,108
antibodies,108
microbiology,108
activities,107
center,107
computational,107
for,107
probability,107
institute,107
enzyme,106
vascular,106
professor,106
welfare,106
pheromone,106
mus,106
max,106
writing,105
philosophy,105
side,105
beets,105
liver,105
mouse,105
kentucky,104
powder,104
micronutrients,104
inflammatory,104
structures,104
brazil,104
dimensions,104
demand,104
a,103
history,103
inflammation,103
indigenous,103
care,103
technique,102
onions,102
potassium,102
microbiome,102
northern,101
translations,101
fire,101
antibiotics,101
psychology,101
nanoparticle,101
processes,101
bacillus,101
vigor,101
sinorhizobium,101
cynodon,100
inventories,100
micrornas,100
edible,100
breast,100
capital,99
mildew,99
imagery,99
migration,98
categories,98
defect,98
alabama,98
spinach,98
microscopic,97
tennessee,97
lettuce,97
cabbage,97
route,96
vulgare,96
satisfaction,96
lectures,96
geography,96
3dimensional,96
foodborne,96
networks,95
npalmitoylgalactosylsphingosine,95
biomarker,95
digital,95
methane,95
efficacy,95
interview,95
rumen,95
antiinflammatory,95
deoxynivalenol,94
doctor,94
hour,94
