,PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
0,1099868, Academia; Althaea; Area; Crotalus; Education and Outreach; Foundations; Gardenal; Geological Survey; Government; Knowledge; Louisiana; Names; natural resource conservation; Pisum sativum; Plant Roots; Plants; Privatization; Records; Seeds; Services; Specimen; stem,"USE OF THE PRAIRIE GARDEN AND PLANT MATERIAL CENTER TO COLLECT, PROPAGATE, AND MAINTAIN BREEDER BLOCKS AND GARDEN SPECIMENS OF LOUISIANA PRAIRIE AND WETLAND ECOTYPES",EPA,EPA,,R829584C006,2/1/2002,1/31/2007,"STACY, GUS","FORD, MARK A",,,MCNEESE STATE UNIVERSITY,,,,,,,,2002,,,"Existing breeder blocks of black wand root, cluster bushmint, rattlesnake master, hoary pea, marsh mallow, and little blue stem were maintained and seed was collected and forwarded to the Natural Resources Conservation Service (NRCS) Plant Material Center in Golden Meadow, Louisiana.The objectives of the conservatory are to: (1) collect, propagate, and maintain breeder blocks of Louisiana ecotypes for outreach education; (2) collect, propagate, and maintain breeder blocks of Louisiana ecotypes for prairie re-establishment; (3) develop foundational knowledge for future research concerning prairie conservation; and (4) enhance the ongoing, collaborative efforts of academia, government, and private agencies to reestablish the prairie.The objectives of the conservatory have been met for the first year. Breeder blocks were maintained for outreach education and plant material conservation. Records are being kept on species maintained in the breeder blocks and garden area as recommended by the NRCS and U.S. Geological Survey (USGS)."
1,1099822, Acids; Adhesives; Adult; Antibiotics; Bacteria; base; Behavior; Biological; Biological Assay; Bioreactors; Castor Oil; Characteristics; Chemicals; Dose; Engineering; Enzymes; Exhibits; fatty acid biosynthesis; Fatty Acids; Flour; Food; food quality; Formulation; Grain; Herbicides; In Vitro; Industrialization; Insecta; Insecticide Resistance; Insecticides; interest; Iron; Kentucky; Laboratories; Lubricants; Maize; methyl bromide; microorganism; Modeling; mortality; Names; Natural Products; novel; Oils; Order Coleoptera; Organism; Paint; Pesticide Residues; Pesticides; Petroleum; Phosphines; Plant Resins; Plants; Plasticizers; pressure; Production; Property; Research; Research Project Grants; Ricinus communis; Seeds; Source; Testing; Time; Tissues; Toxicology; United States; Universities; Vegetables; Vernonia; Weevils,BIOLOGICAL EFFECTS OF EPOXY FATTY ACIDS,EPA,EPA,,R829479C011,1/1/2003,12/31/2004,"SEDLACEK, JOHN D",,,71317788.0,KENTUCKY STATE UNIVERSITY,,,,,,,,2003,,,"This is a follow-on project to R829479C003. Stored-grain insect pests have traditionally been controlled with synthetic chemical insecticides or fumigants. Mounting public concern, however, over pesticide residues in food, increasing numbers of stored-grain and vegetable insect pest species exhibiting insecticide resistance, loss of methyl bromide, restrictions on phosphine, and most recently the Food Quality Protection Act of 1996, make it necessary to investigate novel management strategies including natural products. Several plants are known that naturally accumulate epoxy fatty acids in their seed oil. It is thought that plants have evolved this characteristic as a chemical defense. The impact, however, of such compounds on seed pests is not known. Also, there is interest in producing various epoxy fatty acids in bioreactors or engineered plants for multiple industrial uses. Some of these compounds might be useful new antibiotic compounds and the toxicological properties of those used for industrial purposes should be better understood. A considerable market currently exists for epoxy fatty acids, particularly for resins, epoxy coatings, and plasticizers. The current United States plasticizer market is approximately 2 billion pounds per year. Presently, most of this is derived from petroleum. In addition, there is industrial interest in the use of epoxy fatty acids in oil-based paints, lubricants and lubricant additives, adhesives, insecticides and insect repellants, crop oil concentrates, and the formulation of carriers for slow-release pesticides and herbicides. Although it has been widely hypothesized that there is evolutionary pressure for organisms to synthesize epoxy fatty acids as a chemical defense, the defensive properties of these compounds are largely unknown.The objective of this research project was to examine bioactivity of epoxy fatty acids on maize weevil, red flour beetle, sawtoothed grain beetle, and flour mill beetle. The specific objectives were to: (1) isolate epoxy fatty acids from suitable natural sources that are models for oilseed improvement such as Vernonia seeds; (2) produce other epoxy fatty acids using in vitro enzymes, microorganisms, and engineered plant tissues; (3) test the effects of these epoxy fatty acids on stored product insect pests and model bacteria; and (4) test the effects of these epoxy fatty acids on stored product insect pest behavior.Dr. David Hildebrand&rsquo;s laboratory at the University of Kentucky primarily was responsible for carrying out the research for objectives 1 and 2 and the bacterial component of objective 3, as well as some epoxy fatty acid biosynthesis studies. Dr. John Sedlacek&rsquo;s laboratory at Kentucky State University was responsible for the bioassays on storage insect pests in objective 3, as well as objective 4. We conducted replicated bioassays exposing maize weevil, sawtoothed grain beetle, red flour beetle, and flour mill beetle to three epoxy fatty acids extracted from iron weed, Vernonia galamensis, and two epoxy fatty acids derived from castor beans, Ricinis communis. Specifically, we quantified adult mortality and progeny production of these four stored grain beetle species at a dose of 30 times 103 ppm of vernonia oil, vernolate, vernolic acid, castor oil, and hydrolyzed castor oil. This dose is similar to the amount found in V. galamensis seeds."
2,584433, Anabolism; antiporter; Arabidopsis; Biochemistry; Biological Availability; Biomass; Broccoli - dietary; Calcium; Calcium Oxalate; Cells; Chickpea (food); Chlorophyll; Chromosome Mapping; cost effective; Coupled; Deuterium Oxide; Engineering; Fabaceae; Gene Expression; Genes; genetic regulatory protein; Homeostasis; Homologous Gene; Inbreeding; Individual; Investigation; Iron; iron (III) reductase; Kinetics; Label; Light; light intensity; Maps; Measures; Medicago truncatula; Metabolic; Methods; Minerals; Molecular; Mouse-ear Cress; Movement; mutant; Mutation; novel; N-terminal; Nutrient; Oxalates; Pathway interactions; Physiology; Pisum sativum; Plant Genes; Plant Roots; Plants; Plastids; positional cloning; Process; Proteins; Quantitative Trait Loci; Recombinants; Regulation; Role; Seeds; selenate; Shapes; Stable Isotope Labeling; Starch; Substrate Specificity; System; Technology; Time; Tissues; Tomatoes; Transgenic Organisms; uptake; Variant; Wheat; Yeasts,"PHYTONUTRIENT BIOCHEMISTRY, PHYSIOLOGY, AND TRANSPORT",USDA,ARS,,ARS-0408087,5/21/2004,3/31/2009,"UPCHURCH, DAN R",,22.0,,"CHILDREN'S NUTRITION RESEARCH CENTER (HOUSTON, TX)",HOUSTON,TX,77030,UNITED STATES,,,10.001,2004,,,"Objective(s): 1) Identify and characterize plant genes whose products are involved in root iron acquisition or phloem-to-seed delivery of iron, and assess their overall contribution to seed iron content; 2) Determine the biophysical mechanisms and molecular processes occurring within pods that regulate calcium movement into developing legume seeds; 3) Develop cost-effective methods for the intrinsic stable isotope labeling of plants for use in bioavailability studies; 4) Identify cod [calcium oxalate defective] mutant genes in Medicago truncatula by positional cloning; 5) Determine whether multiple pathways of oxalate biosynthesis exist in plants; 6) Determine the influence of light on calcium oxalate formation in plants; 7) Demonstrate the ability to alter nutrient uptake in plants by expression of CAX2 [calcium exchanger 2] variants in Arabidopsis and tomato; 8) Elucidate the regulation of CAX2; and 9) Characterize plants perturbed in CAX2 expression; 10) Identify and characterize Arabidopsis CAX2 homologs.Approach:1) Use diverse pea germplasm to assess the correlation between whole-plant iron partitioning, root iron reductase activity, and seed iron concentration; measure seed mineral concentrations in recombinant inbred lines of Arabidopsis thaliana and Medicago truncatula to identify quantitative trait loci associated with elevated iron content in seeds; conduct global gene expression studies with Medicago truncatula plants bearing mutations in known iron genes to identify new genes involved in iron homeostasis; 2) Measure and characterize calcium accretion in developing seeds of chickpea and measure individual components of calcium transit from pod wall to seeds; 3) Analyze selenate influx kinetics in wheat and broccoli roots and the timing of selenate administration, in order to optimize isotopic selenate incorporation in edible tissues; generate plants labeled with isotopic selenate, or with deuterium oxide, for collaborative bioavailability studies; 4) Use genetic mapping technologies coupled with molecular and transgenic complementation analysis to map and identify genes required for calcium oxalate formation; 5) Analyze metabolic precursors of oxalate, using mutants with altered oxalate levels, to determine the biosynthetic pathway of oxalate in Medicago truncatula; 6) Measure biomass, chlorophyll, starch, and oxalate levels of plants grown under differing light intensities, and use cytochemical investigations to assess the role of oddly shaped plastids present in oxalate accumulating cells; 7) Engineer modified versions of the Arabidopsis broad substrate specificity vacuolar antiporter CAX2 into Arabidopsis and tomato; measure mineral concentrations in tissues; measure transport capacity of variant proteins in both yeast and plant systems; 8) Identify novel regulatory proteins that interact with the N-terminal autoinhibitory sequence of CAX2; 9) Measure phenotypic changes in plants demonstrating an altered expression of the native CAX2 transporter; and 10) Clone and characterize CAX2 homologs in an attempt to understand functional and regulatory diversity among transporters."
3,584415, Address; bean; Breeding; Coupled; Development; Disease Resistance; Evaluation; Fusarium; Genetic; Genotype; Goals; improved; Insecta; Nematoda; nutrition; Pesticides; Plant Roots; Plants; Resistance; Rhizoctonia; Seeds; S-nitro-N-acetylpenicillamine; Soil; Techniques; trait; Vegetables,GENETIC IMPROVEMENT OF SWEETPOTATO AND SNAP BEAN FOR MULTIPLE PEST RESISTANCE AND NEW USES,USDA,ARS,,ARS-0408017,3/7/2004,10/31/2008,"JACKSON, D MICHAEL",,1.0,,VEGETABLE RESEARCH,CHARLESTON,SC,29414,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop new sweetpotato geneotypes with good horticultural and culinary qualities, suitable for new uses, with multiple pest and disease resistances. Develop white-seeded snap bean germplasm adapted to the southeastern U.S. with Rhizoctonia root rot resistance, high yields, and acceptable horticultural traits.Approach:This project is concerned with genetic improvement of two important vegetable crops, sweetpotato and snap bean, and development of sweetpotato genotypes for new uses. Two Agency goals are addressed - pesticide reduction and improved nutrition.  This project has the parental lines and current techniques needed to develop improved sweetpotatoes and snap beans. Classical plant breeding and marker selection techniques coupled with evaluations of desirable culinary traits will be used to develop enhanced sweetpotato lines that are resistant to Fusarium wilt, root knot nematodes, and soil insects.  In snap bean, single plant selections will be made to fix improved horticultural traits in Rhizoctonia resistant lines segregating for white seed with subsequent re-evaluation for retention of resistance and field evaluation of advanced breeding lines."
4,584484, Animal Model; Antioxidants; Cereals; Characteristics; Chronic Disease; Degenerative Disorder; Dietary Fiber; Digestion; Edible Plants; Effectiveness; Fabaceae; Fiber; Food; Food Processing; Fruit; Human; human subject; Insulin Resistance; Mesocricetus auratus; Metabolic; Modeling; nutrition; Obesity; physical property; Physiological; Plant Components; prevent; Process; soluble fiber; Unsaturated Fats,PROCESSING AND BIOTECHNOLOGICAL IMPROVEMENT OF FOODS TO PREVENT OBESITY RELATED AND OTHER DEGENERATIVE DISEASES,USDA,ARS,,ARS-0408538,6/4/2004,6/3/2009,"YOKOYAMA, WALLACE H",,8.0,,HEALTHY PROCESSED FOODS RESEARCH,ALBANY,CA,94710,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop processed foods that prevent insulin resistance, obesity related and chronic diseases, and assess their effectiveness in animal models.  Process and/or genetically enhance grains, legumes and fruits, and their under-valued co-products to increase the concentration or bioactivity of dietary fiber, antioxidants or other components that prevent obesity and related chronic diseases.Approach:The insulin resistance will be induced in the Syrian hamster model.  Soluble fiber and unsaturated fats prevent insulin resistance in this model.  The physical properties of fiber, the physiological, digestion and metabolic analysis of other nutrition components will be determined.  Antioxidant components of plant foods will be incorporated into processed foods and their ability to suppress markers of chronic disease will be evaluated in animal models and human subjects.  Similar characteristics will be evaluated by human panels. Formerly 5325-41440-003-00D and 5325-21430-009-00D(5/04)."
5,584405, base; bean; Biological Assay; Cell Wall; Characteristics; Chemicals; cooking; Cytoplasmic Granules; Dietary Fiber; Digestion; Disease Resistance; Effectiveness; Flavonoids; food quality; Genes; Genetic; improved; Inbreeding; Marketing; Microscopy; Molecular; Molecular Genetics; Mosaic Viruses; novel strategies; Nutritional; Nutritive Value; Oligosaccharides; Pathway interactions; Pigments; polymerization; Proteins; Recombinants; Relative (related person); Resistance; Seeds; Starch; Testing; trait,IMPROVED FOOD QUALITY IN DRY BEAN USING GENETIC AND MOLECULAR APPROACHES,USDA,ARS,,ARS-0407905,11/28/2003,10/31/2008,,,6.0,,SUGARBEET AND BEAN RESEARCH,EAST LANSING,MI,48824,UNITED STATES,,,10.001,2004,,,"Objective(s): Use adapted and un-adapted germplasm to enhance dry bean cultivars for desirable agronomic, cooking and nutritional traits.  Determine the inheritance and genetic basis of food quality traits to increase the efficiency of selection for improved canning quality characteristics using molecular-assisted selection.  Identify structural and chemical factors that may limit digestibility, cookability, and bioavailability of nutrients.  Isolate, identify and characterize seedcoat flavonoid compounds and relate the Mendelian genes controlling the flavonoids to the pathways by which these compounds are formed.  Determine the genetic variables controlling pigment leaching in black bean.Approach:Develop recombinant inbred lines (RILs) of various market classes of dry bean to identify genes involved with agronomic, nutritional, and cooking traits and use this information for germplasm enhancement and test the effectiveness of existing RAPD markers between market classes.  Ascertain the relative indigestibility of starch, dietary fiber, proteins, and oligosaccharides using digestion assays.  Determine the relative amounts of crystalline and retrograded starch using microscopy.  Determine mechanisms involved in cell wall polymerization and starch granule encapsulation.  Identify genetic factors influencing pigment leaching in black bean using novel approaches.  Isolate and identify flavonoid compounds from bean seed coats and relate them to the Mendalian genes controlling the biosynthetic pathway.  Use traditional approaches to incorporate disease resistance, particularly resistance to anthracnose and bean common mosaic virus, with enhanced food quality traits."
6,584486, Affect; Agriculture; Development; Domestic Fowls; Environment; Fabaceae; farmer; Fiber; Genes; Genetic; Genotype; Gossypium; improved; Industry; Investigation; Laboratories; Methods; Pattern; Performance; Pollution; Practice Management; Process; Production; Productivity; Property; Research; Resources; Risk; Rotation; Soil; Source; Sustainable Development; System; Technology; Textiles; trait; wasting; Water,ENHANCING THE SUSTAINABILITY OF COTTON PRODUCTION IN THE SOUTHEAST USA,USDA,ARS,,ARS-0408543,6/5/2004,1/12/2009,"BAUER, PHILIP J",,6.0,,COASTAL PLAIN SOIL WATER AND PLANT CONSERVATION RESEARCH,FLORENCE,SC,29501,UNITED STATES,,,10.001,2004,,,"Objective(s): 1) Optimize cotton production systems for the southeastern U.S.A. that incorporate soil conservation and sustainable technologies, such as winter cover crops, reduced tillage, and poultry waste. Subobjectives are (a) to develop improved management practices in cotton production systems that include poultry litter or materials derived from poultry litter; (b) assess the feasibility of using late-summer legumes for soil improvement in rotations with cotton; and (c) relate water use to within-canopy boll size and quality distribution in a conservation production system and determine how patterns of water use affect whole crop fiber quality of genotypes differing in genetic potential for fiber properties. 2) Identify sources of traits to improve cotton performance in production systems in the southeastern USA and introgress the associated genes into enhanced germplasm suitable to be made available to cotton breeders for variety development.Approach:Cotton production and processing are an important part of the economy of the southeastern U.S.A., and development of sustainable production systems and improved germplasm will be key to sustaining and enhancing the industry. We intend to conduct research that will result in improved cotton production systems that provide higher yield, improved fiber processing quality, and lessen risk of non-point source pollution to the environment. We will 1) identify management options and search for genetic traits that can be used to overcome factors that inhibit optimum productivity in conservation systems; 2) evaluate the agronomic and environmental value of potential resources (poultry litter and products extracted from litter; summer legume cover crops) available to growers in the southeast; and 3) evaluate genotypes and develop germplasm with enhanced fiber yield for profitable production and improved fiber properties for efficient yarn and textile processing into consumer acceptable products. Methods consist of field, greenhouse, and laboratory investigations. The expected benefits of this research are crop management systems with higher yield, more environment-friendly growing practices, and the development of germplasm with improved fiber properties which will benefit all segments of the cotton industry, including cotton farmers, agricultural supply companies, ginners, and mills."
7,584395, Address; Aflatoxins; Arachis hypogaea; Area; bean; cost; Costs and Benefits; density; Development; Disease; Disease Resistance; Economics; Equipment; Expert Systems; Farming environment; flexibility; Goals; Gossypium; improved; Industrial fungicide; Investments; Irrigation; Modeling; Pattern; Peanuts - dietary; Pesticides; Plants; Population; Procedures; Production; Pump; Research; Rotation; Savings; Schedule; Soil; Surface; System; Technology; Technology Transfer; technology/technique; Testing; Time; tool; Tube; Twin Multiple Birth; Universities; Vegetables; Water; Water Movements,DEVELOP AND TRANSFER IRRIGATED AND NON-IRRIGATED PEANUT MANAGEMENT SYSTEMS AND TECHNOLOGY,USDA,ARS,,ARS-0407399,10/22/2003,10/21/2008,"SORENSEN, RONALD B",,2.0,,PEANUT RESEARCH,DAWSON,GA,39842,UNITED STATES,,,10.001,2004,,,"Objective(s): Our overall goal is to develop sustainable management strategies for irrigated and non-irrigated peanut systems that will be economical for the peanut grower.  Our goal is to develop irrigated and non-irrigated cropping systems, management techniques and technology for peanut producing areas by accomplishing the following objectives:1:  Determine the yield and quality of peanut following the double cropping system of vegetable and cotton crops in an alternate year rotation when irrigated with Surface Drip Irrigation (SDI).2:  Determine crop management strategies for srtip tillage of peanut and cotton under SDI.3:  Develop SDI system technologies for peanut production cropping systems.Expand development of surface and subsurface irrigation systems and management strategies for rotational crop production, minimum tillage systems and reduced water use in peanuts. Research should determine the best plant populations/planting patterns for peanut in both irrigated and non-irrigated regimes.4.  Determine if furrow-diking improves soil moisture availability and reduces preharvest aflatoxin levels, determine the cost-benefits of adapting furrow diking to Southeast production systems, and improve current expert system models of farm management and irrigation scheduling.5.  Develop reduced cost cropping systems to address the feasibility of peanuts as a bio-diesel feedstock.Approach:A continuous peanut crop is not a viable system because of disease which will reduce crop yield and may increase pesticide inputs.  Cotton and/or corn rotated with peanut in alternate years does increase peanut yield compared with continuous peanut but still may not be economical for the grower.  The possibility of double cropping higher value vegetable crops (green bean and sweet corn) with a lower value field crop may be a sustainable cropping system.  Typically green beans and sweet corn are planted in single rows.  Research has shown that peanut has greater yield potential and disease suppression when planted in a twin row orientation.  If a grower goes to the expense of having a twin row planter for peanut, he would need to use that equipment on all crops instead of having two planters.  Therefore, vegetable and cotton crops will be planted at various plant densities with two row orientation.  Final yield results will be compared with traditional peanut rotations.  Strip tillage can be an effective management tool to reduce crop production costs.  However, strip tillage with peanut production has not shown a clear yield advantage over conventional tillage but has shown an advantage in reducing some diseases.  Unfortunately, yield increases and disease reductions are not consistent from study to study because of different peanut varieties, various cover crops, and management procedures.  Peanut varieties being released have better disease resistance than older varieties.  In university tests, theses varieties have performed well with little or no fungicide treatments which can be an economical savings to growers provided  pod yield is acceptable.  A relationship between strip tillage, peanut variety, and fungicide rate would be beneficial to all peanut growers.  This comprehensive project will incorporate six crop cover treatments, three peanut varieties, and three fungicide application rates to address the relationship between these variables when irrigated with subsurface drip irrigation.  Irrigation at appropriate times is essential to stabilize and insure peanut production of obtain high yield and quality.  One of the greatest advantages of using surface drip irrigation is that the system can be installed easily with low initial investment and provide flexible irrigation schedules without using large pumps and wells.  However, little research has been done to use surface drip irrigation in peanut production to increase peanut yield and quality, and no information is available to transfer this technology into peanut production to improve the grower's profit.  Irrigation systems will be installed that will have various drip tube spacing, crop rotations and water application rates.  Tests will be conducted to determine water movement, water use efficiency, crop yield, and economics of surface drip irrigation."
8,910262, Agreement; Agriculture; American; bean; Central American; Demographic Factors; Droughts; Economic Factors; Environmental Risk Factor; farmer; Farming environment; food security; In Situ; Mexico; Names; Pattern; pressure; Production; Rain; Research,GLOBALIZED CULTURE AND GLOBAL FOOD SECURITY: THE EFFECTS OF GLOBAL CULTURE AND TRADE ON <EM>IN SITU</EM> CONSERVATION OF CENTRAL AMERICAN BEAN LANDRACES,EPA,EPA,,FP916444,1/1/2004,12/31/2006,"KELEMAN, ALDER",,,43207562.0,YALE UNIVERSITY,,,,,,,,2004,74172.0,,"Rain-fed farms in southern Sonora, Mexico have long relied on the use of genetically diverse, drought-adapted crops. In recent decades, however, prolonged drought, competition with large-scale commercial agriculture, and the pressures of increasingly export-oriented agricultural markets encouraged by the North American Free-Trade Agreement (NAFTA) have severely impacted farmers&rsquo; practices and production capacity. The objectives of this research are to: (1) assess the persistence and/or disappearance of genetically diverse, native crops on small-scale farms in the region; and (2) identify relationships between patterns of crop persistence/disappearance and broader economic, environmental, and demographic factors."
9,584552, Affect; atmospheric carbon dioxide; Avena sativa; bean; Carbon; Carbon Dioxide; Climate; Droughts; Fertilizers; Gene Expression; Global Change; Growth; High temperature of physical object; Hypercapnia; Nitrogen; Oats; Physiological; Physiology; Practice Management; Relative (related person); response; Rotation; Soil; Soybeans; Stress; System; Time; Wheat,CROP AND WEED RESPONSES TO INCREASING ATMOSPHERIC CARBON DIOXIDE,USDA,ARS,,ARS-0409030,5/27/2005,5/20/2010,"BUNCE, JAMES A",,5.0,,CROP SYSTEMS AND GLOBAL CHANGE LABORATORY,BELTSVILLE,MD,20705,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine relationships between effects of elevated carbon dioxide on gene expression and physiological responses which increase the response of crop yield to atmospheric and climatic global changes.  Determine how changes in carbon dioxide concentration affect the relative competitiveness of crops and weeds.  Determine how elevated carbon dioxide affects relationships between fertilizer and weed management practices and crop yield and soil carbon sequestration.Approach:Crop and weed species will be grown at the current ambient concentration of carbon dioxide and at 1.5 times that concentration in field plots, using open top chambers, and in growth cabinets.  Changes in gene expression, physiology, and the growth of crops will examined at ambient and elevated concentrations of carbon dioxide in combination with high temperature stress, drought stress, and competition from weeds.  Soybeans, common beans, spring wheat, oats and some weed species will be examined for genotypic differences in responsiveness to carbon dioxide concentration.  Invasive and non-invasive weed species will be compared for responses to rising atmospheric carbon dioxide.  Impacts of elevated carbon dioxide on yield responses to nitrogen fertilizer will be determined in a corn, wheat, soybean crop rotation system. The effect of elevated carbon dioxide on soil carbon sequestration will be examined in two no-till cropping systems."
