,PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
0,584631, Address; Affect; Ambrosia; Attention; base; Data; Ecology; Ecosystem; feeding; Goals; Growth; Guidelines; Habitats; Herbicides; improved; Knowledge; knowledge base; Life Cycle Stages; Link; mathematical model; Measurement; Measures; Microbe; microbial; Millet; Minor; Modeling; Plants; Population Density; Population Growth; Predatory Behavior; Process; Production; Research; Seedling; Seeds; Soil; Soybeans; spatiotemporal; System; Taxon; Technology; Variant; Vegetables; Work,BIOLOGICALLY AND ECOLOGICALLY BASED KNOWLEDGE FOR INTEGRATED WEED MANAGEMENT SYSTEMS,USDA,ARS,,ARS-0409450,4/6/2005,2/18/2010,"CHEE SANFORD, JOANNE CHIN",,0.0,,GLOBAL CHANGE AND PHOTOSYNTHESIS RESEARCH,URBANA,IL,61801,UNITED STATES,,,10.001,2005,,,"Objective(s): 1) Gain knowledge of the ecology of important weeds in vegetable and agronomic crops to understand fundamental principles affecting weed emergence, growth, interference, seed production, and crop yield and quality; 2) Investigate biotic and abiotic factors linked to seed predation and microbiological activities regulating weed seed and seedling survival in soil ecosystems; and 3) Identify effective combinations of weed management components through application of new and existing knowledge and technology that exploit useful plants, natural enemies, and environmental interactions. The objectives will address the need to develop new strategies that include more efficient use of herbicides combined with increased use of alternative, biologically based weed management for agroecosystems.Approach:Processes that regulate weed population density will be investigated, with particular focus on spatiotemporal variation in demographic parameters and population growth rates at multiple levels of scale.  As a means of unifying observations, whole life cycles of weeds will be the unit of study whenever possible.  Important microbial seed bank relationships will be identified along with the underlying mechanisms of interactions between microbes and weed seeds.  Factors that control these interactions and natural plant defenses will be examined.  Long-term rates of weed seed loss due to predation will be measured and used to validate mathematical models that predict long-term predation rates from point measurements of seed predation.  Attention will be paid to cropping system effects on seed predation rates, with the goal of understanding how crop habitat affects the seed-feeding activity of different seed predator taxa.   Mechanisms underlying synergistic effects of combinations of weed management tactics on weeds will be examined within the context of both vegetable and agronomic production systems. Options for managing weeds in vegetables are limited, thus focused efforts using sweet corn as a model, along with application of the larger knowledge base gained from field corn and soybean studies, will be beneficial for minor crop systems.  A long-term goal of this work is to develop practical guidelines, supported by ecological understanding, for creating multi-tactic weed management systems that are effective, perform consistently, and use herbicides to tune, rather than drive the system.  Initially, the weed species of focus are giant ragweed, velvetleaf, giant foxtail, and wild proso millet.  This research will improve our understanding of fundamental factors associated with multi-trophic processes and interactions regulating weeds throughout their life cycles.  These data will contribute to systematic prediction of the impact of weeds on agronomic and vegetable crops, leading to more effective synergistic combinations of weed management tactics."
1,586660, Arachis hypogaea; Cynodon; Ethanol; Genetic Enhancement; genetic technology; Genotype; Hybrids; improved; Measures; Molecular Genetics; molecular marker; Peanuts - dietary; Pennisetum; Poaceae; Population; Production; Seasons; Techniques; trait,GENETIC ENHANCEMENT AND MANAGEMENT OF WARM SEASON GRASS SPECIES FOR FORAGE AND ALTERNATIVE USES,USDA,ARS,,ARS-0412630,9/18/2007,9/17/2012,"ANDERSON, WILLIAM F",,1.0,,CROP GENETICS AND BREEDING RESEARCH,TIFTON,GA,31793,UNITED STATES,,,10.001,2007,,,"Objective(s): To develop and evaluate bermudagrass, napiergrass, pearl millet, and rhizoma peanut for forage production and for alternative uses in the southeastern U.S.; to enhance bioenergy production from warm-season grasses; and to apply molecular genetic technology to improve grass species adapted to the southeastern U.S.Approach:Develop and select improved populations and germplasms of bermudagrass for forage, bioenergy, and turf; develop and select improved populations and germplasms of napiergrass for forage and bioenergy; develop and select improved populations, inbreds, and hybrids of pearl millet for forage, bioenergy, and wildlife; and select improved rhizoma peanut germplasms for forage.  Evaluate genotype and production effects on ethanol production from pearl millet; assess genotypic differences in bermudagrasses, napiergrass, and pearl millet for conversion to fermentable product or through thermochemical techniques to syngas; and improve selection efficiency for superior forage and cellulosic feedstocks.Measure genetic diversity within bermudagrass, napiergrass, and pearl millet using molecular markers; and identify associations of molecular markers in bermudagrass and pearl millet with traits important for forage or alternative uses."
2,92957, Agriculture; Arabidopsis; base; biological adaptation to stress; Biology; Breeding; Cell Cycle Regulation; Collection; comparative genomics; Complex; Containment; Data; Development; DNA Integration; DNA Markers; DNA Sequence Rearrangement; Face; Gene Expression; Genes; Genetic Recombination; Genomic Instability; Genomics; Growth and Development function; Hybrids; Industry; inhibitor/antagonist; innovation; Internships; Lead; Maintenance; Male Sterility; Metabolism; Millet; Minority; Mitochondria; mitochondrial genome; Molecular; mutant; Nebraska; Nuclear; Pathway interactions; Phenotype; Plant Genome; Plants; Plastids; Play; Pollen; Production; programs; Property; Recruitment Activity; Relative (related person); Role; Science; Seeds; Soybeans; statistics; Structure; Students; System; Tobacco; Tomatoes; Training; trait; Transgenes; Transgenic Organisms; Universities,TRMS: AN INTEGRATIVE STUDY OF PLANT MITOCHONDRIAL BIOLOGY,NSF,NSF,,0820668,9/1/2008,8/31/2011,"MACKENZIE, SALLY A","CHRISTENSEN, ALAN; WANG, DONG; ARRIETA-MONTIEL, MARIA; ELTHON, THOMAS",1.0,555456995,UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NE,68588-0430,UNITED STATES,,,47.074,2008,1420753.0,,"PI: Sally Mackenzie (University of Nebraska) CoPIs:  Alan Christensen (University of Nebraska), Tom Elthon (University of Nebraska), Dong Wang (University of Nebraska) Collaborator: Andrew Benson (University of Nebraska)Plant mitochondrial genomes have undergone a number of changes in their structure and maintenance properties that distinguish them from their mammalian counterparts.  Most plant genomes characterized to date are a complex collection of linear and circular interconverting molecules that display evidence of recombination, foreign DNA integration and changes in relative copy number.  These genomic activities are controlled by nuclear genes that can be manipulated in their expression to cause mitochondrial genome instability.  Using this approach in tomato, tobacco, millet, sorghum, soybean and Arabidopsis allows for cross-species comparison of mitochondrial genome disruption.  This project exploits this system to identify cellular and developmental pathways that are directly influenced by mitochondrial genome status, conserved across plant species, and evidenced by changes in plant phenotypes.  The central hypothesis of the project states that mitochondrial status in plants is integrated into discrete pathways for plastid development, pollen development, cell cycle control and particular plant stress responses.  The project provides unique entry to these pathway integration points by combining Arabidopsis mutant analysis and cross-species comparisons with mitochondrial and gene expression analysis.  While it has long been known that plant mitochondria play distinct roles in metabolism, growth and development, direct mitochondrial manipulations prior to this study were largely restricted to inhibitor studies with limited opportunity for extrapolation to whole plant phenotype.  Broader impacts of the study.  Plant mitochondrial genome rearrangement can lead to altered plant phenotypes of agricultural importance.  For example, these studies have already produced evidence of cytoplasmic male sterility, a trait useful in hybrid seed production and transgene containment, and of enhanced crop thermotolerance.  Both valuable traits are difficult to attain using conventional crop breeding approaches. With regard to training opportunities, the Center for Plant Science Innovation (PSI) at University of Nebraska sponsors an undergraduate summer internship program that integrates to the proposed project; through this program, four minority students have already been recruited into graduate programs in the past two years.  The PSI also directs the Nebraska Molecular Plant Breeding Graduate Program; this project sponsors at least two plant breeding students on the proposed project.  Currently, the US faces a critical shortage of plant breeders with cross-cutting expertise in field management of transgenic crops, DNA marker-based selection, statistics, and comparative genomics.  This project provides fertile ground for such training, in cooperation with plant breeders on campus and in industry.Project data will be accessible via http://psiweb.unl.edu/mackenzie/ and gene expression data released to ArrayExpress (http://www.ebi.ac.uk/microarray-as/ae/)."
3,100881, Agriculture; Appearance; Arabidopsis; base; Biological Models; Complement; DNA Double Strand Break; Evolution; Genes; Genetic Recombination; Genome; Genome Stability; insight; Location; Male Sterility; Millet; Minority; Mitochondria; mitochondrial genome; Modeling; Mutation; Nature; Nebraska; Nuclear; Pathway interactions; Plants; Positioning Attribute; prevent; Principal Investigator; Process; programs; Replication Initiation; Reproduction; reproductive; Research; RNA Interference; Scientist; Site; Soybeans; Students; Testing; Tobacco; Tomatoes; Training,NUCLEAR MECHANISMS THAT INFLUENCE MITOCHONDRIAL GENOME STABILITY,NSF,NSF,,0744104,3/15/2008,2/28/2011,"MACKENZIE, SALLY A","CHRISTENSEN, ALAN; ARRIETA-MONTIEL, MARIA",1.0,555456995,UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NE,68588-0430,UNITED STATES,,,47.074,2008,450000.0,,"The plant mitochondrial genome has acquired, during its evolution, several distinguishing features that are not well understood mechanistically or in evolutionary context.  One of these is a process of asymmetric (non-reciprocal) recombination that appears to directly influence plant reproduction.  Until now, our understanding of these processes has been hindered, in part, by the unavailability of effective model systems for investigating nuclear gene influence on the process.  The effects of three nuclear genes, MSH1, OSB1 and RECA3, have recently been analyzed on mitochondrial genome stability. RECA3 and MSH1 function in distinct but overlapping pathways, while OSB1 cooperates with MSH1, to regulate the appearance of specific recombination products in Arabidopsis mitochondria.  The principal investigators have recently shown that MSH1 functions similarly in tobacco, tomato, soybean and millet, but MSH1 RNAi knockdowns in these species also condition cytoplasmic male sterility. The principal investigators are now in a position to analyze the mitochondrial genome changes that occur when mutations in these nuclear genes permit normally rare recombination activity to occur at high frequency, and to compare the consequences of this recombination in multiple plant species. The central hypothesis is that MSH1, OSB1, and RECA3, together with specific breakage sites in the genome, represent components of an interacting network that operates in plant mitochondrial recombination-dependent replication initiation. The principal investigators propose that double-strand DNA breaks occur at specific locations within the mitochondrial genome to initiate recombination and replication, and that MSH1, OSB1 and RECA3 are involved in preventing recombination between repeats that are shorter than a few hundred bases. The principal investigators test these hypotheses by identifying double-strand breaks in repeated sequences, and in the Atp9, Atp6, CoxII and Rpl16 genes, in which there is evidence of recombination activity. This analysis is complemented by studies of inducible changes in tobacco, tomato, soybean and millet mitochondrial genomes that occur with MSH1 suppression and male sterility induction. This project will develop a unifying model for recombination-dependent replication of plant mitochondrial genomes, and provide insights into the mechanisms for the induction and suppression of cytoplasmic male sterility, a phenomenon of agricultural importance that leads, in nature, to the gynodioecious reproductive strategies of approximately 5% of world plant species. The minority student training opportunities associated with this proposal will involve alignment with the Young Nebraska Scientist (YNS) Program, in which an undergraduate YNS student will participate in this research each summer."
5,582859, base; Breeding; Carbohydrates; Cereals; Chromosome Mapping; Communities; Ethanol; Fatty acid glycerol esters; Fiber; Hybrids; improved; Knowledge; Maps; molecular marker; Outcome; Pennisetum; Performance; Production; Proteins; Technology,INTEGRATED APPROACHES TO IMPROVING ETHANOL PRODUCTION FROM PEARL MILLET A CROP FOR MARGINAL LANDS,USDA,NIFA,,2008-38814-04740,10/1/2012,9/30/2014,"SINGH, BHARAT P.","GARDNER, CASSEL; WANG, DONGHAI; CEBERT, ERNST; WILSON, JEFF D.;  DEVOS, KATRIEN M.;  GULIA, SURINDER KUMAR;  LIU, XUANLI",2.0,073459083,FORT VALLEY STATE UNIVERSITY,FORT VALLEY,GA,31030-4313,UNITED STATES,,,10.207,2008,499966.0,,"The project will have the following outcomes: 1. Knowledge and technology for converting alternative feedstocks to ethanol for biofuels and industrial uses will be generated. 2. Pearl millet hybrids with superior performance across multilocation trials will be identified for release and for use as ethanol feedstocks in the southeastern U.S. 3. Molecular markers associated with grain quality components (carbohydrate, protein, fat, fiber) and fermentability will be identified for use in breeding pearl millet. 4. A linkage map based on a commercial pearl millet hybrid will be developed and integrated into the composite pearl millet map used by the greater scientific community."
6,583323, base; Blast Cell; Chemicals; Complement; Data; Data Analyses; design; Disease; disorder control; DNA Sequence; Drosophila genus; Epidemic; Fungal Genes; fungus; Gene Expression; Gene Expression Regulation; Genes; Genetic; Genome; Goals; Growth; Human; Infection; Knowledge; Life Cycle Stages; Magnaporthe; Microarray Analysis; Microscope; Molds; mutant; novel; Nucleic Acids; Nutrient; Occupations; Organism; Oryza; Parasites; pathogen; Pathogenicity; Pennisetum; Pesticides; Plants; Poaceae; Reading; Research; Resistance; Rice; Role; Rye cereal; Slide; Small RNA; Sorting - Cell Movement; Starvation; Stretching; Surveys; Virulence,"A COMPREHENSIVE SURVEY OF SMALL RNA SPECIES IN THE RICE BLAST PATHOGEN, MAGNAPORTHE ORYZAE, AND THEIR ROLE IN PATHOGENICITY",USDA,NIFA,,2008-35319-04465,10/1/2012,9/30/2014,"DONOFRIO, NICOLE M","MEYERS, BLAKE C",0.0,059007500,UNIVERSITY OF DELAWARE,NEWARK,DE,19716-0099,UNITED STATES,,,10.203,2008,322190.0,,"Rice blast disease is caused by a fungus, and is one of the most economically important and destructive diseases of rice and related grasses, including barley, rye and pearl millet. Worldwide, this disease results in major epidemics and yield losses of rice. The utility of two historically important strategies for defeating the rice blast fungus, chemical pesticides and naturally occurring resistance in rice, is severely limited by the fungus' ability to overcome these strategies, rendering them ineffective. If we can pinpoint exactly how the fungus infects, grows within, and reproduces in its host plants, we can more accurately design novel disease control strategies. The ultimate goal of our project is to contribute knowledge towards understanding how the rice blast fungus infects its host plants. A successful infection of the host results from the fungus moving smoothly from one infective life cycle stage to the next, which can only be accomplished by careful control over the expression of its genes. There are several levels of gene control in many organisms ranging from humans to fruit flies. We will specifically target one of these levels, called small RNAs, in the rice blast fungus. Small RNAs are short stretches of nucleic acids that can `match' the sequence of specific genes within a genome. Extensive research on small RNAs has revealed that, along with other jobs, these tiny molecules can control whether a gene will be turned on or off; small RNAs represent a sort of `fine-tuning' mechanism for gene regulation. Thus far, little is known about small RNAs in filamentous fungi, particularly plant parasites; our study aims to fill in these gaps. To do this, we are using several approaches that complement each other; the first approach is genetic and involves `breaking' genes in the fungus that, based on their DNA sequences, might be involved in producing small RNAs. Once we have generated these mutants, we can see whether the small RNAs have disappeared, and what effect this has on growth of the fungus and its ability to infect host plants. Because small RNAs can control gene expression, we will look at expression of all fungal genes when small RNAs are gone (i.e. the mutants). What effect will a lack of small RNAs have on gene expression? What types of genes will be most effected? We can achieve this goal by using microarray technology; microarrays are microscope slides that contain every gene from our fungus. We will put the genetic complement from several of the mutants onto these slides, read the slides using a special scanner, and analyze the data; this data will tell us how genes change when small RNAs are no longer present. Finally, we will sequence small RNAs from the fungus under different environmental conditions, including wild type growth conditions, nutrient starvation, and while infecting the host plant. This will tell us quantity and type of small RNAs produced under different conditions. Together, these three approaches will provide a comprehensive survey into the roles of small RNAs- we will be able to see how they impact gene regulation of the fungus, and how this ties into growth and virulence."
7,587518, Aflatoxins; Alleles; Aspergillus flavus; base; Biochemical; Cereals; falls; feeding; Genes; Genetic; improved; Inbreeding; Insecta; Laboratories; Maize; Mastication; Molecular; Pennisetum; Physiological; Physiological Processes; Population; Predisposition; Production; Productivity; Quantitative Trait Loci; Resistance; resistance mechanism; Screening procedure; Source; Southeastern United States; Stress; sucking; Techniques; trait; Weevils,GENETIC IMPROVEMENT OF MAIZE AND PEARL MILLET FOR RESISTANCE TO INSECTS AND AFLATOXIN,USDA,ARS,,ARS-0412869,2/6/2008,2/5/2013,"NI, XINZHI",,1.0,,CROP GENETICS AND BREEDING RESEARCH,TIFTON,GA,31793,UNITED STATES,,,10.001,2008,,,"Objective(s): The long-term objective of this project is to develop corn and pearl millet germplasm with reduced aflatoxin contamination and insect damage in order to increase the productivity and quality of grains produced in the southeastern United States. Over the next five years we will: 1) Identify new sources of germplasm with resistance to Aspergillus flavus/aflatoxin contamination, and to multiple ear-feeding insect damage; 2) Determine  biochemical and physiological bases and associated key phenotypic traits conferring resistance/ susceptibility to chewing and piercing-sucking insects in corn and pearl millet germplasm; 3) Identify quantitative trait loci associated with reduced aflatoxin accumulation in corn; and 4)  Develop maize germplasm with desirable agronomic traits and reduced aflatoxin accumulation and increased resistance to ear-feeding insects for use in the Coastal Plain region.Approach: In comparison with molecular (gene to trait, or top-down) approach, a trait to gene (bottom-up) approach will be taken for this project.  Diverse (exotic and temperate) germplasm will be screened under field conditions for resistance to aflatoxin and insect pests (i.e., corn earworm, fall armyworm, maize weevil, and stink bugs).  Field-proven germplasm entries will be further evaluated for key unique phenotypic traits in relation to resistance mechanisms and underlying genetics using both conventional and molecular techniques.  Following rigorous field and laboratory screenings, selected germplasm will be further examined for biochemical and physiological bases that confer resistance to multiple insect pests and aflatoxin.  Insect resistance mechanisms in the selected corn and pearl millet germplasm will be categorized and the biochemical and physiological processes that confer certain insect resistance will be identified.  Segregating populations with resistance to aflatoxin contamination and multiple insect damage will be developed.  These new populations will serve as the sources of favorable alleles for ultimately developing aflatoxin- and insect-resistant corn inbred lines with elite agronomic traits, which will improve corn production under biotic and abiotic stresses in our region."
8,589762, Affect; Agriculture; Biochemical; Biology; Capsid; Communities; Cytology; Development; Disease; Economics; Environment and Public Health; Gene Expression; graduate student; Helper Viruses; Infection; interest; Millet; Molecular Biology; Mosaic Viruses; Movement; novel strategies; Panicum; Plant Viruses; Plants; Poaceae; Production; protein function; Research; Role; Source; System; tool; Training; United States; virus host interaction; Work,THE BIOLOGY OF SATELLITE PANICUM MOSAIC VIRUS (SPMV) AND IT'S HELPER VIRUS,USDA,NIFA,,0168279,2/20/2008,2/19/2014,"SCHOLTHOF, K.",,,078592789,TEXAS A &amp; M UNIVERSITY,LUBBOCK,TX,79409,UNITED STATES,,,10.203,2008,,,"Satellite panicum mosaic virus (SPMV) and its helper virus (PMV) provide a unique system to study virus-host interactions in economically important grasses including switchgrass and millet, an emerging crops for biofuels. We aim to characterize the SPMV CP by extensive and detailed analyses to include the cytology, molecular biology, and biochemical roles of the SPMV CP. SPMV provides a truly novel strategy to approach little known biochemical features that regulate capsid and movement protein functions in host plants. This work also holds the potential to contribute to the scientific and economic interests in developing switchgrass and other native grasses for biofuel production. If such plants are to become robust source material for green energy it will be crucial that we understand the diseases that affect switchgrass in the field. Further study of SPMV CP and its role in PMV infections of native grasses, may result in useful gene expression tools. In addition, the historical context of plant virus research in the United States to further our understanding of the development of the field and its implications for agriculture, the environment, and public health. As in the past, undergraduate and graduate students from diverse backgrounds will be trained and involved in disseminating the research results to the scientific community and public at large."
9,592377, Alcohols; Dependence; Domestic Fowls; Droughts; Farming environment; Food; Future; Genotype; Income; Industry; Manure; Millet; Petroleum; Phosphorus; Plants; Poaceae; Soil; Sorghum vulgare; Source; Transportation; Weight,"DIVERSE GRASS SPECIES AS POTENTIAL SOURCES OF BIOFUEL, PHOSPHORUS HYPERACCUMULATION AND THEIR IMPACTS ON SOIL ORGANIC MATTER DYNAMICS",USDA,NIFA,,0213910,4/28/2008,9/30/2013,"DADSON, R.",,,082611302,UNIVERSITY OF MARYLAND EASTERN SHORE,PRINCESS ANNE,MD,21853-1295,UNITED STATES,,,10.205,2008,,,"Various millets, sudangrass and switchgrass genotypes will be studied for their ability to produce high dry weight and conversion to biofuel (alcohol). Identification of grass genotypes that are non-food sources for high potential to give alcohol will not only provide alcohol for the transportation industry, and hence, reduce our dependence on imported petroleum oils for fuel, but also help to remove some of the high phosphorus from farm lands due to over application of poultry manure in the Delmarva region. The grasses to be grown in the Delmarva region are known to have high tolerance to drought; thus, they will be a most profitable addition to the sources of farm income in the Delmarva drought prone region. Future biofuel extraction plants will also have a ready source of feedstock."
10,688198, base; Biomass; Chromosome Mapping; Chromosomes; Development; Foundations; Future; Genetic; Genome; Genomics; improved; Institutes; Joints; Molecular; Physiological; Plant Model; Production; Relative (related person); research study; Technology; tool,"DEVELOPMENT OF GENOMIC & GENETIC TOOLS FOR FOXTAIL MILLET, & USE OF THESE TOOLS IN THE IMPROVEMENT OF BIOMASS PRODUCTION FOR BIOENERGY CROPS",USDA,NIFA,,2008-35504-04851,9/1/2014,8/31/2015,"BENNETZEN, JEFF","DEVOS, KATRIEN M",10.0,004315578,UNIVERSITY OF GEORGIA,ATHENS,GA,30602-0000,UNITED STATES,,,10.5,2008,750000.0,,"Foxtail millet, Setaria italica, has the full set of attributes that will make it a model plant for basic and applied studies, particularly for its close relatives like switchgrass, an important bioenergy crop. Foxtail millet has small and simple chromosomes that will be sequenced this year by the DOE's Joint Genome Institute (JGI). This sequence will enormously enhance further study and understanding of the genetic basis of biomass production, but it will only be fully useful if additional technologies are developed for use in foxtail millet. This proposal describes experiments to improve the genetic and genomic toolkit for foxtail millet, and thus assist with the assembly of the foxtail millet genomic sequence, anchor the sequence to the genetic map and lay the foundation for future molecular, developmental, physiological and genetic studies."
