,PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
0,584455, Avena sativa; biosecurity; Breeding; Cereals; Characteristics; computerized data processing; Development; Epidemiologic Studies; epidemiology study; Food; Hardness; Insect Proteins; Insecta; instrumentation; Measurement; Methods; Molds; mutant; Mycotoxins; Oats; Oils; Plastics; Procedures; programs; Property; Proteins; Risk; Sampling; sensor; Sorting - Cell Movement; Starch; System; Techniques; Technology; Toxin; trait; Wheat,OBJECTIVE GRADING AND END-USE PROPERTY ASSESSMENT OF SINGLE KERNELS AND BULK GRAIN SAMPLES,USDA,ARS,,ARS-0408432,9/25/2004,7/5/2009,"PEARSON, THOMAS CLARK",,,,ENGINEERING AND WIND EROSION RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop instrumentation and procedures for objective grading, on-line quality measurement, sorting, and correlation of grade and quality measurements of single kernels and bulk samples to end-use properties of cereal grains and their products.Approach:Develop rapid sensing and sorting technology for single kernel 'micro' traits such as GMO's, protein quality, starch quality, toxins, potential biosecurity issues, and traits important for evaluating grain for non-food uses (fuel, plastics, etc).  Specific projects will include: development of high-speed (>100 kernels/s) sorting techniques for separating corn kernels infested with various molds, including mycotoxin producing molds; and develop methods to detect mutant corn kernels for enhancement of breeding programs. Develop rapid (~1 kernel/s) sensing and sorting technology for single kernel 'macro' traits such as hardness, moisture content, oil, starch, class, internal insects, and protein, especially for grains other than wheat (sorghum, corn, oats, etc).   Specific projects will include: development of a single kernel characterization system to help predict milling yield in corn and wheat; and use of advanced signal processing from various sensors to rapidly and automatically detect moldy and insect damaged kernels.Develop techniques to predict end-use characteristics, and to determine the accuracy and impact of these predictions.  This includes studying the synergy of combining multiple measurements, evaluating sampling plans, assessing risk of various methods, conducting epidemiological studies, etc."
1,584473, Amendment; Avena sativa; base; Biochemistry; Biological Effect of Chemicals; Economics; Environment; expectation; falls; Fertility; flexibility; food quality; fruits and vegetables; Gossypium; Guidelines; Health; Health Food; improved; Insect Control; Insecta; Irrigation; Knowledge; Light; Marketing; Microbe; microbial; Nutrient; Oats; particle; Phase; plant growth/development; Plants; Population; Practice Management; Production; Productivity; programs; Protocols documentation; Research; research study; Rotation; Schedule; Scientist; Soil; Stress; System; Vegetables; Vicia; Water; Weevils,SUSTAINABLE AND ORGANIC MANAGEMENT OF SELECTED FRUITS AND VEGETABLES,USDA,ARS,,ARS-0408493,7/1/2004,6/30/2009,"ZIBILSKE, LARRY M",,15.0,,INTEGRATED FARMING AND NATURAL RESOURCES RESEARCH,WESLACO,TX,78596,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop ways to improve organic production systems and to provide guidelines and knowledge for conversion of conventional systems to organic systems.  Comparisons of soil and plant health and food quality between the two systems will be made.  Research protocol will accommodate the expectation that certain problems will arise in the field program that will require more fundamental experiments to facilitate the understanding of the organic system.  As boll weevil research diminishes, research emphasis will be focused on cotton pests and insect pests on other crops grown in the Cotton Belt. Develop new economically and environmentally beneficial production strategies for organic vegetable production. Develop protocols that correlate to regional market demands and accommodate introduction of a new sweet corn cropping phase into current cover crop-cash crop rotations being evaluated. Quantify the chemical and biological effects of compounds in organic amendments or those derived from cover cropping that influence plant development and growth. Determine the optimum fertility management practices for sweet corn that promote soil quality and provide flexibility for growers to transition to a new cropping sequence. Assess the possible impacts of soil amendments and/or cover crops under study by other unit scientists, on insect pest populations and damage to the crop. Quantify the physical effects of cover crop residues and other soil management practices on sweet corn light interception and water use efficiency.Approach:Improve soil organic matter content, available plant nutrients, soil health and productivity through a variety of cover cropping systems (such as summer cover crops, sorghum and cowpea; and fall cover crops - black oats and hairy vetch).  Modify soil environment by different cover crops and assess changes in distribution and activity of microbes in the soil and rhizosphere, and their impact on plant growth and development. Develop management strategies, such as use of particle-based reflectant materials, microbial inoculants, mulches, and irrigation scheduling to reduce abiotic and biotic stress in order to improve yield and quality in fruit and vegetable crops. Examine effects of soil and water conditions on the biochemistry of the plant influencing the host plants' vulnerability and the pests' capacity to cause economic crop loss. Integrted practices will be developed for organic sweet corn that promote soil health, provide acceptable levels of weed and insect control, and synchronize sweet corn production with regional market demands."
2,584471, base; Biochemical; Caliber; Calibration; Cataloging; Catalogs; Cereals; Color; Development; Drug Formulations; Environment; Environmental Impact; Ethanol; Fermentation; Flour; Food; food marketing; Food Processing; food quality; Gluten; Hardness; High Pressure Liquid Chromatography; improved; Insecta; instrument; Kansas; Knowledge; Lactic acid; Measures; Methods; Molds; Nebraska; novel strategies; Oxidation-Reduction; physical property; Plants; Process; Production; protein protein interaction; Proteins; Research Personnel; Sampling; small molecule; sound; Starch; System; Techniques; Texas; trait; Weather; Weight; Wheat,ENHANCED END USE QUALITY AND UTILIZATION OF SORGHUM GRAIN,USDA,ARS,,ARS-0408488,10/1/2004,9/30/2009,"BEAN, SCOTT",,,,GRAIN QUALITY AND STRUCTURE RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine relationships between sorghum grain physical properties including hardness, diameter, and kernel weight, protein and starch composition and processing quality and identify sorghum biochemical components related to food functionality and bio-industrial uses such as ethanol production.  Use knowledge of these components to improve the quality and yields of bio-industrial materials and the quality and functionality of sorghum flour which will facilitate development of new, high quality foods, especially for the gluten free food market.Approach:New slope and bias curves for measuring hardness, diameter, weight and moisture of sorghum grain by the SKCS will be determined for more accurate characterization of sorghum using the SKCS.  Differences in protein content and composition of isolated hard and soft endosperm fractions will be determined.  Sample sets to be used for relating processing quality to protein content and composition will be collected.  Samples varying in pericarp color, presence of testa layer, plant color, and kernel attributes for analysis of grain color compounds, phenolics, and other small molecules will be collected. Techniques for extracting and analyzing sorghum color compounds by HPLC and HPLC-MS will be developed.Multi-instrument SKCS comparisons and calibrations with researchers in Kansas, Nebraska, and Texas will be completed.  The effect of environment on protein content and composition of isolated hard and soft endosperm fractions will be determined.  Wet milling, dry milling, extrusion and fermentation quality of selected sorghum lines will be conducted.  Color compounds, phenolics, and other small molecules in sorghum from weathered and sound grain; evaluate grains for markers of insect and fungal damage and infestation will be characterized and cataloged.Exotic germplasm will be evaluated for desirable processing traits (e.g. ethanol yield).  GxE stability of processing quality in sorghum lines showing desirable processing traits will be evaluated.  Impact of compounds found in sorghum grains as a result of weathering, mold, insects, or fungal invasion on food and processing quality will be determined.  Processing methods to reduce or eliminate impact of environmental damage will be investigated.Improved techniques for extracting and analyzing sorghum proteins will be developed.  Methods for extracting and purifying sorghum proteins for industrial and food applications will be determined.  Formulations for the production of wheat free sorghum foods from batter type systems will be optimized.Optimization of batter type product formulations for production of wheat free sorghum based foods will be continued.  Visco-elastic dough formation in artificial sorghum protein-starch dough systems will be investigated and changes to sorghum proteins during mixing will be elucidated and compared to wheat proteins during mixing.  Methods for disruption of sorghum protein bodies in sorghum flour to free proteins for interaction during mixing will be developed.  Starch and protein content and composition from diverse sorghum lines will be determined and related to ethanol and lactic acid yields.               The extent of protein-protein interaction and protein-starch interaction in artificial sorghum dough systems will be determined.  Methods for the use of reduction-oxidation systems to form a visco-elastic dough directly from sorghum flour will be developed.  Sorghum proteins and starch will be modified to improve functionality in food.  Pre-treatment methods for altering protein and starch composition in sorghum for improved ethanol and lactic acid yields will be developed."
3,584562, base; Biological Assay; Cabbage - dietary; Chemicals; Chromatography; Clover; Collection; field study; Genotype; Growth; Guidelines; Habits; Killings; Knowledge; Life; Measures; plant growth/development; Plants; Procedures; rapid technique; research study; Role; Surveys; Vegetables; Watermelon,BIOLOGICALLY BASED WEED MANAGEMENT FOR VEGETABLE CROPS,USDA,ARS,,ARS-0409104,6/7/2005,5/20/2010,"HARRISON JR, HOWARD F",,1.0,,VEGETABLE RESEARCH,CHARLESTON,SC,29414,UNITED STATES,,,10.001,2005,,,"Objective(s): Investigate the role of plant growth habit and allelopathic potential on weed suppression by cole crops, sweetpotato, and watermelon, and identify vegetable crop genotypes that are competitive against weeds.  Investigate the use of living and killed cover crop mulches in combination with other control measures for weed management in cole crops and sweetpotato.  Select aggressive growth habit cowpea genotypes that are most suited for use as weed suppressive cover crop varieties.Approach:Develop and use bioassay experiments to identify allelopathic and non-allelopathic cole crop and watermelon genotypes.  Evaluate allelopathic and non-allelopathic lines in field and greenhouse experiments to assess the importance of allelopathic potential on weed suppression by the crops.  Utilize bioassay guided extraction and chromatography procedures to isolate allelopathic substances for identification by collaborating chemists.  Develop rapid techniques to identify allelopathic genotypes using bioassays or simple chemical analyses.  Survey watermelon and sweetpotato germplasm collections and identify accessions with aggressive, weed suppressing growth habit.  Assess the impact of growth habit on weed interference in greenhouse and field studies.  Use the knowledge attained from studies on the effect of allelopathy and growth habit on weed suppression to develop guidelines for use by plant breeders to develop genotypes that are less susceptible to weed interference.  Evaluate highly allelopathic sweetpotato lines for yellow nutsedge suppression in field and greenhouse studies.  Evaluate ladino clover mulch for weed suppression in sweetpotato and cowpea-sorghum cover crop mulch for weed suppression in collard and cabbage.  Compare the weed suppressing ability of several cowpea genotypes in field and greenhouse experiments in order to select those most suited for use as cover crops."
4,584587, Affect; atmospheric carbon dioxide; bean; Carbon Dioxide; Cereals; controlled environment chamber; Development; enzyme activity; Gases; Genes; Growth; Heat Stress Disorders; Heating; High temperature of physical object; Human; interest; Maize; Measurement; Mediating; Metabolic; Metabolism; nutrition; Oxygen; Pathway interactions; Photosynthesis; Phytochemical; Plant Leaves; Plants; Pollen; Procedures; reproductive; reproductive development; Reproductive Process; response; Seeds; Soybeans; Staging; Starch; Sucrose; sugar; Temperature; Testing; Tissues; Water,"IMPACTS OF RISING ATMOSPHERIC CARBON DIOXIDE AND TEMPERATURE ON CROP GROWTH, REPRODUCTIVE PROCESSES, YIELD, AND SEED QUALITY",USDA,ARS,,ARS-0409167,1/20/2005,1/19/2010,"ALLEN JR, LEON H",,2.0,832132463.0,THE CHEMISTRY RESEARCH SOLUTIONS LLC,GAINESVILLE,FL,32608,UNITED STATES,,,10.001,2005,,,"Objective(s): Identify mechanisms of heat tolerance at ambient and elevated CO2 among cultivars of soybean, dry bean, grain sorghum, and maize showing different pollen development, reproductive growth, yield, and seed quality sensitivities to heat stress. Determine if yield failures under high temperatures are mediated by low oxygen in reproductive tissues. Determine photosynthetic mechanisms of C4 plant responses to increased CO2, and to increased CO2 under elevated temperatures and/or water deficit.Approach:Selected soybean, sorghum, and maize cultivars will be grown at current doubled CO2 in Gainesville ambient and +4.5 Celsius sections of temperature-gradient greenhouses to identify heat tolerant cultivars. For grain sorghum and maize in sunlit controlled-environment chambers, procedures will be used to identify heat-sensitive points in pollen sugar transport and/or starch metabolism, and to identify genes that are sensitive to heat in the sucrose'starch pathway in developing pollen. Microprobes will be used to determine oxygen in soybean and dry bean pods and seeds as affected by temperature and ambient oxygen. Seeds produced from all studies will be analyzed for phytochemicals of interest for human nutrition. Measurements of leaf gas exchange, enzyme activities, and metabolic products will be used to test hypotheses that positive C4 plant response to high CO2 results from enhanced photosynthesis in early stages of leaf development."
5,584616, Affect; Agriculture; Area; atmospheric carbon dioxide; Biological; Carbon; Carbon Dioxide; Clover; Data; Development; Ecosystem; Gases; Global Change; greenhouse gases; Growth; Hemp; Measures; microbial community; neglect; Nitrogen; Nutrient; Pattern; Physiology; plant growth/development; Plant Roots; Practice Management; Process; Production; Productivity; Property; Research; Role; Rotation; Soil; Soybeans; Structure; System; Uncertainty; water quality; Wheat,GLOBAL CHANGE AND BELOWGROUND PROCESSES IN AGRICULTURAL SYSTEMS,USDA,ARS,,ARS-0409372,3/22/2005,3/21/2010,"PRIOR, STEPHEN A",,3.0,,SOIL DYNAMICS RESEARCH,AUBURN,AL,36832,UNITED STATES,,,10.001,2005,,,"Objective(s): Reduce uncertainty regarding: (1) the effects of rising atmospheric carbon dioxide concentration on crop and pasture production; and (2) the role of agronomic ecosystems in the sequestration of atmospheric carbon dioxide as organic carbon in soils, as well as the release of carbon dioxide and other greenhouse gases from soil, as affected by agricultural management practices. Specifically, determine effects of carbon dioxide on belowground processes which affect crop productivity, soil physicochemical/biological properties, carbon/nutrient cycling, and trace gas efflux from soil.Approach:Two-year rotational cycles of sorghum and soybean will be maintained under two cropping systems: conventional, using tillage without cover crops; and conservation, using no-till with winter cover crops in rotation (wheat, crimson clover, and sunn hemp). Each cropping system will be grown under current and projected levels of atmospheric carbon dioxide. In addition, a Southeastern pasture system study, using bahiagrass exposed to these carbon dioxide levels, has been initiated. Carbon flux to plants (growth, physiology, and yield) and soil will be determined with supporting data on soil physicochemical properties. Emphasis will be given to measuring soil carbon storage, root development patterns, characterizing the rhizosphere, and trace gas efflux from soil. The relationships of nitrogen to carbon dynamics and to water quality will be examined. Root growth, decomposition, and microbial community structure will be quantified in respect to carbon flow. The effects of carbon dioxide on agronomic systems is a critical, yet neglected, area of research. Integrating data from these studies will help provide a mechanistic understanding of the potential of agronomic systems to mitigated global change via sequestration of atmospheric carbon dioxide in soil."
6,584636, Aphids; base; Biology; Breeding; Cereals; Decision Support Techniques; Ecology; Evolution; Genetic; Genome; improved; Knowledge; Laboratories; Monitor; Natural Resistance; North America; Plants; Poaceae; Population; Practice Management; programs; remote sensing; Reproduction; research study; Role; Structure; System; Techniques; Testing; tool; United States; Variant; Wheat,BIOLOGICALLY BASED CEREAL APHID MANAGMENT,USDA,ARS,,ARS-0409469,4/7/2005,3/25/2010,"BURD, JOHN D",,4.0,,WHEAT PEANUT AND OTHER FIELD CROPS RESEARCH,STILLWATER,OK,74075,UNITED STATES,,,10.001,2005,,,"Objective(s): Improve integrated pest management (IPM) practices for cereal aphids in wheat, sorghum, and barley in the United States by developing knowledge and tools to enhance the role of host plant resistance and natural enemies in crop management strategies.  This will involve: (1) developing fundamental knowledge of the biology and ecology of cereal aphids; (2) developing an understanding of how aphid biotypic variation is generated and maintained; (3) determining the population breeding structure of cereal aphids in North America and its relationship to evolutionary/genetic basis for aphid biotypes; and (4) developing principles, techniques, and decision support tools for managing cereal aphids and their natural enemies.Approach:Field and laboratory experiments will be conducted to: (1) characterize the biotypic composition of greenbug populations occurring on non-cultivated hosts; (2) assess the role of grass species associated with cereal cropping systems in harboring pest aphids and their natural enemies; (3) monitor and characterize the biotypic structure of Russian wheat aphid populations on cultivated and non-cultivated hosts; (4) characterize holocyclic reproduction in the Russian wheat aphid and its role in biotype evolution; (5) determine the degree of genetic variation and the breeding structure of the Russian wheat aphid populations in the United States; (6) determine the genome size and organizational complexity of the Russian wheat aphid; (7) develop and test a natural enemy threshold for Coccinellidae against the greenbug in winter wheat; (8) develop airborne multi-spectral remote sensing techniques for monitoring greenbug infestations in wheat; and (9) develop computer programs to deliver pest management programs."
7,584726, Address; Adoption; Arachis hypogaea; Cereals; Coupled; Data; Decision Support Systems; design; economic impact; Economics; Emerging Technologies; Environmental Wind; Equation; Feedback; Gossypium; Harvest; Humidity; improved; Industry; International; Irrigation; Marketing; Measurement; Methods; Peanuts - dietary; Policies; Population; Practice Management; Precipitation; Process; Production; Relative (related person); Rotation; Sampling; Services; Soil; Surface; System; Technology; Technology Transfer; Temperature; Testing; Texas,"IRRIGATION, CROP ROTATION AND TILLAGE TECHNOLOGIES AND DECISION SUPPORT SYSTEMS FOR PEANUT PRODUCTION",USDA,ARS,,ARS-0409995,9/21/2005,1/22/2009,"LAMB, MARSHALL C",,2.0,,PEANUT RESEARCH,DAWSON,GA,39842,UNITED STATES,,,10.001,2005,,,"Objective(s): Objective 1: Compare the impact of multiple irrigation methods at varying application amounts on profitability, yield, and quality of peanuts and selected crops grown in rotation with peanut.Objective 2:  Compare conservation tillage systems and conventional tillage systems with respect to different irrigation requirements to maximize profitability in a typical Southeastern crop rotation.  Cover crop selection and management with regard to irrigation efficiency and pest populations will be an integral component, especially in the conservation tillage systems.     		Objective 3:  Develop and improve decision support systems to expedite technology transfer and adoption of emerging technologies related to peanut and other crop production.Objective 4:  Quantify the post-harvest impacts of irrigation method and application amount and emerging management technologies on the marketability, demand, and competitiveness of U.S. peanuts (and other crops) in domestic and international markets.Objective 5:  Improved irrigation efficiency through the use of conservation tillage in West Texas peanut and cotton production systems.Approach:Three irrigation methods will be compared, (sprinkler, sub-surface drip, surface drip), three irrigation rates (100%, 66%, 33%), and a non-irrigated control in six replicated rotation sequences including peanuts, cotton, corn, and grain sorghum.  The design of these projects will provide direct comparisons to quantify the production and economic impacts of irrigation technologies for the selected crops.  Plot data (precipitation, irrigation, soil temperature, soil moisture, wind speed and direction, and relative humidity) will be gathered. Data and information on production practices will be recorded and logged data.  Samples from each replication within each treatment will be obtained for post-harvest quality analysis to relate production and management conditions to peanut yield, quality, and economic returns.  Compare conservation tillage systems and conventional tillage systems with respect to different irrigation requirements to maximize profitability in a typical Southeastern crop rotation.  Cover crop selection and management with regard to irrigation efficiency and pest populations will be an integral component, especially in the conservation tillage systems.   Samples from each replication within each treatment will be processed consistent with industry standards for grading, shelling, and marketing.  Federal State Inspection Service standards and yield data will be used to determine value per ton and value per acre.  Samples will be shelled and processed utilizing commercial standards for peanut processing.  Shelling efficiency measurements (technical and economic) will provide data on the impact of pre-harvest management practices through subsequent market channels.  Economic efficiency of processing coupled with relevant peanut policy will provide data relating pre-harvest management practices to the final demand and competitiveness of U.S. peanut in domestic and international markets.  This vertical systems approach will provide feedback through the market system to enhance the overall marketability of U.S. peanuts.  The hypotheses will be tested by utilizing demand equations at subsequent processing levels and marketing segments of the industry incorporated with changes in processing efficiency resulting from each production practice.    Hypotheses tested will address the impact of production practices (mainly irrigation and tillage) on post-harvest product quality, processing efficiency, and demand."
8,584804, Acids; Alleles; Aluminum; ATP phosphohydrolase; base; Beryllium; Cereals; Cloning; Complex; Drug Metabolic Detoxication; Food; gene function; Gene Proteins; Genes; Genomics; Goals; Heavy Metals; Homeostasis; improved; Indium; Investigation; Maize; Maps; Metals; Micronutrients; Minerals; Molecular; Mouse-ear Cress; novel; nutrition; Phenotype; Physiological; Physiology; Plants; Play; Production; Property; protein expression; Protein Kinase; Quantitative Trait Loci; Resolution; Role; Soil; solute; System; Thlaspi; trait; Variant; Wheat; Work,GENOMIC APPROACHES TO IMPROVING TRANSPORT AND DETOXIFICATION OF SELECTED MINERAL ELEMENTS IN CROP PLANTS,USDA,ARS,,ARS-0410401,4/10/2006,9/30/2010,"KOCHIAN, LEON V",,26.0,,PLANT SOIL AND NUTRITION RESEARCH,ITHACA,NY,14853,UNITED STATES,,,10.001,2006,,,"Objective(s): 1) Identify genes and associated physiological mechanisms for aluminum tolerance in the important cereal crop species, maize and sorghum, with the long-term goal of improving crop production on acid soils. 2) Describe molecular and physiological mechanisms of heavy metal/micronutrient tolerance and transport in the metal hyperaccumulator, Thlaspi caerulescens, and evaluate how these gene systems can be used for phytoremediation of metal-contaminated soils and for enhancing micronutrient nutrition of food crops.Approach:1) Sorghum represents plant species where Al tolerance is a simple trait. We have recently cloned the major sorghum Al tolerance gene, AltSB, and found it is a novel solute transporter. The function of AltSB will be studied using a multifaceted approach including the effect of increased/decreased AltSB expression on the physiology of Al tolerance, association analysis correlating sequence and phenotypic variation of multiple AltSB alleles, and analysis of AltSB transporter properties when expressed in heterologous systems. 2) Maize represents a  plant species where Al tolerance is a complex, quantitative trait. We have identified a number of Al tolerance QTL in maize, and will work towards cloning these QTL via a combination of gene and protein expression analysis, high resolution mapping, and analysis of candidate tolerance genes based on homology to Al tolerance genes recently cloned in sorghum and wheat. 3) An investigation of the role of hyperexpression of a suite of micronutrient and heavy metal-related genes in heavy metal hyperaccumulation in Thlaspi caerulescens will involve investigation of cis and trans factors that control micronutrient (Zn) homeostasis in the related non-accumulator, Arabidopsis thaliana, and how these elements are altered in T. caerulescens to contribute to the enhanced metal accumulation and tolerance. 4) We have recently identified several genes that play important roles in the hyperaccumulation phenotype in T. caerulescens, including a heavy metal ATPase and a protein kinase, and the functioning of these genes in heavy metal hyperaccumulation, as well as in micronutrient nutrition will be studied."
9,584845, Animal Model; Architecture; Cereals; Chemicals; Development; external ear auricle; gene cloning; gene function; Gene Fusion; Genes; Genetic; Histologic; Maize; Maps; Mutagenesis; Mutagens; mutant; Plant Leaves; Plants; positional cloning; Positioning Attribute; Proteins; Rice; Staging; System; Testing; Transgenic Organisms; vector; Wheat,POSITIONAL CLONING IN MAIZE OF GENES THAT REGULATE PLANT ARCHITECTURE,USDA,ARS,,ARS-0410649,4/1/2006,9/30/2010,"HAKE, SARAH C",,8.0,,PLANT GENE EXPRESSION CENTER,ALBANY,CA,94710,UNITED STATES,,,10.001,2006,,,"Objective(s): Objective 1: To map and characterize leaf mutants in maize.Objective 2: To positionally clone genes that regulate plant architecture in maize.Objective 3: To determine the function of genes through transgenic tests.Approach:Maize is an important crop as well as a model organism for other cereals such as sorghum, barley, rice and wheat. The large number of genetic mutants, in combination with the ease of obtaining and mapping additional mutants, makes maize an excellent system for determining the function of genes. We propose to identify genes that regulate maize leaf development and shoot architecture. We will carry out mutagenesis with defined inbreds using the chemical mutagen EMS. Mutants will be characterized genetically and histologically. The genes will be mapped to position and cloned. The functions will be determined by expression analysis and further genetics. We already have two mutants at different stages of analysis. The dominant Liguleless narrow mutant has been mapped to position and beginning characterization is under way. The dominant Wavy auricle in blade1 (Wab1) mutant has been localized to a BAC contig. Once we clone Wab1, we will determine the function of the wild-type gene product. In order to follow expression of the genes we clone, we have developed a vector for gene fusions. We are presently testing this vector with the liguleless1 gene. REPLACES 5335-21000-018-00D (4/06).  BSL 1; 2/19/08."
