PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
584433, Anabolism; antiporter; Arabidopsis; Biochemistry; Biological Availability; Biomass; Broccoli - dietary; Calcium; Calcium Oxalate; Cells; Chickpea (food); Chlorophyll; Chromosome Mapping; cost effective; Coupled; Deuterium Oxide; Engineering; Fabaceae; Gene Expression; Genes; genetic regulatory protein; Homeostasis; Homologous Gene; Inbreeding; Individual; Investigation; Iron; iron (III) reductase; Kinetics; Label; Light; light intensity; Maps; Measures; Medicago truncatula; Metabolic; Methods; Minerals; Molecular; Mouse-ear Cress; Movement; mutant; Mutation; novel; N-terminal; Nutrient; Oxalates; Pathway interactions; Physiology; Pisum sativum; Plant Genes; Plant Roots; Plants; Plastids; positional cloning; Process; Proteins; Quantitative Trait Loci; Recombinants; Regulation; Role; Seeds; selenate; Shapes; Stable Isotope Labeling; Starch; Substrate Specificity; System; Technology; Time; Tissues; Tomatoes; Transgenic Organisms; uptake; Variant; Wheat; Yeasts,"PHYTONUTRIENT BIOCHEMISTRY, PHYSIOLOGY, AND TRANSPORT",USDA,ARS,,ARS-0408087,5/21/2004,3/31/2009,"UPCHURCH, DAN R",,22.0,,"CHILDREN'S NUTRITION RESEARCH CENTER (HOUSTON, TX)",HOUSTON,TX,77030,UNITED STATES,,,10.001,2004,,,"Objective(s): 1) Identify and characterize plant genes whose products are involved in root iron acquisition or phloem-to-seed delivery of iron, and assess their overall contribution to seed iron content; 2) Determine the biophysical mechanisms and molecular processes occurring within pods that regulate calcium movement into developing legume seeds; 3) Develop cost-effective methods for the intrinsic stable isotope labeling of plants for use in bioavailability studies; 4) Identify cod [calcium oxalate defective] mutant genes in Medicago truncatula by positional cloning; 5) Determine whether multiple pathways of oxalate biosynthesis exist in plants; 6) Determine the influence of light on calcium oxalate formation in plants; 7) Demonstrate the ability to alter nutrient uptake in plants by expression of CAX2 [calcium exchanger 2] variants in Arabidopsis and tomato; 8) Elucidate the regulation of CAX2; and 9) Characterize plants perturbed in CAX2 expression; 10) Identify and characterize Arabidopsis CAX2 homologs.Approach:1) Use diverse pea germplasm to assess the correlation between whole-plant iron partitioning, root iron reductase activity, and seed iron concentration; measure seed mineral concentrations in recombinant inbred lines of Arabidopsis thaliana and Medicago truncatula to identify quantitative trait loci associated with elevated iron content in seeds; conduct global gene expression studies with Medicago truncatula plants bearing mutations in known iron genes to identify new genes involved in iron homeostasis; 2) Measure and characterize calcium accretion in developing seeds of chickpea and measure individual components of calcium transit from pod wall to seeds; 3) Analyze selenate influx kinetics in wheat and broccoli roots and the timing of selenate administration, in order to optimize isotopic selenate incorporation in edible tissues; generate plants labeled with isotopic selenate, or with deuterium oxide, for collaborative bioavailability studies; 4) Use genetic mapping technologies coupled with molecular and transgenic complementation analysis to map and identify genes required for calcium oxalate formation; 5) Analyze metabolic precursors of oxalate, using mutants with altered oxalate levels, to determine the biosynthetic pathway of oxalate in Medicago truncatula; 6) Measure biomass, chlorophyll, starch, and oxalate levels of plants grown under differing light intensities, and use cytochemical investigations to assess the role of oddly shaped plastids present in oxalate accumulating cells; 7) Engineer modified versions of the Arabidopsis broad substrate specificity vacuolar antiporter CAX2 into Arabidopsis and tomato; measure mineral concentrations in tissues; measure transport capacity of variant proteins in both yeast and plant systems; 8) Identify novel regulatory proteins that interact with the N-terminal autoinhibitory sequence of CAX2; 9) Measure phenotypic changes in plants demonstrating an altered expression of the native CAX2 transporter; and 10) Clone and characterize CAX2 homologs in an attempt to understand functional and regulatory diversity among transporters."
584463, Affect; Biochemical; Bread; Breeding; Carbohydrates; Chemicals; cooking; Environment; Flour; Generations; Genetic; Gluten; Individual; Legal patent; Process; programs; Property; Sampling; special interest group; Starch; Stream; trait; Wheat,ENHANCE HARD SPRING AND DURUM WHEAT QUALITY AND UTILIZATION,USDA,ARS,,ARS-0408465,9/10/2004,7/5/2009,"HARELAND, GARY A",,0.0,,CEREAL DISEASE RESEARCH,FARGO,ND,58102-2765,UNITED STATES,,,10.001,2004,,,"Objective(s): Evaluate the processing and end-use quality of hard red spring and durum wheat as a function of genetics and environment; investigate similarities and differences in quality traits and gluten strength properties among flour mill streams that affect patent flour; evaluate the influence of pasta processing on the carbohydrate components of semolina, extruded dough, and spaghetti; and identify and characterize unique traits of waxy HRS and durum wheat and determine how these traits affect milling and baking.Approach:Evaluate the quality of spring and durum wheat cultivars that will be submitted by Federal, State, and private breeders, and special interest groups.  Wheat samples will be obtained from early-generation and advanced breeding lines, including commercial cultivars as controls that typify various breeding programs.  Compare the physical and biochemical quality traits among individual flour mill streams/cv/rep that impact dough and bread baking quality in order to identify mill streams that can be used to make superior blends of patent flour.  Examine the physical and chemical changes taking place in the starch and other carbohydrate components during milling, pasta processing, and spaghetti drying and cooking.  Condition waxy HRS and durum wheat lines and cultivars of non-waxy HRS, durum, and soft white wheat for milling and adjust the milling conditions to optimize product yield.  Determine the effect of 0% to 30% waxy HRS or durum wheat flour on staling properties of bagels under controlled storage studies."
584455, Avena sativa; biosecurity; Breeding; Cereals; Characteristics; computerized data processing; Development; Epidemiologic Studies; epidemiology study; Food; Hardness; Insect Proteins; Insecta; instrumentation; Measurement; Methods; Molds; mutant; Mycotoxins; Oats; Oils; Plastics; Procedures; programs; Property; Proteins; Risk; Sampling; sensor; Sorting - Cell Movement; Starch; System; Techniques; Technology; Toxin; trait; Wheat,OBJECTIVE GRADING AND END-USE PROPERTY ASSESSMENT OF SINGLE KERNELS AND BULK GRAIN SAMPLES,USDA,ARS,,ARS-0408432,9/25/2004,7/5/2009,"PEARSON, THOMAS CLARK",,,,ENGINEERING AND WIND EROSION RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop instrumentation and procedures for objective grading, on-line quality measurement, sorting, and correlation of grade and quality measurements of single kernels and bulk samples to end-use properties of cereal grains and their products.Approach:Develop rapid sensing and sorting technology for single kernel 'micro' traits such as GMO's, protein quality, starch quality, toxins, potential biosecurity issues, and traits important for evaluating grain for non-food uses (fuel, plastics, etc).  Specific projects will include: development of high-speed (>100 kernels/s) sorting techniques for separating corn kernels infested with various molds, including mycotoxin producing molds; and develop methods to detect mutant corn kernels for enhancement of breeding programs. Develop rapid (~1 kernel/s) sensing and sorting technology for single kernel 'macro' traits such as hardness, moisture content, oil, starch, class, internal insects, and protein, especially for grains other than wheat (sorghum, corn, oats, etc).   Specific projects will include: development of a single kernel characterization system to help predict milling yield in corn and wheat; and use of advanced signal processing from various sensors to rapidly and automatically detect moldy and insect damaged kernels.Develop techniques to predict end-use characteristics, and to determine the accuracy and impact of these predictions.  This includes studying the synergy of combining multiple measurements, evaluating sampling plans, assessing risk of various methods, conducting epidemiological studies, etc."
584464, Amino Acids; Amylopectin; Amylose; base; Biochemical; Bread; Cereals; Cysteine; Cytoplasmic Granules; deoxynivalenol; Detection; Diffuse; Equipment Design; Fatty Acids; Flour; Gliadin; glutenin; Hereditary Disease; Measurement; Measures; Methionine; Methodology; Molds; Optical Methods; Optics; phytate; Procedures; Property; Quality Indicator; research study; Safety; saturated fat; Screening procedure; Sorting - Cell Movement; Soybeans; Spectrum Analysis; Starch; System; tool; Wheat,OPTICAL PROPERTIES OF SMALL GRAINS FOR RAPID AND OBJECTIVE ASSESSMENT OF QUALITY AND SAFETY,USDA,ARS,,ARS-0408471,9/15/2004,9/3/2009,"DELWICHE, STEPHEN R",,5.0,,FOOD QUALITY LABORATORY,BELTSVILLE,MD,20705,UNITED STATES,,,10.001,2004,,,"Objective(s): (1) Develop an automated system that can be used in official grain inspection procedures for detection of moldy and damaged wheat kernels, and secondly, establish the feasibility of the use of vibrational spectroscopies (near-IR, mid-IR, Raman) as a screening tool for use by processors in the measurement of deoxynivalenol (DON) concentration.  (2) Develop rapid and objective optical methods for prediction of quality indicators in wheat.  Two biochemical aspects of wheat flour will be examined: waxiness, as determined by the proportions of amylose and amylopectin, as controlled by granule bound starch synthase (GBSS), and the glutenin and gliadin that collectively define the dough rheological and breadmaking properties of bread wheat.  (3) Determine the feasibility of using near-infrared transmittance/reflectance to measure the following quality-related constituents of soybeans: fatty acids (oleic, linolenic, palmitic), saturated fats, phytate, and amino acids (methionine, cysteine).Approach:(1) Conduct experiments, design equipment, and formulate methodology that uses visible and near-infrared reflectance to identify mold-contaminated wheat kernels for official inspection and/or high speed commercial sorting.  (2) Develop near-infrared- and mid-infrared-based diffuse reflectance procedures that can identify waxy (amylose-to-amylopectin) genetic condition in hexaploid (bread) and tetraploid (durum) wheats.  (3) Develop methodology and analysis procedures that will use near-infrared transmittance and/or reflectance of whole intact soybeans and ground soybeans for desirable profiles of fatty acids, amino acids, and phytate."
584523, Architecture; Bioinformatics; Cell Wall; Cereals; Chemicals; Development; Ectopic Expression; Ethanol; Fiber; Genomics; Harvest; Knowledge; Light; Methods; Molecular; novel; Plant Leaves; Plants; Poaceae; Polymers; Polysaccharides; Process; Production; Proteins; research and development; response; Rice; Source; stem; Structure; Technology; Tissues; Wheat,BIOTECHNOLOGICAL ENHANCEMENT OF ENERGY CROPS,USDA,ARS,,ARS-0408875,8/15/2004,8/14/2009,"ANDERSON, OLIN D",,8.0,,GENOMICS AND GENE DISCOVERY,ALBANY,CA,94710,UNITED STATES,,,10.001,2004,,,"Objective(s): Develop the necessary range of knowledge and technologies to use plants to produce chemical feedstocks and fuels with more renewable and more enviromentally acceptable methods than current sources such as petrochemicals. Focus initially on the cereal crops (especially wheat and rice) and other grasses and non-grass species with potential for biofuel development. Coordinate with other ARS and non-ARS projects in specific approaches to biofuel research and development.Approach:To achieve these objectives, an integrated plant molecular, genomics, bioinformatics, plant transformation approach will be developed for the production of biofuels from crops. Specifically: 1) Determine parameters underlying ectopic expression of polysaccharides and proteins in plant leaf and stem tissue, to include stability of expressed products and plant response; 2) Determine potential for altering plant architecture and cell wall structure for altered functions such as more efficient light gathering, storage capacity, and increased efficiency of post-harvest product processing as for straw/fiber conversion; 3) Modify polysaccharide production to enhance ethanol production, to include both existing and novel polymer structures; 4) Develop a repertoire of tissue and development specific promoters, initially concentrating on promoters efficient in the monocotyledonous plants. Formerly 5325-21000-009-00D (8/04)."
584508, Alleles; Asians; base; Carbohydrates; Catechol Oxidase; Cereals; Characteristics; Color; Food; Gene Expression; Gene Structure; Generations; Genes; Genetic; Hardness; improved; Measurement; Methods; Molecular Genetics; Performance; Research; Technology; Testing; Texture; Wheat,ENHANCE WHEAT QUALITY AND UTILIZATION IN THE WESTERN U.S.,USDA,ARS,,ARS-0408649,9/21/2004,8/12/2009,"MORRIS, CRAIG F",,0.0,,WHEAT GENETICS QUALITY PHYSIOLOGY AND DISEASE RESEARCH,PULLMAN,WA,99164,UNITED STATES,,,10.001,2004,,,"Objective(s): Genetically improve wheat and other cereals for endosperm texture, Asian noodle color, carbohydrate composition, and develop new methods to evaluate end-product quality.  Define genetic basis of desirable quality of Asian foods.  Facilitate research on improving western wheats for domestic and Asian food product quality.Approach:Determine the molecular and genetic basis of wheat grain texture by assessing puroindoline gene structure.  Determine the effect of two different hardness alleles on grain texture, milling performance and baking quality.  Assess the molecular genetic basis of discoloration in Asian noodles by identifying and characterizing polyphenoloxidase from wheat.  Develop or adapt methods to evaluate wheat end-use quality with an emphasis on early generation testing.  Employ gene expression measurement technology to identify genes contributing to desirable Asian food characteristics.  BL-1, 12/03. Replaces 5348-43440-003-00D (9/04)."
584470, Affect; Albumins; Amylopectin; Amylose; Biochemical; Bread; Carbohydrates; Cereals; Characteristics; Chemicals; crosslink; Data; Development; Environment; Environmental Impact; Enzymes; food quality; Gliadin; Gluten; glutenin; High Pressure Liquid Chromatography; Lipid A; Mediating; Methods; micro-total analysis system; Modeling; Molecular Weight; oxidation; Paste substance; Polymers; Property; Proteins; reconstitution; Role; Sampling; Starch; System; Technology; Temperature; Testing; trait; Transglutaminases; Wheat,CHARACTERIZATION OF GRAIN BIOCHEMICAL COMPONENTS RESPONSIBLE FOR END-USE QUALITY,USDA,ARS,,ARS-0408487,10/1/2004,9/30/2009,"TILLEY, MICHAEL",,,,GRAIN QUALITY AND STRUCTURE RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine roles and interactions of the major biochemical components of cereals (starch, non-starch carbohydrates, storage proteins and enzymes) as they relate to food quality and functionality, while defining the environmental impact upon functional properties of biochemical components that affect end-use properties, then applying that information generated to the development and improvement of methods to rapidly predict grain quality.Approach:Isolate large quantities of starch, separate into size fractions for baking and chemical testing. Continue testing the correction model for starch size distributions on the LDS.  Initiate bake studies using reconstituted gluten and starch fractions. Begin testing, amylose /amylopectin ratios, pasting profiles, DSC temperatures and lipids of A, B, and C-type starch fractions.  Complete chemical analysis of the starch fractions. Correlation analysis comparing bake data, starch size distributions and chemical analysis.Identify wheat of different oxidation requirements and determine effect of oxidative enzymes and transglutaminase upon quality characteristics.  Begin biochemical analysis on the effect of enzymes on protein interactions.  Characterize enzyme effects on protein interactions between glutenin and albumins.  Characterize effect of HMW-GS contribution of wheat on enzyme mediated crosslinking.Identify and begin to collect wheat samples to represent various growing environments.  Begin isolating starch for analysis.  Use LDS and our correction model to detect environmental differences in starch ratios.  Isolate the starch fractions from different environments for chemical analysis.  Compare starch size distributions and chemical analysis to different environments.Characterize by RP-HPLC and SEC-HPLC, the protein fractions of the various near- isogenic lines that are produced in year 1 study by our collaborators.  Relate the period of formation and amount of particular glutenin (polymeric) and gliadin (monomeric) proteins to the HMW-GS in the various near-isogenic lines.  Correlate information obtained in this year 1 and 2 study with the data on bread or tortilla quality characteristics, provided by the HWWQL.  Characterize the protein fractions of the various near-isogenic lines that were produced by our collaborators.  Determine the sizes of the polymeric fractions and the MW distributions of the polymeric proteins.  Relate polymer sizes and molecular weight distributions to quality characteristics, provided by the HWWQL. Determine if particular proteins are markers for quality traits.  Develop inexpensive lab-on-a-chip technology to extract and separate wheat gliadins in less than 1 min.  Develop lab-on-a-chip system to extract, separate and identify wheat varieties in seconds.  Develop a portable lab-on-a-chip system to extract, separate wheat proteins, and identify wheat varieties and/or the quality of wheat varieties or mixtures in seconds."
584471, base; Biochemical; Caliber; Calibration; Cataloging; Catalogs; Cereals; Color; Development; Drug Formulations; Environment; Environmental Impact; Ethanol; Fermentation; Flour; Food; food marketing; Food Processing; food quality; Gluten; Hardness; High Pressure Liquid Chromatography; improved; Insecta; instrument; Kansas; Knowledge; Lactic acid; Measures; Methods; Molds; Nebraska; novel strategies; Oxidation-Reduction; physical property; Plants; Process; Production; protein protein interaction; Proteins; Research Personnel; Sampling; small molecule; sound; Starch; System; Techniques; Texas; trait; Weather; Weight; Wheat,ENHANCED END USE QUALITY AND UTILIZATION OF SORGHUM GRAIN,USDA,ARS,,ARS-0408488,10/1/2004,9/30/2009,"BEAN, SCOTT",,,,GRAIN QUALITY AND STRUCTURE RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine relationships between sorghum grain physical properties including hardness, diameter, and kernel weight, protein and starch composition and processing quality and identify sorghum biochemical components related to food functionality and bio-industrial uses such as ethanol production.  Use knowledge of these components to improve the quality and yields of bio-industrial materials and the quality and functionality of sorghum flour which will facilitate development of new, high quality foods, especially for the gluten free food market.Approach:New slope and bias curves for measuring hardness, diameter, weight and moisture of sorghum grain by the SKCS will be determined for more accurate characterization of sorghum using the SKCS.  Differences in protein content and composition of isolated hard and soft endosperm fractions will be determined.  Sample sets to be used for relating processing quality to protein content and composition will be collected.  Samples varying in pericarp color, presence of testa layer, plant color, and kernel attributes for analysis of grain color compounds, phenolics, and other small molecules will be collected. Techniques for extracting and analyzing sorghum color compounds by HPLC and HPLC-MS will be developed.Multi-instrument SKCS comparisons and calibrations with researchers in Kansas, Nebraska, and Texas will be completed.  The effect of environment on protein content and composition of isolated hard and soft endosperm fractions will be determined.  Wet milling, dry milling, extrusion and fermentation quality of selected sorghum lines will be conducted.  Color compounds, phenolics, and other small molecules in sorghum from weathered and sound grain; evaluate grains for markers of insect and fungal damage and infestation will be characterized and cataloged.Exotic germplasm will be evaluated for desirable processing traits (e.g. ethanol yield).  GxE stability of processing quality in sorghum lines showing desirable processing traits will be evaluated.  Impact of compounds found in sorghum grains as a result of weathering, mold, insects, or fungal invasion on food and processing quality will be determined.  Processing methods to reduce or eliminate impact of environmental damage will be investigated.Improved techniques for extracting and analyzing sorghum proteins will be developed.  Methods for extracting and purifying sorghum proteins for industrial and food applications will be determined.  Formulations for the production of wheat free sorghum foods from batter type systems will be optimized.Optimization of batter type product formulations for production of wheat free sorghum based foods will be continued.  Visco-elastic dough formation in artificial sorghum protein-starch dough systems will be investigated and changes to sorghum proteins during mixing will be elucidated and compared to wheat proteins during mixing.  Methods for disruption of sorghum protein bodies in sorghum flour to free proteins for interaction during mixing will be developed.  Starch and protein content and composition from diverse sorghum lines will be determined and related to ethanol and lactic acid yields.               The extent of protein-protein interaction and protein-starch interaction in artificial sorghum dough systems will be determined.  Methods for the use of reduction-oxidation systems to form a visco-elastic dough directly from sorghum flour will be developed.  Sorghum proteins and starch will be modified to improve functionality in food.  Pre-treatment methods for altering protein and starch composition in sorghum for improved ethanol and lactic acid yields will be developed."
584472," Amino Acids; Area; Asians; base; Biological Models; Bread; Breeding; Calibration; Cereals; Characteristics; Color; cooking; covalent bond; Databases; Development; disulfide bond; Eating; Evaluation; Fermentation; Flour; Generations; Genetic; Gluten; Hardness; Hydration status; Image; Industry; International; Lipids; Location; Marketing; Measurement; Measures; Methods; Modeling; molecular size; Monitor; particle; Polymers; polypeptide; Process; programs; Property; Proteins; pup; Raman Spectrum Analysis; Rheology; Sampling; Side; Spectroscopy, Fourier Transform Infrared; Staging; Starch; Structure; System; Testing; Texture; Time; tyrosyltyrosine; Variant; Water; Weight; Wheat",ENHANCEMENT OF HARD WINTER WHEAT QUALITY AND ITS UTILITY,USDA,ARS,,ARS-0408489,10/1/2004,9/30/2009,"SEABOURN, BRADFORD W",,,,GRAIN QUALITY AND STRUCTURE RESEARCH,MANHATTAN,KS,66502,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine and evaluate the intrinsic end-use quality of hard winter wheat progenies for wheat breeding programs in the hard winter wheat growing Great Plains Area in order to enhance U.S. hard winter wheat attributes desired by both domestic and international customers, develop rapid and objective methods for estimating/predicting textural and quality differences from: (a) small samples (< 10 g) in early generation hard winter wheat breeding lines to promote efficient selection of hard winter wheat lines for needed-quality bases, which would result in the possibility of shortening the breeding program by 1-2 years without sacrificing intrinsic quality evaluation efforts; and (b) from commercial hard winter wheats to enhance the marketing system based on intrinsic quality and determine and evaluate quality parameters directed toward uses of hard winter wheats in non traditional, non-bread products such as tortillas and Asian noodles, to promote U.S. hard winter wheats in the domestic and export markets.Approach:Graphic images of the mixograph curve for each wheat line in the HWWQL database will be added for the next release of the database, as well as an interface for user-selected statistical analyses; study the effects of flour particles and starch granular size distributions on bread crumb grain; study flour hydration and the interaction of water with flour proteins, starches, and lipid and determine optimum hydration point by FTIR; develop modified micro-scale PPO test; develop micro-scale noodle-making test and tortilla-making methods; study the rheological properties of tortillas and tortilla doughs to understand and predict quality parameters.Investigate the breadmaking quality relationships between various methods (pound loaf, pup loaf, and micro-loaves using 35-g, 10-g, and 2-g flour) to obtain the conversion factors for loaf volumes: study the changes in the secondary structure of the gluten matrix in dough during mixing and determine optimum dough development by FTIR; screen breeder samples for PPO and noodle-making quality; continue studying and developing methods for measuring the rheological properties of tortillas and tortilla doughs, and correlate NIR prediction models to those properties. Study both genetic and environmental effects on protein and lipid contents and composition with breeders samples grown at various locations; determine by FTIR and Raman spectroscopy the influence of covalent bonding on dough strength, specifically disulfide bonds within and between polypeptide chains as well as bonds between amino acid side-chains in the gluten polymer (e.g. tyr-tyr bonds); screen breeder samples for PPO, noodle color, and noodle-making quality; establish texture analyzing processes for raw and cooked noodles; begin to develop small scale rheological methods and analyze the molecular size distribution of tortilla dough proteins to predict end-use properties of tortillas.Investigate the effect of variation in kernel hardness and weight in wheat samples on milling and baking properties and continue to study the relationships between wheat physical characteristics and end-use properties, which may be used to segregate wheats based on quality; study protein-starch, protein-lipid, and starch-lipid interactions in a model system during mixing, fermentation, and baking stages; determine the influence of various standard ingredients on dough rheology by FTIR; screen breeder samples for PPO, noodle color, and eating quality, based on a texture analysis of raw and cooked noodles; continue to provide early generation information to breeders that predict the tortilla making properties of wheats.Complete prediction models for quality attributes desired by breeders and industry; apply mid-IR information on dough rheology to the development of near-IR measurement of important dough rheology parameters during mixing; develop an online  real-time  dough monitoring system to be used by the HWWQL and baking industry; develop NIR calibration models for rapid measurement of PPO and noodle-making quality in breeder and commercial samples; complete prediction models for tortilla rheology and quality attributes desired."
584552, Affect; atmospheric carbon dioxide; Avena sativa; bean; Carbon; Carbon Dioxide; Climate; Droughts; Fertilizers; Gene Expression; Global Change; Growth; High temperature of physical object; Hypercapnia; Nitrogen; Oats; Physiological; Physiology; Practice Management; Relative (related person); response; Rotation; Soil; Soybeans; Stress; System; Time; Wheat,CROP AND WEED RESPONSES TO INCREASING ATMOSPHERIC CARBON DIOXIDE,USDA,ARS,,ARS-0409030,5/27/2005,5/20/2010,"BUNCE, JAMES A",,5.0,,CROP SYSTEMS AND GLOBAL CHANGE LABORATORY,BELTSVILLE,MD,20705,UNITED STATES,,,10.001,2005,,,"Objective(s): Determine relationships between effects of elevated carbon dioxide on gene expression and physiological responses which increase the response of crop yield to atmospheric and climatic global changes.  Determine how changes in carbon dioxide concentration affect the relative competitiveness of crops and weeds.  Determine how elevated carbon dioxide affects relationships between fertilizer and weed management practices and crop yield and soil carbon sequestration.Approach:Crop and weed species will be grown at the current ambient concentration of carbon dioxide and at 1.5 times that concentration in field plots, using open top chambers, and in growth cabinets.  Changes in gene expression, physiology, and the growth of crops will examined at ambient and elevated concentrations of carbon dioxide in combination with high temperature stress, drought stress, and competition from weeds.  Soybeans, common beans, spring wheat, oats and some weed species will be examined for genotypic differences in responsiveness to carbon dioxide concentration.  Invasive and non-invasive weed species will be compared for responses to rising atmospheric carbon dioxide.  Impacts of elevated carbon dioxide on yield responses to nitrogen fertilizer will be determined in a corn, wheat, soybean crop rotation system. The effect of elevated carbon dioxide on soil carbon sequestration will be examined in two no-till cropping systems."
