Unnamed: 0,PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
0,584449, Acute; Adult; Affect; Avena sativa; Blood Pressure; Body Composition; Body mass index; Body Weight decreased; Cardiovascular Diseases; Cereals; Chronic; Consumption; Effectiveness; Energy Metabolism; Food; Food Supplements; Glucose; glycemic control; Health; high risk; Human; improved; Individual; insulin sensitivity; interest; lipid metabolism; Longitudinal Studies; Measurement; Measures; Metabolic syndrome; Nutrient; Oats; Obesity; Overweight; Population Heterogeneity; Regulation; Risk Factors; Role; Sampling; Satiation; soluble fiber; Testing; Weight; weight maintenance,BENEFICIAL HEALTH EFFECTS OF CONSUMPTION OF BARLEY AND BARLEY COMPONENTS BY HUMANS,USDA,ARS,,ARS-0408296,4/8/2004,2/12/2009,,,5.0,,FOOD INTAKE AND ENERGY REGULATION LABORATORY,BELTSVILLE,MD,20705,UNITED STATES,,,10.001,2004,,,"Objective(s): 1) To assess the ability of barley and barley fractions to improve glucose utilization and insulin sensitivity in acute and chronic studies of normal-weight and overweight adults, and individuals with the metabolic syndrome. To assess the role of soluble fiber in improving glucose utilization and insulin sensitivity in acute and longer-term studies in normal-weight and overweight/obese adults with the metabolic syndrome.  2) To assess the ability of barley and barley fractions to improve risk factors for cardiovascular disease in chronic studies of normal-weight and overweight/obese adults.  To assess the role of soluble fiber in improving risk factors for cardiovascular disease in normal-weight and overweight/obese adults with the metabolic syndrome. 3) To test the effectiveness of foods high in soluble fiber, including barley, in inducing and maintaining weight-loss in weight-reduced subjects.  To determine if chronic consumption of food supplements high in soluble fiber affects ability to maintain a 10% weight loss.Approach:Acute and long-term controlled human studies will evaluate reducing risk factors observed with excess weight and the metabolic syndrome by consumption of grains such as barley or oats or grain components.  Overweight/obese (body mass index [BMI] >27) and control (normal weight, BMI <25) individuals will be chosen from the diverse population with special interest in groups identified to be at high risk for obesity.  Samples would be collected periodically throughout the study. Measurements would be made during weight loss and weight maintenance periods in overweight subjects.  Measurements will be made for markers of glycemic control, energy regulation, and lipid metabolism, blood pressure, body composition, measures of satiety, nutrient digestibility and metabolizable energy, and energy expenditure."
1,584527, Agriculture; Antifungal Agents; Arachis hypogaea; Aspergillus flavus; Biological Assay; Chemical Structure; Freeze Drying; Fruit; Fusarium; Gene Expression; Genes; Gossypium; High Pressure Liquid Chromatography; Industrial fungicide; Legal patent; Medical; Monitor; novel; Okra; pathogen; Peanuts - dietary; Property; protective effect; Proteins; Rice; Structure of placental cotyledon; System; Testing,DISCOVERY OF ANTIFUNGAL COMPOUNDS FROM LOW VALUE/UNDERUTILIZED CROPS AND CROP CO-PRODUCTS,USDA,ARS,,ARS-0408891,10/1/2004,9/30/2009,"DE LUCCA II, ANTHONY J",,1.0,,FOOD AND FEED SAFETY RESEARCH,NEW ORLEANS,LA,70124-4305,UNITED STATES,,,10.001,2005,,,"Objective(s): Enhance value and utilization of low value/underutilized crops and crop co-products through discovery and purification of novel, constituent antifungal compounds and determine commercial potential of discovered antifungals.Approach:Barley and cotton 3-day old cotyledons will be extracted aqueously as will okra fruit and peanut and rice hulls.  Filtered, freeze-dried extracts will be tested for fungicidal properties.  Active compounds will be purified by HPLC/MS and activity monitored with bioassays using Aspergillus flavus and Fusarium oxysporum.  NMR will determine chemical structure of antifungal compounds.  Novel compounds will be patented and all active compounds will be tested for their antifungal spectra of activity.  Commercial potential of compounds as agricultural fungicides and medical antifungals will be determined by collaborators.  Discovered protein antifungals will be cloned.  Construct genes will be incorporated into gene expression systems to obtain a protective effect against fungal pathogens."
2,584553, Agriculture; Alfalfa; Aquaculture; Area; Beds; beta-Glucans; Biomass; Cereals; Chemicals; corn bran; cost; Coupled; Devices; Economic Models; Economics; Enzymes; Ethanol; Feasibility Studies; feeding; Feeds; Fermentation; Fiber; Food; Fractionation; functional food; Gases; Health; Hydrogen; improved; Industry; Liquid substance; mass spectrometer; Nutraceutical; Oils; Plants; Poaceae; Process; Production; programs; Proteins; Research; Ruminants; Starch; Techniques; Technology; Testing; Viscosity,ECONOMIC COMPETITIVENESS OF RENEWABLE FUELS DERIVED FROM GRAINS AND RELATED BIOMASS,USDA,ARS,,ARS-0409037,10/29/2004,10/28/2009,"HICKS, KEVIN B",,13.0,,SUSTAINABLE BIOFUELS AND CO-PRODUCTS RESEARCH,WYNDMOOR,PA,19038,UNITED STATES,,,10.001,2005,,,"Objective(s): Lower the cost of fuel ethanol production from corn and barley through improved dry grind and dry milling fractionation techniques, including a new 'ammoniation' process. Develop more efficient processes for converting hulled and hulless barley to fuel ethanol and improved, beta-glucan-free, feed coproducts.  Through research assist in creation of a new hulless barley-to-ethanol industry in corn deficient regions, particularly the Mid Atlantic States and the North Western U.S.  Use the low-starch ('low carb') and high-fiber, high-oil, and high-protein fractions recovered from corn and barley prior to ethanol fermentation to produce health-promoting food ingredients, functional foods, and extruded snacks.  Develop improved processes to convert low valued crop-related biomass, byproducts and energy crops being researched in the ARS energy crop program into renewable hydrogen or liquid fuels and conduct economic feasibility studies for integrating this technology into co-located dry grind ethanol plants.  Develop small-scale thermo-chemical technologies that economically, efficiently, and sustainably produce hydrogen and coproducts from agricultural materials.Approach:Develop a continuous corn ammoniator for improving the conversion of corn to fuel ethanol. Conduct research to develop new dry de-germinators, roller mills, and associated fractionation devices with and without 'ammoniation' as a 'front end' to the traditional dry grind ethanol process.  Use these techniques on corn and hulled barley to produce high-starch fractions for more efficient fermentations, and low-starch fractions that can be used as value added health-promoting 'low-carb' food ingredients, healthy edible oils and nutraceuticals.  Use newly developed hulless barley cultivars and develop new beta-glucan-degrading enzyme technology to reduce fermentation viscosity and improve the production of ethanol from barley.  Prepare hulless barley DDGS from beta-glucanase treated fermentations and examine as high-valued feeds for non-ruminants and aquaculture.  Low-valued barley hulls and corn bran from corn and barley ethanol processing and energy crops and residues like switch grass, Eastern gama grass, reed canary grass, alfalfa, and corn stover will be studied as substrates for conversion to hydrogen and related liquid and gaseous fuels by thermochemical processes in a pyrolyzer (pyroprobe) coupled to a gas chromatograph/mass-spectrometer (PY-GC/MS) to analyze gasification products.  Promising substrates will be converted in a 2-inch bench-top fluidized-bed reactor to test selected feedstock for yields of H2, syngas, char and pyrolytic oil. Process modeling and economic analysis will be conducted on all the technologies studied, to help direct research toward the most fruitful and commercially feasible areas."
3,584597, Address; Amino Acids; analytical method; Animal Feed; Area; Avena sativa; base; beta-Glucans; Biochemical; Biological; Breeding; Capital; Carbohydrates; Carthamus tinctorius; Cereals; Characteristics; Chemicals; Consumption; cost; Development; Diet; Drug Formulations; Effectiveness; Environment; Equilibrium; Ethanol; Family; farmer; feeding; Feeds; Fish Oils; Fisheries; Fishes; Flax; Funding; Future; Genetic; Goals; Growth; hatching; Helianthus species; Idaho; improved; in vivo; Incubated; Incubators; Individual; Lighting; Long-Term Effects; Mechanics; Metabolic; Methodology; Methods; novel; Nutrient; Nutritional; Oats; Oceans; Oncorhynchus mykiss; Organism; Performance; Phenotype; Physiological; Plant Proteins; Plants; Process; Production; programs; Proteins; Relative (related person); Research; Research Infrastructure; Research Project Grants; research study; response; Salmo trutta; Scientist; Secure; Secure; Series; Solid; Supplementation; Testing; Treatment Effectiveness; Vitamins; Water,"INTEGRATION OF NUTRITIONAL, GENETIC AND PHYSIOLOGICAL APPROACHES TO IMPROVE PRODUCTION EFFICIENCY OF RAINBOW TROUT",USDA,ARS,,ARS-0409204,1/11/2005,12/27/2009,"BARROWS, FREDERIC",,2.0,,SMALL GRAINS AND POTATO GERMPLASM RESEARCH,ABERDEEN,ID,83210,UNITED STATES,,,10.001,2005,,,"Objective(s): Objective of this research are; 1)Develop a series of trout feeds that replace fish meal and fish oil with novel and traditional plant-derived ingredients.  2) Determine optimal supplementation levels of vitamins and limiting amino acids for plant-based feeds.  3) Identify and evaluate genetic, biochemical and physiological responses of trout fed grain-based feeds.  4) Identify rainbow trout families with improved phenotypes for growth and utilization of an alternative plant-protein fish feed through a genetic selection program.New funds will be used to expand objective one of the project plan: 1) Objective 1 of the project consists of developing trout feeds formulated with traditional plant-derived ingredients in place of fish meal and fish oil. Within this area of research the experimental diets are to be tested to determine the optimal supplementation level of vitamins and limiting amino acids necessary to obtain maximal growth. The financial increase to the project will aid in developing ingredient enhancement through the development of biological and mechanical concentration methods for the formulation of nutrient complete feeds.New funds will be used to expand Objective One of the research project plan: 1) Develop a series of trout feeds that replace fishmeal and fish oil with traditional and enhanced plant-derived ingredients. The focus should be on ingredient enhancement through biological and mechanical concentration of required nutrients for complete feed development.  Expedite expanded capacity to increase select cultivars in trout feeding trials. This includes expanding strains being developed at Leetown, WV. Dr. Keshun Liu:  Objectives include; 1) evaluate current methods of dry and wet fractionization for ways to improve performance or reduce cost of production; 2) evaluate chemical and enzymatic treatments for effectiveness and production costs, 3) evaluate nutritional quality of protein concentrates, and 4) develop improved analytical methods for some key grain nutrients, such as beta-glucan, protein, to assist breeding screen for improved grain quality.  Dr. Frederic Barrows Objectives; 1) identify the most effective organism and blend of grains to result in a high protein low carbohydrate ingredient, 2) identify optimal processing and incubating conditions,  3) evaluate digestibility and palatability of each ingredients with in-vivo testing,  4) evaluate effect of long term feeding of experimental ingredient on growth, and product quality.  Dr. Kenneth Overturf Objectives:  1) installation of 10 heath tray incubators for hatching and isolating individual families, 80- 4'x15  troughs for rearing fry, and 25- 5' circular for holding individual families and mixed tagged families. Also included with this is the necessary infrastructure such as securing adequate water to the tanks and electrical and lighting for rearing and handling of the fish. Approach:This research will benefit fish farmers, grain farmers and assist in protecting the environment by reducing nutrients in hatchery effluents, and reducing exploitation of ocean fisheries.  A series of plant-based feeds will be eveloped, replacing fish meal, and containing the proper balance of essential nutrients.  New cultivars of barley and oats will be evaluated as a fish feed ingredient along with alternate crops such as flax, sunflower and safflower.  A breeding program will be used to develop new strains of rainbow trout that are better able to utilize plant-based feeds, grow faster and more efficiently and have improved product quality characteristics. Traditional methodologies to determine metabolic scope for a given nutrient or ingredient will be used to evaluate the relative contribution and metabolic efficacy of nutrients supplied in plant-based feeds.  Information developed concerning the genetic, biochemical, and physiological responses of rainbow trout to consumption of various plant-derived ingredients will be used as a basis for developing future feed formulations and to develop improved selection parameters for trout breeding programs. Dr. Keshun Liu:  Use 4 approaches to address this problem.  1) evaluate and further process protein-rich by-products of  current ethanol or beta-glucan production, 2) develop modified and novel methods to fractionate grain proteins for trout feed ingredients, 3) evaluate and process current improved cultivars of barley and oats, such as low-phyate cultivars for making fish feed ingredients, and 4) select and breed new cultivars of barleys and oats with enhanced composition through collaborating with plant scientist at the ARS, Aberdeen ID (Project # 5366-21000-024-00D). Dr. Frederic Barrows:  Solid substrate culture (SSC) has been proven to be an effective method for fungal production on a commercial scale.  The effectiveness of this approach is due to the relatively low capital costs and low energy costs.  This approach has not been used for the development of animal feeds before, but preliminary studies are quite promising. Utilizing different organisms and different blends of grains, a variety of products will be produced. Dr. Kenneth Overturf:  Genetic selection programs for trout have been initiated at the NCCCWA and at the HFCES (through Aberdeen).  The goal of the HFCES program is to select fish with an enhanced ability to utilize a plant based feed more efficiently.  The goal of the NCCCWA is to select trout for superior growth performance. Improved strains will be reared and analyzed in Idaho.   FY99 Program Increase $225,000 Add 1 SY for research on cereal grains & fishFY03 Program Increase $223,537 Add 1 SYFY04 Program Increase $241,566 Add 1 SYFY04 Program Increase $584,232 Add 1 SYFY05 Program Increase $111,600 Replaces 5366-21310-002-00D (12/04).FY06 Program Increase $89,100"
4,584604, Avena sativa; base; Behavior; Capillary Electrophoresis; Cereals; Characteristics; Chemicals; Diffuse; Field Flow Fractionation; High Pressure Liquid Chromatography; improved; Marketing; Mechanics; Methods; Modification; new product development; Oats; particle; Petroleum; Phase; Polymers; Post-Translational Protein Processing; Process; Property; Proteins; Resources; Seeds; Stress; System; Techniques; Ultracentrifugation; Wheat,"IMPROVED ISOLATION, MODIFICATION, AND FUNCTIONALITY OF GRAIN PROTEINS FOR NEW PRODUCT DEVELOPMENT",USDA,ARS,,ARS-0409244,2/2/2005,6/15/2009,"MOHAMED, ABDELLATIF",,18.0,,CEREAL PRODUCTS AND FOOD SCIENCE RESEARCH,PEORIA,IL,61604,UNITED STATES,,,10.001,2005,,,"Objective(s): Improve the functional properties of wheat, oat, and barley seed proteins by investigating isolation techniques, protein modification, and protein blends.  Specific objectives include: (1) Develop cereal protein materials having specific and desirable characteristics, and determine the origin of the alterations occurring during the currently employed grain protein isolation methods.  Initiate new protein materials with maximum functional properties.  Determine the effect of commercially existing isolation methods on the functional properties of wheat, barley, and oat proteins; (2) Establish new and fundamental information on the physical, rheological, and mechanical properties of seed proteins that is of vital importance in developing new uses and new markets for seed proteins; and (3) Develop protein-based polymer blends from renewable resources to expand their utilization.  The newly developed products will serve as alternatives to petroleum-based polymers.Approach:Functional properties of isolated seed proteins will be evaluated and enhanced by chemical and enzymatic modification.  Proteins will be characterized by field-flow fractionation, high performance liquid chromatography, capillary electrophoresis, thermal analysis, and ultracentrifugation.  Rheological characterization of native and processed proteins will be made using a stress-controlled rheometer, a Diffusing Wave Spectrometer, and a newly developed Multiple Particle Tracking System.  Blends of proteins with other polymers will be formulated for specific applications and their phase behavior, aggregation, and mechanical properties characterized."
5,584615, Accounting; Amylases; base; Biochemical; cellulase; Cellulases; Chemicals; Collaborations; combinatorial; cost; countercurrent chromatography; design; Development; directed evolution; Directed Molecular Evolution; Engineering; Enzyme Tests; Enzymes; Ethanol; Fermentation; Fiber; Food; Genes; Glucose; Gluten; hemicellulose; hybrid enzyme; Hydrolysis; improved; Individual; Kinetics; Laboratories; Libraries; Liquid substance; Membrane; Methods; Microbe; microbial; Microscopic; Minor; Molecular; Mutate; Mutation; novel; novel strategies; operation; Pentosan Sulfuric Polyester; Performance; Permeability; Poaceae; Process; Production; Property; Proteins; Reaction; Recovery; Research; Solid; Solvents; Starch; Structure-Activity Relationship; sugar; System; Techniques; Technology; Variant; Wheat; Xylans,EVOLUTIONARY ENZYMES AND SEPARATION PROCESSES FOR IMPROVED BIOREFINING OF CROPS AND RESIDUES,USDA,ARS,,ARS-0409351,3/24/2005,12/9/2009,"ORTS, WILLIAM J",,8.0,,BIOPRODUCT CHEMISTRY AND ENGINEERING RESEARCH,ALBANY,CA,94710,UNITED STATES,,,10.001,2005,,,"Objective(s): Objective 1: Develop novel starch-degrading enzymes and enzyme-based systems that can convert starch from corn, wheat, and barley to glucose more efficiently.  The aim is to improve activity at low pH, and increase catalytic conversion to lower the chemical and energy cost of liquefaction and saccharification.Objective 2: Develop novel enzymes and enzyme-based systems for solubilization and saccharification of hemicellulose components of corn fibers, crop residues, straws and grasses to simple sugars.  Special focus will be to engineer high activity xylanases with decreased end-product inhibition and that can be produced in microbes, which make active cellulases.Objective 3: Utilize and evaluate the evolved enzymes and enzyme systems for the hydrolysis of corn, wheat, and barley starch (Objective 1) and solubilization and saccharification of hemicellulose components of corn fibers, crop residues, straws, and grasses (Objective 2) in laboratory and pilot scale operations.  The improved enzymes will be evaluated on industrial substrates.  Large-scale process development will be conducted in collaboration with corn ethanol companies.Objective 4: Develop and evaluate ethanol-based separation systems for the biorefining of wheat to produce conventional and new fractions as platforms for both food and non-food applications. Characterize the functional material properties of the refined fractions produced in these new systems for their use in both food and non-food applications.Objective 5: Develop and evaluate improved biorefining methods utilizing barrier or membrane-based separation technologies to manage the recovery of ethanol or other biobased chemicals for use as a platform chemical, a biofuel, and a processing fluid.Approach:New biocatalysts are created through directed evolution, in which libraries of enzyme variants are created by the mutation of encoding genes.  The libraries are screened for target properties, and the candidate molecules selected can further undergo cycles of mutation, amplification, and selection until the desired enzyme variant is obtained.  To create novel starch-degrading enzymes toward improved performance, the following steps are involved:   (1) isolate, clone and express amylase genes; (2) mutate the gene sequences to create libraries; (3) screen the libraries for desired functions; (4) Purify the evolved enzymes for biochemical studies; (5) define the structure-function relationship; and (6) construct novel hybrid enzymes.  To develop enzymes for the solubilization of hemicelluloses, the following approach is used: (1) screen by molecular techniques for a full set of genes encoding xylanolytic enzymes that are individually or collectively highly active in xylan degradation; (2) clone and express the genes in suitable expression systems; (3) conduct directed evolution by computational and experimental enzyme mutation; (4) purify the evolved enzymes for biochemical studies; (5) test the enzymes by combinatorial approaches; and (6) produce the enzymes in microbial systems which also produce active cellulases.  As the best-fit enzymes are evolved and selected, the enzyme will be purified to homogeneity for the determination of kinetic properties. A variety of microscopic techniques will be applied to elucidate the action of the individual enzymes developed in this research. Several formats of bench scale enzyme reactions will be evaluated. These include liquefaction and saccharification as a distinct process, liquefaction and saccharification integrated with fermentation, and differentiated liquefaction and saccharification at high solids concentrations.To develop new separation systems, determine and account for (a) unique wheat gluten protein properties in the hydrated and developed state that enhance separation from starch and (b) unique solvent properties of ethanol that enable subfractionation of proteins, recovery of minor components (pentosan), and production of a dry product. Evaluate processing strategies such as countercurrent, batch, and crosscurrent extraction. Collaborate with ARS cost engineers and process-design firms where appropriate. To develop ethanol enrichment and recovery methods develop unique barrier materials for separation operations based pm pervaporation, perstraction, etc. Evaluate new materials for improved permeability and selectivity for ethanol recovery and concentration from fermentation broth (5-10% ethanol).  Replacing 5325-41000-041-00D (February 2005). Combining 5325-41000-047-00D (7/08)"
6,584636, Aphids; base; Biology; Breeding; Cereals; Decision Support Techniques; Ecology; Evolution; Genetic; Genome; improved; Knowledge; Laboratories; Monitor; Natural Resistance; North America; Plants; Poaceae; Population; Practice Management; programs; remote sensing; Reproduction; research study; Role; Structure; System; Techniques; Testing; tool; United States; Variant; Wheat,BIOLOGICALLY BASED CEREAL APHID MANAGMENT,USDA,ARS,,ARS-0409469,4/7/2005,3/25/2010,"BURD, JOHN D",,4.0,,WHEAT PEANUT AND OTHER FIELD CROPS RESEARCH,STILLWATER,OK,74075,UNITED STATES,,,10.001,2005,,,"Objective(s): Improve integrated pest management (IPM) practices for cereal aphids in wheat, sorghum, and barley in the United States by developing knowledge and tools to enhance the role of host plant resistance and natural enemies in crop management strategies.  This will involve: (1) developing fundamental knowledge of the biology and ecology of cereal aphids; (2) developing an understanding of how aphid biotypic variation is generated and maintained; (3) determining the population breeding structure of cereal aphids in North America and its relationship to evolutionary/genetic basis for aphid biotypes; and (4) developing principles, techniques, and decision support tools for managing cereal aphids and their natural enemies.Approach:Field and laboratory experiments will be conducted to: (1) characterize the biotypic composition of greenbug populations occurring on non-cultivated hosts; (2) assess the role of grass species associated with cereal cropping systems in harboring pest aphids and their natural enemies; (3) monitor and characterize the biotypic structure of Russian wheat aphid populations on cultivated and non-cultivated hosts; (4) characterize holocyclic reproduction in the Russian wheat aphid and its role in biotype evolution; (5) determine the degree of genetic variation and the breeding structure of the Russian wheat aphid populations in the United States; (6) determine the genome size and organizational complexity of the Russian wheat aphid; (7) develop and test a natural enemy threshold for Coccinellidae against the greenbug in winter wheat; (8) develop airborne multi-spectral remote sensing techniques for monitoring greenbug infestations in wheat; and (9) develop computer programs to deliver pest management programs."
7,584617, Biological Assay; Breeding; Carbohydrates; Chromatography; Cysteine; Development; Enzymes; Genetic; Germination; improved; Individual; Link; Malt Grain; Methodology; Metric; Peptide Hydrolases; Population; programs; proteinase In; Proteins; Proteomics; Public Sector; Quantitative Trait Loci; Role; Seeds; Selection Criteria; Serine; Techniques; tool; Western Blotting,IMPROVING THE QUALITY OF MALTING BARLEY THROUGH IMPROVED SELECTION CRITERIA AND QUALITY ANALYSIS OF BREEDING LINES,USDA,ARS,,ARS-0409376,11/2/2005,6/13/2010,"SCHMITT, MARK",,2.0,,CEREAL DISEASE RESEARCH,MADISON,WI,53726,UNITED STATES,,,10.001,2006,,,"Objective(s): 1) To clarify the identity and roles of the various seed proteinases in protein and carbohydrate remobilization in germinating barley seeds using proteomic and other methodologies, 2) to link the identities and functions of proteinase classes and individual proteinase activities with the malting quality across malting barley varieties and experimental lines to develop tools for use by barley breeders, and 3) to collaborate with US public-sector barley breeding programs by providing metrics for malting quality parameters critical to development of improved malting barley varieties.Approach:Using traditional (enzyme assay, zymogram, Western blot) and modern proteomic  (2-D PAGE/MS, multidimensional chromatography/MS, DIGE) and other appropriate techniques, we will attempt to identify the important proteolytic activities and protein substrates (potentially both storage proteins and seed enzymes) that are involved in seed reserve mobilization during germination of malting barley. By collaborating with barley breeders and correlating proteolytic classes (cysteine-, serine-, metallo-, or aspartic-) as well as individual proteolytic activities with malting quality attributes across malting barley varieties, developmental lines, and experimental populations, we will identify genetic links to malting quality and develop tools (QTL or other markers) useful for malting barley improvement programs. Additionally, we will collaborate broadly with public sector barley breeding programs by providing metrics for accepted malting barley parameters on experimental lines and populations to identify suitable lines for development of elite malting barley varieties."
8,584777, Biochemical Genetics; Biological Process; Breeding; carbohydrate metabolism; Cereals; Chemicals; Data; Databases; Detection; Enzymes; Flavoring; Gas Chromatography; Genetic Polymorphism; Knowledge; Malt Grain; Mass Spectrum Analysis; Messenger RNA; Metabolic; Methods; Multivariate Analysis; Physiological; Population; Production; Recombinants; Regulation; Sampling; Sequence Analysis; Starch; sugar; System; Tissues; trait; Variant; Volatile Oils; Work,"PHYSIOLOGICAL, BIOCHEMICAL AND GENETIC REGULATION OF CARBOHYDRATE METABOLISM IN CEREAL TISSUES",USDA,ARS,,ARS-0410296,2/8/2006,9/30/2010,"HENSON, CYNTHIA A",,2.0,,CEREAL DISEASE RESEARCH,MADISON,WI,53726,UNITED STATES,,,10.001,2006,,,"Objective(s): Overall objective is to discover and develop basic knowledge of biological processes in barley that influence the expression of value-added traits and the quality of economically valuable crop tissues.  This work includes the identification of chemical signatures of high quality malts by metabolic profiling malts produced from elite barley cultivars and core breeding populations, determination of the contributions of an enzyme to the production of fermentable sugars during industrial processing, and assessment of allelic variation in key enzymes that convert starch to fermentable sugars.Approach:Metabolic profiling of malts will be conducted using standard methods of derivatization, gas chromatography and mass spectral detection/ identification of sample components followed by multivariate analysis of data to identify metabolites that best define the trait  malting quality .  Metabolite identification will be done using several mass spectra databases including the 7th edition of Wiley, Essential Oils/Flavor and Fragrance and my lab's personal database.  Examination of enzyme contributions to fermentable sugar production will be by use of an immunological probe and by characterizing the recombinant enzyme in a heterologous expression system.  Assessment of allelic variation of carbohydrases will be via PCR amplification of expressed mRNA followed by sequence analysis and exploration of functional consequences of documented polymorphisms."
9,584820, Arabidopsis; Biological Process; Biomedical Engineering; Breeding; Candidate Disease Gene; Cereals; comparative; Disease; Disease Resistance; functional genomics; gene discovery; Gene Expression; Genetic; improved; Modeling; Mouse-ear Cress; Pathway interactions; Plant Diseases; Plants; positional cloning; progenitor; Resistance; Resources; Rice; Risk; System; T-DNA; tool; Transcript; Transgenes; Transgenic Organisms,FUNCTIONAL GENOMICS OF CEREAL DISEASE DEFENSE,USDA,ARS,,ARS-0410461,4/5/2006,9/30/2010,"WISE, ROGER P",,,,CORN INSECTS AND CROP GENETICS RESEARCH,AMES,IA,50011,UNITED STATES,,,10.001,2006,,,"Objective(s): Obj. 1:Apply functional genomics tools and resources available to barley, rice, and the model dicot Arabidopsis thaliana, to accelerate comparative analysis of cereal disease defense pathways and associate newly discovered genes with biological function.  Obj. 2:Characterize diversity of global gene expression in cereal crops as a baseline to determine effects of transgene insertion and assess risk of developing improved crop products by bioengineering or marker-assisted breeding approaches. Approach:Obj. 1:Utilize allelic variability inherent to barley Mla, Rar1, and Rom1 as a switch to discover new pathways involved in both Rar1-dependent and Rar1-independent plant disease resistance.  High-throughput barley dsRNAi and Arabidopsis T-DNA reverse genetic systems will be used to functionally validate candidate genes in resistance pathways of both monocot and dicot plants.  Obj. 2:Determine the global transcript profiles of a diverse set of barley germplasm and specific sets of transgenic lines and their progenitors.  Integrative computational approaches will be used to establish whether or not differences in gene expression can be used as a predictor for genetic anomalies associated with transgenic crops.  BL2-P; recertified October 13, 2009."
