Unnamed: 0,PROJECT_ID,PROJECT_TERMS,PROJECT_TITLE,DEPARTMENT,AGENCY,IC_CENTER,PROJECT_NUMBER,PROJECT_START_DATE,PROJECT_END_DATE,CONTACT_PI_PROJECT_LEADER,OTHER_PIS,CONGRESSIONAL_DISTRICT,DUNS_NUMBER,ORGANIZATION_NAME,ORGANIZATION_CITY,ORGANIZATION_STATE,ORGANIZATION_ZIP,ORGANIZATION_COUNTRY,BUDGET_START_DATE,BUDGET_END_DATE,CFDA_CODE,FY,FY_TOTAL_COST,FY_TOTAL_COST_SUB_PROJECTS,ABSTRACT
242,582571, Animals; Area; beef; Cattle; Complement; cost; cost effective; Country; economic implication; Economics; Excretory function; Fabaceae; Farming environment; feeding; Fertilizers; Health; improved; Light; Methods; Nutrient; Nutritive Value; outreach; Performance; Poaceae; Price; Production; Research; Resources; Soil; System,''BEEF CATTLE PRODUCTION ON GRASS-LEGUME MIXES: ECONOMIC IMPLICATIONS OF ESTABLISHMENT METHODS AND GRAZING SYSTEMS PERFORMANCE.'',USDA,NIFA,,2009-55618-05082,9/1/2009,8/31/2013,"PHILIPP, DIRK","JENNINGS, JOHN A.;  COFFEY, KENNETH P.;  SAVIN, MARY; POPP, MICHAEL",3.0,191429745.0,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,FAYETTEVILLE,AR,72701-0000,UNITED STATES,,,10.212,2008,450000.0,,"High fertilizer and feed costs are the main reasons for reduced profits and decreased economic sustainability of beef farms in the US. Additionally, concerns over environmental quality in many areas of the country warrant a shift to more resource-efficient farming practices. Forage legumes have the potential to improve on-farm nutrient cycling, nutrient management, soil health, and enhance pasture nutritive value. Moreover, introducing legumes may result in decreased soil erosion due to utilization of improved grazing methods required to enhance the persistence of legumes. Rotational grazing, for example, reduces soil-erosive potential and provides more uniform distribution of nutrients through animal excretion. Despite obvious advantages of systems containing forage-legume components, research questions for introducing legumes are as follows: (1) What are cost-effective establishment methods for selected annual and perennial legume species (2) What is the long-term persistence of perennial and annual legume species (3) Is the inclusion of annual and perennial legumes into grazing systems cost-effective and environmentally sustainable in the light of current synthetic N fertilizer prices and other external farm inputs We seek to answer these questions simultaneously by initiating three separate studies on these subjects and will also incorporate an outreach component. While these projects will be conducted independently from each other, they complement each other by providing key information to stakeholders."
243,582620, agricultural center; Almond Nut; Apple; Arizona; Automation; California; Data; Decision Support Systems; Economics; Educational workshop; Grapes; Industry; industry partner; medical specialties; meetings; multitask; Needs Assessment; Nurseries; Oranges; Oregon; Outcome; Plants; Potato; Production; Research Personnel; sensor; Soil; Specialist; System; Technology; text searching; Universities; Vegetables; Washington; Wisconsin,A MULTITASKING SENSOR PLATFORM FOR PRECISION MANAGEMENT OF SPECIALITY CROP PRODUCTION,USDA,NIFA,,2008-51180-04884,5/1/2008,12/31/2009,"UPADHYAYA, SHRINIVASA K.","LAMPINEN, BRUCE D.;  SEAVERT, CLARK F.;  SLAUGHTER, DAVID C;  PIERCE, FRANCIS J.;  BROWNE, GREGORY T;  KISE, MICHIO; ANDRADE-SANCHEZ, PEDRO; NOWAK, PETER; MCCLOSKEY, WILLIAM BURR ",1.0,47120084.0,UNIVERSITY OF CALIFORNIA DAVIS,DAVIS,CA,95618-6134,UNITED STATES,,,10.212,2008,99994.0,,"This planning proposal assembles a trans-disciplinary and multi-state researchers and extension specialists from five states (Arizona, California, Oregon, Washington, and Wisconsin), industry leaders in navigation, sensing, automation and control (Trimble Navigation Ltd., Veris Technology Inc. and Wilks Enterprise Inc.), and stakeholders representing specialty crops (apples, almonds, grapes, oranges, nursery crops, potatoes, and vegetable crops) to discuss the sensing needs of the industry so that a multitasking sensor platform can be developed and retrofitted with appropriate sensors to obtain plant, soil, and environmental data to enhance the production efficiency of these crops. An initial meeting will be held on November 3, 2008 at the Trimble Navigation Ltd. facility in Sunnyvale, CA to ascertain the needs of the selected crops from the stakeholders. After the meeting a preliminary economic analysis of the proposed system and a needs assessment of such technologies will be investigated. Moreover, extensive literature search related to relevant sensors and decision support systems that use information from the sensors will be conducted. The results of the economic analysis, needs assessment, and literature search will be presented to the investigators, collaborators, industry partners, stakeholders and additional invited guests during a workshop to be held at the Maricopa Agricultural Center, University of Arizona, in Maricopa, AZ on January 26 and 27, 2009. The outcome of this workshop will define the scope of the proposal that will be submitted during the expected FY 2009 SCRI RFA."
244,582632, Address; Adopted; Aubergine; base; bean; California; Carrots - dietary; Complex; Cucurbitaceae; Detection; Disease; Economics; Education; Fabaceae; Genetic; Goals; Growth; Habits; Housing; Individual; Industrial fungicide; Industry; industry partner; Irrigation; Laboratories; Link; Measures; meetings; Melons; Methods; Michigan; Newsletter; novel; pathogen; Phytophthora; Plants; Production; Pumpkins; Pythium; Recommendation; Research; Research Personnel; Risk; Soil; Solanaceae; Technology; Time; Tomatoes; tool; Vegetables; Water; Waxes,"MULTI-FACETED APPROACH FOR SOIL DETECTION AND MANAGEMENT OF PYTHIUM AND PHYTOPHTHORA IN CARROT, TOMATO, CUCURBITS, AND ASPARAGUS",USDA,NIFA,,2008-51180-04881,6/1/2008,1/31/2010,"HAO, JIANJUN","HAUSBECK, MARY; DAVIS, R. MICHAEL;  GRUMET, REBECCA",8.0,193247145.0,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,48824-1046,UNITED STATES,,,10.212,2008,555185.0,,"The goal of this project is to develop and implement an effective detection method and comprehensive management strategy for the soilborne pathogens, Phytophthora and Pythium species, which relies on multiple tools rather than intensive use of fungicides. Growers and processors rank the diseases caused by these pathogens as a top threat to production and long-term viability, especially to Cucurbitaceae and Solanaceae group vegetables (cucumber, pumpkin, squash, melon, tomato, pepper, eggplant) and most recently Fabaceae group vegetables (lima, snap and wax beans). Recent losses have become so large (individual growers have reached $2 million) that the economic viability of the vegetable industries in many states is at risk and a larger, coordinated multi-state research effort is needed. Researchers in Michigan and California will collaborate with industry partners to achieve these goals through a multi-disciplinary effort. Sub-objectives include developing fast method to detect and quantify pathogens in plant, soil, and irrigation water using PCR-based technology, developing novel production strategies (appropriate cover/rotational crops, biofumigants), identifying cultivars with genetic tolerance or growth habits that reduce disease, and optimizing the efficacy of fungicidal products (identifying effective active ingredients, optimal application, timing). Researchers linked with processors, packers, extension agents, crop consultants, and growers will deliver the research advances to the field via laboratory open houses, newsletters, and field meetings. The rate of adopting project recommendations will be measured. Through these activities, this project will be further integrated into multi-functional research and education activities that address complex pest management priorities."
245,582731, Address; Adolescent; American; Breeding; Chinese People; Country; Engineering; Environment; Environmental Impact; forest; fungus; Growth; Hybrids; Insecta; Lead; Methods; Nuts; Organism; Outcome; oxalate oxidase; Paper; Phase; Photosynthesis; Plant Leaves; Pollen; programs; Protocols documentation; Recording of previous events; Relative (related person); Research; Resistance; restoration; Simulate; Societies; Techniques; Technology; Testing; tool; trait; Transgenes; Transgenic Organisms; Trees,EVALUATING ENVIRONMENTAL IMPACTS OF TRANSGENIC AMERICAN CHESTNUT TREES TO CHESTNUT TREES PRODUCED BY CONVENTIONAL BREEDING,USDA,NIFA,,2008-39211-19564,10/1/2013,9/30/2015,"POWELL, WILLIAM A.","MAYNARD, CHARLES A.;  LEOPOLD, DONALD J.;  PARRY, DYLAN; HORTON, THOMAS R. ",25.0,152606125.0,COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,SYRACUSE,NY,13210-2712,UNITED STATES,,,10.203,2008,379980.0,,"We have a unique opportunity to develop protocols for evaluating the environmental impacts of transgenic trees. We have developed and are field-testing the first transgenic American chestnut trees expressing a resistance-enhancing transgene, oxalate oxidase. The RFA question addressed:  Is there an effect above and beyond what might occur with an organism that has similar traits, but was developed using other technologies  To make this comparison, we will examine ectomycorrhizal colonization, insect herbivory, tree growth, photosynthesis rates, and leaf litter decomposition among our transgenic American chestnut trees relative to a standard panel of hybrid chestnut trees produced by traditional breeding techniques, wild-type American chestnut trees, and timber-type Chinese chestnut trees. Two different field conditions will be examined, open orchards and stands thinned to simulate commercial shelterwood cuts. The overarching hypothesis is that there will be no significant difference between the genetically engineered trees and similar trees produced by conventional breeding. This project represents an initial phase of research that examines the effects of transgenes in juvenile trees on the important ecological components listed above. The next phase of research would include additional studies on pollen drift and nut viability when the trees mature. The American chestnut is an  American heritage  tree because of its importance to our country's history, society, and environment. Therefore this research could lead to a unique forest restoration program. Another important outcome will be a methods paper giving regulators tools for evaluating the impact of other genetically engineered trees on mycorrhizal fungi, insect herbivory, and tree growth."
246,582780, Adoption; Agriculture; Agrochemicals; Apple; base; bean; Businesses; Carrots - dietary; Cereals; Collaborations; Communication; Databases; Development; Ecosystem; Education; Education and Outreach; Faculty; Farming environment; Foundations; Fruit; fruits and vegetables; Grant; Incentives; Industry; Left; Marketing; Methods; Modeling; Nonprofit Organizations; outreach; Pesticides; Pisum sativum; Play; Policies; Potato; Process; Production; Protocols documentation; Recording of previous events; Research; Resistance; Risk; Risk Assessment; Role; Site; Students; System; Talents; tool; Universities; Vegetables; Wisconsin; Work,"POTATO PEST MANAGEMENT, WI",USDA,NIFA,,2008-45053-04754,10/1/2013,9/30/2015,"KLEMME, RICHARD M.","MCCOWN, BRENT H.;  KNUTESON, DEANA L. ",2.0,161202122.0,UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,53706-1415,UNITED STATES,,,10.202,2008,282903.0,,"Outreach and education targeted specifically at biologically based IPM and ecosystem production methods are essential to promote adoption by growers. In Wisconsin we have developed the foundation for biointensive IPM education. We are now proposing to develop specific educational tools which will enable growers to integrate biointensive IPM strategies into existing production systems. Wisconsin fruit and vegetable growers are particularly vulnerable to FQPA since risk calculations are higher for crops that are consumed directly rather than as processed products. The processing sector has undergone rapid consolidation in the past decade, leaving only two locally-owned processors in the state. Other than on-farm processing, apple growers have no processing options. Also, given the small acreage of fruit and vegetable crops as compared to grains or pasture in Wisconsin, they represent a small market and hence there is little incentive for agrochemical companies to pursue registration of pesticide alternatives, which requires costly risk assessment studies. . The overall momentum of the eco-potato and eco-fruit projects has been extremely strong as many things have been accomplished such as the continuation of the marketing effort, enhancements of the Collaboration standards, improvements of resistance management protocols, database implementation, grant coordination and expansion of the use and development of educational tools for growers. We have worked with numerous faculty, industry representatives, potato and other commodity organizations, and environmental organizations to export the agricultural model for targeted and industry-wide change. In Wisconsin, this work is expanding to other vegetable crops, such as carrots, peppers, beans and peas. Furthermore, we have enhanced the ecological portions of the Collaboration by working with national and local environmental organizations and expanding our research with University of Wisconsin faculty by involving their expertise, research and education into the project. We need to maintain this strength while exporting the model of industry-wide agricultural changes through the use of policy and communication efforts. The University of Wisconsin is an appropriate site for this project because of the proven capacity to complete this project; the talent of its faculty, staff and students; its long history of commitment to outreach; and the vulnerability of Wisconsin growers to further restrictions on pesticide use. The UW is able to play a unique coordinating role between state and federal agencies, non-profit organizations, and private businesses to attain the project objectives."
247,582879, Affect; bean; comparative genomics; Delaware; Disease; Fabaceae; Genes; Genomics; Genus - Lotus; high school; Historically Black Colleges and Universities; junior high school; Medicago; Mentors; Methodology; middle school; Modeling; Molecular Biology; pathogen; Phaseolus vulgaris; Plants; Production; Proteins; Research; Research Personnel; Resistance; School Teachers; Source; Soybeans; Students; Technology; Training; Transcript; United States; Universities,USE OF LEGUME COMPARATIVE GENOMICS FOR UNDERSTANDING COMMON BEAN RUST RESISTANCE,USDA,NIFA,,2008-38814-04735,10/1/2012,9/30/2014,"KALAVACHARLA, VENUGOPAL",,0.0,114337629.0,DELAWARE STATE UNIVERSITY,DOVER,DE,19901-2202,UNITED STATES,,,10.207,2008,295806.0,,"Common bean (Phaseolus vulgaris L.) is economically very important and the most important source of legume protein in the world. In the United States, in FY 2005 common beans yielded $526 Millions in revenue with 1,666,000 acres planted. One of the most important diseases affecting United States bean production is rust caused by the fungal pathogen Uromyces appendiculatus (Pers. Ex Pers.) Unger var. appendiculatus. We plan to use a comparative genomics strategy by utilizing sequence information that is being generated from the model legumes soybean, Medicago and Lotus. Additionally, we plan to conduct deep sequencing of transcripts (i.e., expressed genes) by using the latest cutting-edge methodologies of Illumina/Solexa and the Roche/454 FLX technology that have been developed in molecular biology and genomics. This will advance not only legume research but will also aid in the mentoring and training of all levels of researchers at Delaware State University, an 1890 HBCU as well as middle-school and high-school teachers and students."
248,582898, Agriculture; Bacterial Infections; Biological; Botanicals; Chemicals; Data; Education; Environmental Pollution; Farming environment; Food; Fusarium; General Population; Goals; Immunity; Indigenous; Insect Control; Insect Viruses; Journals; Laboratories; Materials Testing; medical specialties; microbial; Organism; pathogen; Pest Control; Pesticide Residues; Pesticides; Plants; Practice Management; Production; Publishing; Research; Research Project Grants; Resistance; Scientist; sound; South Carolina; Soybeans; Techniques; Technology Transfer; Toxic effect; Universities; Vegetables; Watermelon,"PEST CONTROL ALTERNATIVES, SOUTH CAROLINA",USDA,NIFA,,2008-34287-19425,10/1/2010,9/30/2011,"KEINATH, ANTHONY P.","SHEPARD, BUFORD M.;  HASSELL, RICHARD L. ",3.0,42629816.0,CLEMSON UNIVERSITY,CLEMSON,SC,29634-0001,UNITED STATES,,,10.207,2008,193714.0,,"The overall goal of this project is to identify alternatives to conventional chemical pesticides currently used for pest control in vegetables and specialty crops. The general public is becoming increasingly concerned about pesticide residues in food, toxic effects of chemicals on non-target organisms, and environmental contamination. Developing and evaluating alternative practices that are ecologically sound, economically feasible, and acceptable to growers will be a high priority. This project will achieve these goals by: 1) developing and evaluating microbial pest control agents and botanical products for control of insect pests and plant pathogens on vegetable and specialty crops, such as collard, cucumber, squash, and edamame edible soybean; 2) developing integrated pest management practices for leafy greens in South Carolina that reduce losses to bacterial diseases, and 3) evaluating cucurbit rootstocks for resistance or immunity to Fusarium wilt and for use in seedless watermelon production. These objectives will be achieved through carefully planned research projects carried out at Clemson University's Coastal Research and Education Center in Charleston, SC, at the Calhoun Field Laboratory organic farm in Clemson, SC, and in grower fields throughout the state. Scientists at Clemson University already have identified many insect viruses and botanical materials for testing against pests. Data will be analyzed with appropriate statistical techniques, and results will be published in refereed journals and communicated to Extension agents and growers. All approaches emphasize conservation of indigenous biological control agents and sustainable agriculture. This project will immediately focus on research and technology transfer for developing sound pest management options."
249,582936, Active Learning; Address; Agriculture; Alabama; Area; base; Breeding; Cereals; Code; Collaborations; Columbidae; Discipline; Economics; Education; Educational process of instructing; Emerging Technologies; Fabaceae; Faculty; falls; farmer; Farming environment; Food; Goals; Government; Grant; Income; Institution; Knowledge; Lead; Marketing; natural resource conservation; Nutritional; operation; Pilot Projects; Pisum sativum; Policies; Production; programs; Regulation; Research; research study; Science; Seasons; Services; Students; System; Tennessee; Tobacco; trait; United States; Universities; Virginia; web site,DEVELOPING PIGEONPEA AS A VIABLE CASH CROP ON SMALL FARMS,USDA,NIFA,,2008-38814-04736,10/1/2012,9/30/2014,"TEGEGNE, FISSEHA","DUSEJA, DESH; SANFORD, EDWARD K.;  EKANEM, ENEFIOK",5.0,108814179.0,TENNESSEE STATE UNIVERSITY,NASHVILLE,TN,37209-1500,UNITED STATES,,,10.207,2008,500000.0,,"Small farms, which make up a large proportion of farms in the United States, are concentrated in the Southeastern region. They have been facing a number of challenges over the years of which maintain an adequate level of income from their farm operations remains to be the major one. In this era of global competition, trade regulations, emerging technologies and changes in government policies regarding the Tobacco Buyout program small Farmers need to explore new opportunities to survive. This three-year integrated multi-disciplinary and multi-institutional proposal, based on a pilot study, is aimed at introducing pigeonpea (Cajanus cajan L. Millsp), a warm season grain legume, to small farmers. Tennessee State University is the lead institution and Alabama A&M and Virginia State Universities are partners. The Agricultural Research Service and the Natural Resources Conservation Services are USDA cooperators. Pigeon pea (Cajanus cajan L. Millsp) is a warm season grain legume that has potential as an alternative crop for small farmers in the Southeastern region of the United States. Objectives: 1) to evaluate a wide range of pigeonpea breeding lines for adaptation and agronomic traits desirable for production as food and forage crop, 2) to assess acceptance of the crop by small producers and fill knowledge gap about it, 3) to conduct economic analysis of pigeonpea production and identify markets and marketing strategies, 4) to disseminated information about adaptability, production practices, marketing and nutritional aspects of pigeonpea using Web site, fact sheets, and field days, and 5) to strengthen collaboration among teaching, research and extension faculty and provide student experiential learning. Field trials will be conducted on research stations and selected farms. The proposal is consistent with goals and objectives of participating universities and is related to goals 2 and 3 of the Capacity Building Grants Program; it falls under the program priority area 2 and supports CSREES, USDA goals 2 and 3. The project discipline area is General Food and Agricultural Sciences with the discipline code EQ.G. It addresses the need area of Studies and Experimental in Food and Agricultural Sciences, build the research capacity of the participating institutions and contribute to food and agricultural sciences higher education system."
250,582957, Agriculture; Arachis hypogaea; base; chemical release; cost; Country; Decision Making; Disease; Disease Management; disorder risk; Economics; Environment; Environmental Impact; Expenditure; Florida; Food Supply; Funding; Fusarium; Goals; Government; Grant; Great Lakes Region; Head; high end computer; improved; Industrial fungicide; Internet; Lead; Michigan; Mining; Minor; Modeling; new technology; Online Systems; Peanuts - dietary; Pesticides; Plant Leaves; Potato; Prevention; Research Infrastructure; Risk; Services; Specialist; Spottings; Strategic Planning; System; Technology; Temperature; Testing; Time; Uncertainty; Update; usability; Weather,SYNOPTIC WEATHER FORECASTING AND WEB-BASED INFORMATION DELIVERY SYSTEMS FOR MANAGING CROP DISEASE RISK IN MULTIPLE REGIONS OF THE U.S.,USDA,NIFA,,2008-51101-19477,10/1/2013,9/30/2015,"BAKER, KATHLEEN MARIE","STEIN, JEFFREY; PAZ, JOEL O.;  WHARTON, PHILLIP SIMON;  KIRK, WILLIAM W. ",6.0,622364479.0,WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,49008-0000,UNITED STATES,,,10.207,2008,1046119.0,,"The project will create weather-based disease risk forecasts for crop diseases in various regions of the U.S. We will specifically focus on leaf spot of peanut in Georgia and northern Florida, Fusarium head blight of barley in the northern Great Plains, and late blight of potato in Michigan. The resulting forecasts will be delivered through web-based systems and will be available to growers on a daily update basis. Risk forecasts can improve crop quality while at the same time reducing fungicide use by allowing growers to improve the timing of fungicide applications. Our goals in reducing fungicide use are of increasing product quality, limiting expenditures, and reducing the amount of chemical released to the environment. We will examine and quantify the accuracy, economic and environmental impacts, and usability of crop disease risk forecasts at both the synoptic and mesoscale (different weather forecasting scales) in the various regions of the U.S. By selecting three very different crop species (peanut, barley, potato) each heavily dependent upon fungicide sprays for the prevention, avoidance, and management of disease in various regions of the country (southeast, northern Great Plains, Great Lakes region), we plan to capture the overall potential of such forecasting systems for widespread use in the U.S. New technologies in the form of improved National Weather Service forecasts (since 2004) and access to high performance computer workflows give us the opportunity to exploit these advances funded through large government technology grants (the LEAD project alone cost $11.5 million) for the benefit of both major and minor agricultural commodity groups. The ultimate goal of any forecast system is reduction of uncertainty that can negatively influence decision making by users. In the case of disease risk forecasting for agriculture, decisions by the target group of users can negatively impact our food supply, environment, and economy by increasing use of pesticides. Increasing accessibility to forecast information through free, thoroughly tested forecast services in the web environment has the potential to dramatically decrease uncertainty in a variety of crop systems. In this project we examine three crops in three regions of the country, but the implications of the project's results are much more far reaching. Many crop diseases have similar meteorological triggers based on temperature and moisture requirements that may be mined from available forecasts. For a number of years, growers, stakeholders , commodity associations, crop consultants and land grant specialists have been requesting disease risk prediction models for all the major crops in the U.S. through Pest Management Strategic Plans. The public availability of weather forecasts and the improved infrastructure to promote the use of these forecasts make this the time to examine usefulness of forecasting as a national priority in agriculture."
251,582971, Address; Animals; Antimicrobial Resistance; Biological; Biology; biosecurity; clinical epidemiology; Domestic Fowls; Epidemiology; Evolution; Family suidae; Food Safety; Fruit; Genetic; Genomics; Human; Immunology; Infection; International; meetings; Methods; Molecular and Cellular Biology; Nuts; Pathogenesis; Physiology; prevent; Prevention; programs; Resistance; Safety; Salmonella; Seafood; symposium; System; United States; Vaccines; Vegetables,"3RD ASM CONFERENCE ON SALMONELLA: BIOLOGY, PATHOGENESIS & PREVENTION",USDA,NIFA,,2008-35201-04638,10/1/2011,9/30/2013,"FANG, FERRIC C",,0.0,72643117.0,AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,20036-2904,UNITED STATES,,,10.207,2008,15000.0,,"Salmonella represents one of the most prominent food safety problems in the United States and also poses a threat to animal health and public safety. The emergence of multi-resistant Salmonella strains has complicated efforts to prevent and treat infections in humans and animals. This diverse international meeting will include sessions on Salmonella evolution, genomics, genetics, physiology, epidemiology, clinical aspects (including antimicrobial resistance), animal infections, food safety, pathogenesis (including systems, molecular and cellular biology), immunology and vaccines. The focus of this meeting specifically addresses the priorities of the USDA program on Food Safety: Biological Approaches, NRI, which include Salmonella associated with seafood, fresh fruits, nuts and vegetables, and methods to reduce the Salmonella burden in poultry and swine. The meeting is also relevant to the program on Animal Protection and Biosecurity or Food Safety: Epidemiological Approaches."
