,TEXT,0,1,2,3,4,5,6
0,"The objective of this research project is to examine the overall health of marsh rice rats living in natural and restored saltwater (brackish) marshes, as well as freshwater marshes in the Sabine National Wildlife Refuge.  Through the analysis of hematological, immunological, and hepatological measurements, as well as the examination of endoparasites and ectoparasites, we will determine if populations of rice rats living in any of these habitats may be less able to meet physiological challenges than those living in other types of habitats. Fresh Water; Habitats; Health; Hematology; Immunologics; Measurement; Names; Parasites; Physiological; Population; Research Project Grants; Rice RatsA COMPARISON OF HEALTH PARAMETERS AND PARASITES IN THE MARSH RICE RAT <I>ORYZOMYS PALUSTRIS</I> FROM NATURAL FRESHWATER, SALTWATER, AND RESTORED MARSHES IN THE SABINE NATIONAL WILDLIFE REFUGE",1e-06,1e-06,1e-06,0.0016906720618560388,1e-06,1e-06,0.9999980934367722
1,"The objective of the Hazardous Substance Research Center/South and Southwest HSRC/S&amp;SW) is to provide basic and applied research, technology transfer and community outreach that address hazardous substance problems, especially the engineering management of contaminated sediments and other problems of special interest to communities within EPA Regions 4 and 6. Due to past and present toxic releases, these regions face serious hazardous substance problems and yet contain a significant fraction of the wetlands and inland waters found in the United States. The mission of the Center is to be a primary provider of the tools and process knowledge required to respond to the hazardous substance problems posing the greatest risks to people and the environment. The Center consists of Louisiana State University, as lead institution, Georgia Institute of Technology, Rice University, Texas A&amp;M University. The broad range of expertise available to the research and outreach teams insure the ability of the Center to be truly community and problem-driven.The Center was initially directed by Dr. Danny Reible, currently the Bettie Margaret Smith Chair of Environmental Health Engineering at the University of Texas. In 2004, he was joined by Dr. John Pardue, the Elizabeth Howell Stewart Professor of Civil &amp; Environmental Engineering at Louisiana State University, as co-Director. The research themes of the Center include 1) assessing the physical, chemical and biological availability of contaminants in sediments, 2) evaluating and enhancing biotransformation processes in sediments, and, 3) improving the science of risk management for contaminated sediments. The overriding objective is to improve the effectiveness of remedial approaches by seeking to understand and minimize contaminant release and exposure. Four broad research topics are under evaluation. These projects seek to 1) evaluate the bioavailability of desorption resistant contaminants, 2) develop improved approaches for in-situ containment and treatment, 3) assess contaminant losses during removal and episodic storm events, and, 4) evaluate phytoremediation for remediation in wetlands and confined disposal facilities (CDFs). During the period of Center operation, significant progress was made in each of these research areas. Notable accomplishments during the funding period of 2002-2007 include 24 book or book chapters  63 refereed journal articles and 12 Proceedings papers 102 technical presentations at national and international meetings 21 invited presentations Address; Applied Research; Area; Basic Science; Biological Availability; Book Chapters; Books; Chemicals; Communities; Community Outreach; Containment; Effectiveness; Engineering; Environment; Environmental Engineering technology; Environmental Health; Evaluation; Event; Excision; Face; Funding; Hazardous Substances; improved; In Situ; Institutes; Institution; interest; International; journal article; Knowledge; Lead; Louisiana; meetings; Metabolic Biotransformation; Mission; Names; operation; outreach; Paper; Process; professor; Provider; remediation; Research; Resistance; Rice; Risk; Risk Management; Science; Technology; Technology Transfer; Texas; tool; United States; Universities; WaterHAZARDOUS SUBSTANCE RESEARCH CENTER&NDASH;SOUTH AND SOUTHWEST",0.999999,1e-06,0.999999,1e-06,0.999999,1e-06,0.999999
2,"I. EXECUTIVE SUMMARY In Phase I of the greenhouse study, column experiments were accomplished in June 2005. Two types of soils were selected based on the physico-chemical properties, which were most likely to influence As retention. Pesticides (sodium arsenate and DMA) were used at two different rates (675 and 1500 mg kg-1) representing superfund conditions. Rice (used as the test crop) was grown for a period of 6 months. Rice was harvested twice, after 3 and 6 months. Soils were collected at different time periods: immediately after spiking (time-0), after 6 months (time-final) and after 1 and 3 years. The second set of column experiments was started in late June 2004. It involved two soils (Immokalee and Orelia), and two pesticides (Sodium arsenate and DMA) added at a rate of 1500 mg kg-1 of soil. Both soils were amended with Al-WTR and Fe-WTR at two rates (5% and 10%) expected to be effective in reducing soluble As. Rice was used as the test crop. To better understand the effect of soil-aging on As bioaccessibility and speciation, columns from both of the experimental set ups were retained (without the cultivar) for three years and were sampled once in a year. The columns were maintained at optimum soil moisture conditions (&ldquo;pot-holding capacity&rdquo;). Aqueous speciation study of As was also conducted to see whether there were changes in the oxidation state of As. Soil samples collected at different time periods were extracted for soil-As forms by a sequential extraction technique and for bioavailable As by in-vitro gastrointestinal method as described by Datta and Sarkar (2004). In all the three soils except for Pahokee Muck, most of the total extractable As was in the soluble form. Soluble form decreased significantly after 1 year of soil-pesticide equilibration. Arsenic bioaccessibility also decreased with time in all the four soils, indicating the affect of ageing as well as soil properties on bioaccessibility. Selected in-vivo study using As-contaminated soils were conducted on male/female BALB/c mice. In-vivo bioavailability was calculated from the blood collected by cardiac puncture at different time periods. Results obtained with WTRs suggests that significantly higher levels of the added As was transformed into bound forms, thus decreasing its bioaccessibility in Fe-WTR and Al-WTR amended soils. Arsenic bioaccessibility decreased immediately after spiking for both the WTRs, with more reduction at higher application rate (10%). Geochemical speciation after 1 year of soil-WTR-pesticide equilibration showed that As in the WTR amended soils was mostly in Fe-and Al-bound form, therefore less available, thereby decreasing As bioaccessibility. Affect; Aging; aqueous; Arsenates; Arsenic; base; Bioavailable; Biological Availability; Blood; Cardiac; experimental study; Female; gastrointestinal; Harvest; In Vitro; in vivo; Inbred BALB C Mice; male; Methods; Names; oxidation; Pesticides; Phase; Property; Puncture procedure; Rice; Sampling; Sodium; Soil; soil sampling; Superfund; superfund site; Techniques; Testing; TimeBIOGEOCHEMISTRY OF ARSENIC IN CONTAMINATED SOILS OF SUPERFUND SITES",1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06
3,"Objective(s): Develop the necessary range of knowledge and technologies to use plants to produce chemical feedstocks and fuels with more renewable and more enviromentally acceptable methods than current sources such as petrochemicals. Focus initially on the cereal crops (especially wheat and rice) and other grasses and non-grass species with potential for biofuel development. Coordinate with other ARS and non-ARS projects in specific approaches to biofuel research and development.Approach:To achieve these objectives, an integrated plant molecular, genomics, bioinformatics, plant transformation approach will be developed for the production of biofuels from crops. Specifically: 1) Determine parameters underlying ectopic expression of polysaccharides and proteins in plant leaf and stem tissue, to include stability of expressed products and plant response; 2) Determine potential for altering plant architecture and cell wall structure for altered functions such as more efficient light gathering, storage capacity, and increased efficiency of post-harvest product processing as for straw/fiber conversion; 3) Modify polysaccharide production to enhance ethanol production, to include both existing and novel polymer structures; 4) Develop a repertoire of tissue and development specific promoters, initially concentrating on promoters efficient in the monocotyledonous plants. Formerly 5325-21000-009-00D (8/04). Architecture; Bioinformatics; Cell Wall; Cereals; Chemicals; Development; Ectopic Expression; Ethanol; Fiber; Genomics; Harvest; Knowledge; Light; Methods; Molecular; novel; Plant Leaves; Plants; Poaceae; Polymers; Polysaccharides; Process; Production; Proteins; research and development; response; Rice; Source; stem; Structure; Technology; Tissues; WheatBIOTECHNOLOGICAL ENHANCEMENT OF ENERGY CROPS",1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,6.10133866311529e-05
4,"The overall objective of this collaborative project is to metabolically engineer the E. coli sugar-utilization regulatory systems (SURS) to utilize sugar mixtures obtained from plant biomass. We will introduce specific genetic modifications to the SURS and analyze the consequences of these changes at the cellular level. The specific goals are to: (1) construct E. coli strains with modified SURS and evaluate their capability to efficiently utilize sugar mixtures (glucose, xylose and arabinose); (2) evaluate changes in the regulation of gene expression at the genomic scale resulting from engineering E. coli SURS; (3) identify functional metabolic pathways and quantify their fluxes in SURS mutants and wild type strains by using a novel flux analysis technique based on bondomer analysis of 2D NMR bond-labeling experiments; (4) integrate these results using a novel genetic network-based MFA model that combines gene expression and metabolic flux data; and (5) propose further genetic/environmental modification for improving the capacity of SURS mutants for fermenting sugar mixtures.The specific aims of this project are: 1) to develop an integrated quantitative model that captures existing mechanistic knowledge about SURS from literature and exiting data; and 2) to refine the model with in-house experiments from Dr. Gonzalez&rsquo;s group at Rice University. Arabinose; base; Biomass; Consumption; Data; Engineering; Escherichia coli; experimental study; Gene Expression; Gene Expression Regulation; Genetic; Genomics; Glucose; Goals; improved; Knowledge; Label; Literature; Metabolic; metabolic engineering; Metabolic Pathway; Modeling; Modification; mutant; Names; Network-based; novel; Plants; Research; Rice; sugar; System; Techniques; Universities; XyloseCOLLABORATIVE RESEARCH: METABOLIC ENGINEERING OF <EM>E. COLI</EM> SUGAR-UTILIZATION REGULATORY SYSTEMS FOR THE CONSUMPTION OF PLANT BIOMASS SUGARS",1e-06,0.9999978928287178,1e-06,1e-06,1e-06,1e-06,0.0004390177998302996
5,"In only 12 years &mdash; from  1987 to 1999 &mdash; the world&rsquo;s population increased by 20 percent,  from 5 to 6 billion. This growth, combined with dramatic increases in per capita  resource consumption, contributes to increasingly serious social and environmental  problems. These problems will only worsen over the next 50 years as the projected  world population nears 9 billion and developing nations become more industrialized. The overall purpose of Phase I of this design project was to investigate the  feasibility of substituting natural pozzolans for Portland cement in the construction  of engineering infrastructure in the developing world. The evaluation criteria  used in this Phase 1 study included: workability, strength, availability, economic,  societal concerns, and environmental impact. In particular &ldquo;high tech&rdquo; solutions  which are not sustainable on a long-term basis in most of the developing world  were forgone, and instead students learned to apply &ldquo;appropriate technology&rdquo; &mdash; defined  as  the use of  materials and technology that are culturally,  economically, and socially suitable to the area in which they are implemented.            The use of a natural pozzolans for hydraulic cement began in            prehistoric times, and was abandoned for western-based Portland cement            concrete technology in the early 1900&rsquo;s. In recent years incorporation            of natural pozzolans into engineering materials has been largely            supplanted by pozzolans derived from industrial byproducts such as fly ash produced  from the burning of pulverized coal, silica fume produced from electric arc  furnaces, and ground blast furnace slag. However, in developing countries, especially those with active or historic  volcanism and/or large scale rice production, there are potential large supplies  of suitable natural pozzolans. In addition, locally available (and thus cost  effective) natural pozzolans may substantially reduce the overall use of Portland  cement if simple and reliable field methods can be developed that would judge  their suitability for use in concrete. United Nations Millennium Development Goal Number 1 is to &ldquo;eradicate  extreme poverty and hunger.&rdquo; Since more than a billion people still live  on less than US$1 a day, there is a need for low cost and a locally available  substitutes for Portland cement. Natural pozzolans will most likely he free  to local communities, like sand and gravel currently are. Therefore, if a community  obtains materials locally, their labor can usually be considered as an in-kind  cost to the project&rsquo;s sponsors. Millennium Development Goal Number 7  is to &ldquo;ensure environmental sustainability&rdquo; with a target for year  2015 to reduce by half the proportion of people without access to safe drinking  water. Water supply projects are one aspect of engineering infrastructure where  natural pozzolans might be used. Three natural pozzolans were evaluated in our Phase I study; volcanic ash,diatomaceous earth, and rice husk ash. A life cycle assessment (LCA) and economic input-output LCA were performed  to further determine the environmental impact of manufacturing 1 ton of Portland  cement.   Laboratory tests were performed on different pozzolan-cement mixes to  determine issues related to workability and strength.   An economic and social analysis, focused on the Philippines, was performed  to support Phase II plans to construct prototype water storage tanks that contain  some percent of natural pozzolan substitution.   The global economic savings and potential reduction in anthropogenic CO2  e anthropogenesis; Area; base; Carbon Dioxide; Coal; Communities; Construction Materials; Consumption; cost; cost effective; Developing Countries; Development; Diatomaceous Earth; drinking water; Economics; Engineering; Ensure; Environmental Impact; Evaluation; fly ash; Goals; graduate student; Growth; Hunger; Industrialization; Infrastructure; Laboratories; Life Cycle Stages; Methods; Names; Output; Phase; phase 1 designs; phase 1 study; Philippines; Population; Poverty; Production; prototype; Resources; Rice; Savings; Silicon Dioxide; social; Students; Technology; Testing; Time; United Nations; Volcanic Ash; Water; Water SupplyP3 DESIGN PROJECT FOR AN INTERDISCIPLINARY TEAM OF GRADUATE STUDENTS:DEVELOPMENT OF APPROPRIATE, SUSTAINABLE CONSTRUCTION MATERIALS",1e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999
6,"Objective(s): Objective 1) Identify bioactive natural compounds for herbicidal, insecticidal, fungicidal, antimicrobial and nutraceutical use from Vaccinium species, allelopathic rice varieties, and other sources. Objective 2) Determine and manipulate the biosynthetic pathways of bioactive compound(s) in blueberry and rice.Approach:General procedures for isolation of secondary metabolites will be employed such as solvent extractions, distillations, column chromatography and thin layer chromatography.  Identification of biologically active compounds will be done using spectroscopic methods (UV, IR, MS, NMR).  Extracts, fractions, and pure compounds will be tested for phytotoxic, antifungal, algaecidal and/or termiticidal activities.  Phytotoxicity, antifungal and algaecidal assays being carried out routinely at NPURU will be utilized.  Activity against the Formosan subterranean termite will be performed at the USDA-ARS, Formosan Subterranean Research Unit, New Orleans, LA. Biosynthetic studies will be performed by feeding with 13C-labelled precursors and incorporation will be determined by 13C-NMR spectroscopy.  Molecular biology experiments will be performed using standard protocols. Antifungal Agents; antimicrobial; Biological Assay; Blueberries; Column Chromatography; Development; feeding; Industrial fungicide; Isoptera; Label; Methods; Molecular Biology; Natural Products Chemistry; NMR Spectroscopy; Nutraceutical; Pathway interactions; Procedures; Protocols documentation; Research; research study; Rice; solvent extraction; Source; Testing; Thin Layer Chromatography; Vaccinia; VacciniumCHEMISTRY OF NATURAL PRODUCTS FOR PEST MANAGEMENT AND CROP DEVELOPMENT",1e-06,1e-06,1e-06,1e-06,1e-06,0.9999298560922908,0.999999
7,"Methyl tertiary-butyl ether (MTBE) contamination in groundwater and surface      water in the United States is widespread and considered a major threat      to drinking water resources. The fuel oxygenate is therefore being phase      out,      and ethanol is the leading oxygenate to replace MTBE. To prevent a repeat      of the problems associated with MTBE, the potential impacts to groundwater      quality resulting from the inevitable releases of ethanol-blended gasoline      must be understood. Typical scenarios include leaks of ethanol-blended      gasoline from underground storage tanks, accidents with railroad cars or      tanker trucks      and spills of neat ethanol at distribution terminals. One of the major      concerns regarding ethanol releases is its potential to cosolubilize benzene      and other      aromatic compounds in groundwater.There have been some prior laboratory studies that have addressed the cosolubilization  of benzene by ethanol, including research by Dr. Rixey at the University of  Houston. However, a larger-scale investigation is needed to more thoroughly  address the environmental implications associated with the use of ethanol additive  fuels. The objective of this research is to simulate spill  scenarios in the field with a controlled pilot-scale system. This proposed  research will  merge the expertise of two universities (Rice and the University of Houston)  by studying the impacts of ethanol in the Experimental Controlled Release System  (ECRS), a pilot-scale tank designed specifically to test environmental remediation  techniques on a scale that more closely resembles that in the field. Accidents; Address; Alcohol consumption; Aromatic Compounds; Benzene; controlled release; design; drinking water; Environmental Monitoring; Ethanol; Ethers; Gasoline; ground water; Investigation; Laboratory Study; Names; Phase; prevent; Railroads; remediation; Research; Resources; Rice; Surface; System; Techniques; United States; Universities; WaterA LARGE-SCALE EXPERIMENTAL INVESTIGATION OF THE IMPACT OF ETHANOL ON GROUNDWATER CONTAMINATION",1e-06,1e-06,1e-06,0.999999,0.999999,0.0007362112249413271,0.9999129058061349
8,"Methyl tertiary-butyl ether (MTBE) contamination in groundwater    and surface water in the United States is widespread and considered a major    threat to drinking    water resources. The fuel oxygenate is therefore being phase out, and ethanol    is the leading oxygenate to replace MTBE. To prevent a repeat of the problems    associated with MTBE, the potential impacts to groundwater quality resulting    from the inevitable releases of ethanol-blended gasoline must be understood.    Typical scenarios include leaks of ethanol-blended gasoline from underground    storage tanks, accidents with railroad cars or tanker trucks and spills of    neat ethanol at distribution terminals. One of the major concerns regarding    ethanol releases is its potential to cosolubilize benzene and other aromatic  compounds in groundwater.There have been some prior laboratory studies that have addressed the cosolubilization  of benzene by ethanol, including research by Dr. Rixey at the University of  Houston. However, a larger-scale investigation is needed to more thoroughly  address the environmental implications associated with the use of ethanol additive fuels.The objective of this research is to simulate spill  scenarios in the field with a controlled pilot-scale system. This proposed  research will  merge the expertise of two universities (Rice and the University of Houston)  by studying the impacts of ethanol in the Experimental Controlled Release System  (ECRS), a pilot-scale tank designed specifically to test environmental remediation  techniques on a scale that more closely resembles that in the field. Accidents; Address; Alcohol consumption; Aromatic Compounds; Benzene; controlled release; design; drinking water; Environmental Monitoring; Ethanol; Ethers; Gasoline; ground water; Investigation; Laboratory Study; Names; Phase; prevent; Railroads; remediation; Research; Resources; Rice; Surface; System; Techniques; United States; Universities; WaterA LARGE-SCALE EXPERIMENTAL INVESTIGATION OF THE IMPACT OF ETHANOL ON GROUNDWATER CONTAMINATION",1e-06,1e-06,1e-06,0.999999,0.999999,3.892880337770117e-05,0.9999129058061189
9,"Objective(s): Certain common dietary factors appear to be capable of: 1) affecting growth and development; 2) transiently and permanently altering metabolism; 3) influencing body composition; and 4) preventing some diseases.  For example, fruits, vegetables, grains and milk contain natural compounds (phytochemicals, peptides and proteins) that can alter development, physiology and metabolism, which can ultimately lead to disease prevention and phenotypic changes.  We will: 1) document which foods and dietary factors can alter body composition either in children or in offspring born to mothers who consume those foods; 2) determine how much of and in what context, these foods are needed to affect body composition; 3) study dietary factors in foods commonly consumed by children, such as fruits, rice, milk, and soy to determine how they may affect calorie balance and diseases associated with energy utilization (such obesity-associated insulin resistance), cardiovascular disease, and breast cancer; 4) identify the biologically active dietary factors and determine their bioavailability, the doses required for specific effects and their mechanisms of action; 5) determine the direct and indirect effects of dietary factors and the interactions of these factors with endogenous signals in human subjects and animal models throughout early life stages and phenotypes. For example, the isoflavones (also called  phytoestrogens ) are particularly concentrated in soybeans and can have many of the same actions as the major female hormones in women, the estrogens. Countries with regular consumption of large amounts of soy foods report lower incidence of cancer, cardiovascular disease, and obesity; and factors in soy (isoflavones and peptides) are postulated as being partially responsible. The soy connection to long-term health is important, because one million U.S. infants are fed infant formula containing soy protein each year and the phytoestrogen content in their blood is extremely high. Virtually nothing is known about the actions of these substances in children, nor on the long-term health consequences of this early exposure. Since this affects nearly 25% of America's youngest people, it is essential to ascertain the long-term health consequences, both positive and negative, of early consumption of these phytochemicals.  This is just one example of several foods containing different phytochemicals that have potential health effects during development.Approach:Studies will focus on the various dietary factors found in foods commonly comsumed by children, such as fruits, rice, milk, and soy to determine their long-term health effects in infants and children. Phytochemicals (such as the isoflavones), proteins and peptides will be studied to determine the possible effects on risk of breast cancer, cardiovascular disease, obesity, and other chronic diseases.  For example, evidence suggests that exposure to soy foods early in life will reduce the risk of breast cancer and cardiovascular disease later in life. Similarly, we suspect that there may be some as yet unrecognized effects related to hormonally sensitive systems that regulate energy metabolism and fat disposition that affect development of obesity, drug efficacy, bone development, and insulin sensitivity. We will conduct laboratory, animal, and clinical studies to test these hypotheses, determine the positive and negative health consequences of maternal body composition and of various foods and dietary factors in maternal diet, infant formula, and childrenÆs foods, especially as it relates to safety and disease prevention; understand which phytochemicals have health consequences, how much and how often they should be consumed, and at what age they should be eaten; and, whether it is possible to reduce the risk of breast cancer and cardiovascular diseases, and under what circumstances. This same approach will be utilized for dietary factors in other foods. Affect; Age; Americas; Animal Model; Biological Availability; Blood; Body Composition; Bone Development; Cardiovascular Diseases; Cereals; Child; Chronic Disease; Clinical Research; Consumption; Country; Development; Diet; Dietary Factors; Disease; disorder prevention; Dose; drug efficacy; Eating; Energy Metabolism; Equilibrium; Estrogens; Exposure to; Fatty acid glycerol esters; feeding; Female; Food; Fruit; fruits and vegetables; Growth and Development function; Health; Hormones; Human Development; human subject; Incidence; Infant; Infant formula; Insulin Resistance; insulin sensitivity; Intake; Isoflavones; Laboratory Animals; Lead; Life; malignant breast neoplasm; Malignant Neoplasms; Metabolism; Milk; Mothers; Obesity; offspring; Peptides; Phenotype; Physiology; Phytochemical; Phytoestrogens; prevent; Proteins; Reporting; Rice; Risk; Safety; Signal Transduction; soy; Soy Foods; Soy Milk; soy protein isolate; Soy Proteins; Soybeans; Staging; System; Testing; WomanDIETARY FACTORS EARLY IN HUMAN DEVELOPMENT: HEALTH CONSEQUENCES OF PHYTOCHEMICAL INTAKE",1e-06,0.999999,1e-06,1e-06,0.999999,0.999999,1e-06
