,ABSTRACT,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,"Objective(s): 1) To assess the ability of barley and barley fractions to improve glucose utilization and insulin sensitivity in acute and chronic studies of normal-weight and overweight adults, and individuals with the metabolic syndrome. To assess the role of soluble fiber in improving glucose utilization and insulin sensitivity in acute and longer-term studies in normal-weight and overweight/obese adults with the metabolic syndrome.  2) To assess the ability of barley and barley fractions to improve risk factors for cardiovascular disease in chronic studies of normal-weight and overweight/obese adults.  To assess the role of soluble fiber in improving risk factors for cardiovascular disease in normal-weight and overweight/obese adults with the metabolic syndrome. 3) To test the effectiveness of foods high in soluble fiber, including barley, in inducing and maintaining weight-loss in weight-reduced subjects.  To determine if chronic consumption of food supplements high in soluble fiber affects ability to maintain a 10% weight loss.Approach:Acute and long-term controlled human studies will evaluate reducing risk factors observed with excess weight and the metabolic syndrome by consumption of grains such as barley or oats or grain components.  Overweight/obese (body mass index [BMI] >27) and control (normal weight, BMI <25) individuals will be chosen from the diverse population with special interest in groups identified to be at high risk for obesity.  Samples would be collected periodically throughout the study. Measurements would be made during weight loss and weight maintenance periods in overweight subjects.  Measurements will be made for markers of glycemic control, energy regulation, and lipid metabolism, blood pressure, body composition, measures of satiety, nutrient digestibility and metabolizable energy, and energy expenditure.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,"Objective(s): The objective is to generate new value-added polysaccharides containing biological active dietary fibers from cereal grains for the nutraceutical and functional food markets.  Evaluate the experimental conditions using chemical and enzyme systems for obtaining unique compositions.  Examine the created polysaccharides containing elevated dietary fiber compositions (including soluble beta-glucan fibers) for their nutritional benefits related to cardiovascular and diabetic diseases.  Continue scientific and technological innovative research on development, extensions, and market possibilities for earlier ARS generated TRIM Technologies: Oatrim, Z-Trim, and Nutrim.Approach:The approach is to develop methods for concentrating bioactive cereal fibers using wet thermo-shearing and wet vibro-screen separators.  Hydrothermal and microfluiderization will be explored as well as hydrocolloidal aggregative formations.  Beta-glucan products, having suitable biologically active properties, will be evaluated for properties to create new technologies similar to the prior ARS generated TRIM Technologies.  The suitable products will be scaled up for utility applications and shared with collaborators and potential users.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,"Objective(s): LAB:Nutrition, aging, immune function and inflammatory response in health and diseaseDetermine the mechanisms of vitamin E-induced enhancement of T cell function in the aged.Determine the efficacy of vitamin E in reducing the pathogenesis of secondary bacterial infection following influenza infection.Determine the role of adipocytes and obesity in age-related immune and inflammatory dysregulation and pathologies associated.Determine the effect and mechanisms of food components and their interaction with age and genetic background on immune function and infectious diseases.LAB:Vascular biologyDetermine at molecular and cellular levels the mechanisms by which the antioxidant components of foods (vitamins E, carotenoids and polyphenols such as catechins) singly and interactively modulate development of atherosclerosis and angiogenesis.Determine the effect of components of foods-vitamin E, carotenoids, lipids and polyphenols such as catechins, as well as their synergistic interactions in preventing and in reducing the risk of atherosclerosis, specifically when they are incorporated into the diet of animal models early in life compared to middle and later ages.Approach:LAB:Nutrition, aging, immune function and inflammatory response in health and diseaseThe mechanism of vitamin E-induced enhancement of T cell function will be determined by investigating the effect of age and vitamin E supplementation on T cell receptor induced immune synapse formation using confocal microscopy of single and two-colored stained na∩ve T cells from young and old mice supplemented with or without vitamins. The mechanism of E-induced enhancement of effective immune synapse formation will further be determined by investigating the effect of age and vitamin E on the association of critical signaling molecules with membrane lipid domains known as lipid rafts using Western blots of phosphorylated and non-phosphorylated forms, of existing proteins, and S-methionine metabolic labeling of newly synthesized proteins. The mechanism of E-induced changes in association with the above key signaling molecules with lipid rafts will be determined by investigating the effect of age and vitamin E on palmitoylation of LAT (linker for activation of T Cells) and Lck (a Src family kinase) in young and old na∩ve T cells using metabolic labeling. In addition, sphingolipid and cholesterol composition of lipid rafts will be determined using HPLC and tandem mass spectrometry. The effect of vitamin E on downstream signaling molecules will be determined by focusing on Ca2+ mobilization and NFAT, NFKB, and AP-1 activities. The efficacy of vitamin E in preventing secondary bacterial infection in aged mice will be tested by feeding young and old C57BL/6 mice with adequate (30 ppm) or high (500 ppm) levels of E and determining viral and bacterial titers as well as morbidity and mortality after primary influenza A or S. aureus infection, or following a secondary S. aureus infection subsequent to an influenza infection. Preliminary experiments will be conducted to determine the underlying mechanisms.LAB:Vascular BiologyThe effect of mixed tocopherols at the concentrations commonly found in human plasma and after vitamin E supplementation will be examined in a cell culture system for modulation of immune and endothelial cell interaction and inflammatory cytokines.  In this system, the interaction of vitamin E with avenathramide , a flavonoid found in oats, will be also tested for anti-atherogenic and anti-inflammatory action. The molecular mechanism of green tea catechins' inhibition of angiogenesis will be tested in a cell culture system using Matrigel and 3D gel.  This effect of green tea will be investigated in vivo using the Matrigel plug assay in young and aged mice.  The effect of vitamin E supplementation started from early, middle, and late age on the inhibition of atherosclerosis will be determined in LDL receptor null mice, which will be fed medium or high fat/cholesterol diets. The potential inhibitory effect of dietary vitamin E on the inhibition of atherosclerosis will be further tested in mice models when vitamin E is combined with lycopene, a carotenoid found in tomato, and with epigallocatechin gallate, the major catechin of green tea.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3,"Objective(s): Develop instrumentation and procedures for objective grading, on-line quality measurement, sorting, and correlation of grade and quality measurements of single kernels and bulk samples to end-use properties of cereal grains and their products.Approach:Develop rapid sensing and sorting technology for single kernel 'micro' traits such as GMO's, protein quality, starch quality, toxins, potential biosecurity issues, and traits important for evaluating grain for non-food uses (fuel, plastics, etc).  Specific projects will include: development of high-speed (>100 kernels/s) sorting techniques for separating corn kernels infested with various molds, including mycotoxin producing molds; and develop methods to detect mutant corn kernels for enhancement of breeding programs. Develop rapid (~1 kernel/s) sensing and sorting technology for single kernel 'macro' traits such as hardness, moisture content, oil, starch, class, internal insects, and protein, especially for grains other than wheat (sorghum, corn, oats, etc).   Specific projects will include: development of a single kernel characterization system to help predict milling yield in corn and wheat; and use of advanced signal processing from various sensors to rapidly and automatically detect moldy and insect damaged kernels.Develop techniques to predict end-use characteristics, and to determine the accuracy and impact of these predictions.  This includes studying the synergy of combining multiple measurements, evaluating sampling plans, assessing risk of various methods, conducting epidemiological studies, etc.",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,"Objective(s): To contribute to the improvement of oat quality by characterizing panicle and kernel structure characteristics associated with environmental stability of high test weight, by determining kernel structure characteristics associated with improved milling yield, and by the characterization of genotypic and environmental effects on the chemical composition of polar lipids in oat groats.Approach:In order to determine panicle and kernel structure effects on environmental stability of test weight, fifty advanced lines of oats will be selected from an oat breeding program in North Dakota. Selected lines will have high potential for high test weight and will be highly variable for panicle size. Lines will be grown in four diverse environments and intact panicles will be harvested. Panicle and kernel size and structure will be analyzed along with test weight to determine physical characteristics that provide high test weight even in harsh environments that adversely affect yield. Kernel structure associated with improved milling yield will be determined by dehulling different genotypes of oats with an impact dehuller, similar to dehullers used by industry. Every oats sample will be fractionated by kernel size by three different mechanisms that divide according to different size characteristics. Slotted sieves will separate according to kernel width, disc separators will separate according to kernel length, and a gravity table will separate according to kernel density. Each size fraction will be dehulled at a series of dehuller rotor speeds, so that the influence of different kernel size characteristics on dehulling efficiency and milling yield can be determined. Finally, oat polar lipids will be characterized from a variety of oat cultivars grown in diverse environments. Polar oat lipids will be extracted and analyzed for their chemical composition by chloroform/methanol/water extraction, separation by silica gel chromatography, and analyzed by high pressure liquid chromatography using an evaporative light scattering detector.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,"Objective(s): Develop ways to improve organic production systems and to provide guidelines and knowledge for conversion of conventional systems to organic systems.  Comparisons of soil and plant health and food quality between the two systems will be made.  Research protocol will accommodate the expectation that certain problems will arise in the field program that will require more fundamental experiments to facilitate the understanding of the organic system.  As boll weevil research diminishes, research emphasis will be focused on cotton pests and insect pests on other crops grown in the Cotton Belt. Develop new economically and environmentally beneficial production strategies for organic vegetable production. Develop protocols that correlate to regional market demands and accommodate introduction of a new sweet corn cropping phase into current cover crop-cash crop rotations being evaluated. Quantify the chemical and biological effects of compounds in organic amendments or those derived from cover cropping that influence plant development and growth. Determine the optimum fertility management practices for sweet corn that promote soil quality and provide flexibility for growers to transition to a new cropping sequence. Assess the possible impacts of soil amendments and/or cover crops under study by other unit scientists, on insect pest populations and damage to the crop. Quantify the physical effects of cover crop residues and other soil management practices on sweet corn light interception and water use efficiency.Approach:Improve soil organic matter content, available plant nutrients, soil health and productivity through a variety of cover cropping systems (such as summer cover crops, sorghum and cowpea; and fall cover crops - black oats and hairy vetch).  Modify soil environment by different cover crops and assess changes in distribution and activity of microbes in the soil and rhizosphere, and their impact on plant growth and development. Develop management strategies, such as use of particle-based reflectant materials, microbial inoculants, mulches, and irrigation scheduling to reduce abiotic and biotic stress in order to improve yield and quality in fruit and vegetable crops. Examine effects of soil and water conditions on the biochemistry of the plant influencing the host plants' vulnerability and the pests' capacity to cause economic crop loss. Integrted practices will be developed for organic sweet corn that promote soil health, provide acceptable levels of weed and insect control, and synchronize sweet corn production with regional market demands.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,"Objective(s): ANTIOXIDANTS RESEARCH LABTo determine if flavonoids are bioavailable as aglycones and glycosides and both parent compounds and their metabolites act in vitro and in vivo as antioxidants.To determine molecular and biochemical mechanisms of flavonoids and their interactions within the antioxidant defense network. CAROTENOIDS AND HEALTH LABTo determine bioavailability and vitamin A equivalents of plant-carotene.To determine antioxidant functions of lutein and tea polyphenols in relation to Age-related Macular degeneration (AMD).To determine the role of body  fat on tissue uptake of carotenoids.Approach:ANTIOXIDANTS RESEARCH LAB1(A)Weanling rats will be divided into groups fed vitamin E replete, depleted or supplemented diets with or without different doses of quercetin. Blood and tissues will be obtained at intervals over 14 wk for analysis of antioxidant status and metabolism and biomarkers of oxidative stress. (B)Hamsters fed extracts of oat bran, almond skin or bilberry and their blood/tissue collected to determine flavonoid pharmacokinetics and distribution and antioxidant actions.  Randomized clinical trials with a cross-over design in healthy older adults will test the bioavailability and antioxidant capacity of these same plant extracts.  (C)A pilot clinical trial will test the adequacy of dose and formulation of a manufactured beverage containing catechins and/or N-acetylcysteine.2(A)Human LDL will be incubated with different flavonoids alone or in combination with other antioxidants to determine their impact on the resistance of nLDL and LDL to oxidation induced by various radical generators. (B)A hemochromatosis mouse model will be used to test the preventive actions of the green tea flavonoid. (C)The effect of bilberry anthocyanins alone or together with xanthophyll carotenoids will be tested in humans for their uptake and metabolism in retina cells and subsequent action on biomarkers of oxidative stress and apoptosis following challenges with hydrogen peroxide or glucose.  The impact of anthocyanins on the expression of stress and apoptosis-related proteins and genes will be investigated utilizing mRNA expression gels and GeneChip arrays.CAROTENOIDS AND HEALTH LAB1. Hydroponically grown deuterium labeled vegetables and Golden Rice will be used to determine bioavailability of beta-carotene, lutein, and zeazanthin, and vitamin A equivalence of provitamin A carotenoids.  Labeled food will be given to volunteers, blood samples at different time points will be collected and analyzed using advanced high-performance liquid chromatography (HPLC) gas chromatography mass spectrometry (GC/MS) and liguid chromatography mass spectrometry (LC/MS).2. Examine the absorption kinetics of major carotenoids, lutein, beta-carotene and lycopene, and measure the functional bioavailability of carotenoids in healthy women in response to an 8-week period of carotenoid supplementation. The antioxidant capacity, DNA oxidation, gene expression profile, lipid peroxidation, and antioxidant nutrient levels in the circulation will be determined in response to a combination or single dose of carotenoids. B.The alteration of macular pigment density, oxidizability both in blood lipid and aqueous compartments, lipid peroxidation and nitric oxide levels following the consumption of a fat-soluble antioxidant, lutein or a combination dose of lutein and water-soluble antioxidant, green tea polyphenols will be determined.3. Daily supplementation of lutein will be given to subjects of varying body weights (normal, overweight, obese). Changes in carotenoid concentrations will be determined in serum, adipose tissue and macula using HPLC and psychophysical techniques.",0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7,"Objective(s): Determine relationships between effects of elevated carbon dioxide on gene expression and physiological responses which increase the response of crop yield to atmospheric and climatic global changes.  Determine how changes in carbon dioxide concentration affect the relative competitiveness of crops and weeds.  Determine how elevated carbon dioxide affects relationships between fertilizer and weed management practices and crop yield and soil carbon sequestration.Approach:Crop and weed species will be grown at the current ambient concentration of carbon dioxide and at 1.5 times that concentration in field plots, using open top chambers, and in growth cabinets.  Changes in gene expression, physiology, and the growth of crops will examined at ambient and elevated concentrations of carbon dioxide in combination with high temperature stress, drought stress, and competition from weeds.  Soybeans, common beans, spring wheat, oats and some weed species will be examined for genotypic differences in responsiveness to carbon dioxide concentration.  Invasive and non-invasive weed species will be compared for responses to rising atmospheric carbon dioxide.  Impacts of elevated carbon dioxide on yield responses to nitrogen fertilizer will be determined in a corn, wheat, soybean crop rotation system. The effect of elevated carbon dioxide on soil carbon sequestration will be examined in two no-till cropping systems.",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,"Objective(s): Objective of this research are; 1)Develop a series of trout feeds that replace fish meal and fish oil with novel and traditional plant-derived ingredients.  2) Determine optimal supplementation levels of vitamins and limiting amino acids for plant-based feeds.  3) Identify and evaluate genetic, biochemical and physiological responses of trout fed grain-based feeds.  4) Identify rainbow trout families with improved phenotypes for growth and utilization of an alternative plant-protein fish feed through a genetic selection program.New funds will be used to expand objective one of the project plan: 1) Objective 1 of the project consists of developing trout feeds formulated with traditional plant-derived ingredients in place of fish meal and fish oil. Within this area of research the experimental diets are to be tested to determine the optimal supplementation level of vitamins and limiting amino acids necessary to obtain maximal growth. The financial increase to the project will aid in developing ingredient enhancement through the development of biological and mechanical concentration methods for the formulation of nutrient complete feeds.New funds will be used to expand Objective One of the research project plan: 1) Develop a series of trout feeds that replace fishmeal and fish oil with traditional and enhanced plant-derived ingredients. The focus should be on ingredient enhancement through biological and mechanical concentration of required nutrients for complete feed development.  Expedite expanded capacity to increase select cultivars in trout feeding trials. This includes expanding strains being developed at Leetown, WV. Dr. Keshun Liu:  Objectives include; 1) evaluate current methods of dry and wet fractionization for ways to improve performance or reduce cost of production; 2) evaluate chemical and enzymatic treatments for effectiveness and production costs, 3) evaluate nutritional quality of protein concentrates, and 4) develop improved analytical methods for some key grain nutrients, such as beta-glucan, protein, to assist breeding screen for improved grain quality.  Dr. Frederic Barrows Objectives; 1) identify the most effective organism and blend of grains to result in a high protein low carbohydrate ingredient, 2) identify optimal processing and incubating conditions,  3) evaluate digestibility and palatability of each ingredients with in-vivo testing,  4) evaluate effect of long term feeding of experimental ingredient on growth, and product quality.  Dr. Kenneth Overturf Objectives:  1) installation of 10 heath tray incubators for hatching and isolating individual families, 80- 4'x15  troughs for rearing fry, and 25- 5' circular for holding individual families and mixed tagged families. Also included with this is the necessary infrastructure such as securing adequate water to the tanks and electrical and lighting for rearing and handling of the fish. Approach:This research will benefit fish farmers, grain farmers and assist in protecting the environment by reducing nutrients in hatchery effluents, and reducing exploitation of ocean fisheries.  A series of plant-based feeds will be eveloped, replacing fish meal, and containing the proper balance of essential nutrients.  New cultivars of barley and oats will be evaluated as a fish feed ingredient along with alternate crops such as flax, sunflower and safflower.  A breeding program will be used to develop new strains of rainbow trout that are better able to utilize plant-based feeds, grow faster and more efficiently and have improved product quality characteristics. Traditional methodologies to determine metabolic scope for a given nutrient or ingredient will be used to evaluate the relative contribution and metabolic efficacy of nutrients supplied in plant-based feeds.  Information developed concerning the genetic, biochemical, and physiological responses of rainbow trout to consumption of various plant-derived ingredients will be used as a basis for developing future feed formulations and to develop improved selection parameters for trout breeding programs. Dr. Keshun Liu:  Use 4 approaches to address this problem.  1) evaluate and further process protein-rich by-products of  current ethanol or beta-glucan production, 2) develop modified and novel methods to fractionate grain proteins for trout feed ingredients, 3) evaluate and process current improved cultivars of barley and oats, such as low-phyate cultivars for making fish feed ingredients, and 4) select and breed new cultivars of barleys and oats with enhanced composition through collaborating with plant scientist at the ARS, Aberdeen ID (Project # 5366-21000-024-00D). Dr. Frederic Barrows:  Solid substrate culture (SSC) has been proven to be an effective method for fungal production on a commercial scale.  The effectiveness of this approach is due to the relatively low capital costs and low energy costs.  This approach has not been used for the development of animal feeds before, but preliminary studies are quite promising. Utilizing different organisms and different blends of grains, a variety of products will be produced. Dr. Kenneth Overturf:  Genetic selection programs for trout have been initiated at the NCCCWA and at the HFCES (through Aberdeen).  The goal of the HFCES program is to select fish with an enhanced ability to utilize a plant based feed more efficiently.  The goal of the NCCCWA is to select trout for superior growth performance. Improved strains will be reared and analyzed in Idaho.   FY99 Program Increase $225,000 Add 1 SY for research on cereal grains & fishFY03 Program Increase $223,537 Add 1 SYFY04 Program Increase $241,566 Add 1 SYFY04 Program Increase $584,232 Add 1 SYFY05 Program Increase $111,600 Replaces 5366-21310-002-00D (12/04).FY06 Program Increase $89,100",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9,"Objective(s): Improve the functional properties of wheat, oat, and barley seed proteins by investigating isolation techniques, protein modification, and protein blends.  Specific objectives include: (1) Develop cereal protein materials having specific and desirable characteristics, and determine the origin of the alterations occurring during the currently employed grain protein isolation methods.  Initiate new protein materials with maximum functional properties.  Determine the effect of commercially existing isolation methods on the functional properties of wheat, barley, and oat proteins; (2) Establish new and fundamental information on the physical, rheological, and mechanical properties of seed proteins that is of vital importance in developing new uses and new markets for seed proteins; and (3) Develop protein-based polymer blends from renewable resources to expand their utilization.  The newly developed products will serve as alternatives to petroleum-based polymers.Approach:Functional properties of isolated seed proteins will be evaluated and enhanced by chemical and enzymatic modification.  Proteins will be characterized by field-flow fractionation, high performance liquid chromatography, capillary electrophoresis, thermal analysis, and ultracentrifugation.  Rheological characterization of native and processed proteins will be made using a stress-controlled rheometer, a Diffusing Wave Spectrometer, and a newly developed Multiple Particle Tracking System.  Blends of proteins with other polymers will be formulated for specific applications and their phase behavior, aggregation, and mechanical properties characterized.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
