,ABSTRACT,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,"The objective of this research project is to understand the effects of a natural and an engineered plant protective compound on an herbivore?s parasites.  This study will examine the potato plant alkaloid and Bacillus thuringiensis var. tenebrionis (Btt) effects on the entomopathogenic nematode Heterorhabditis marelatus and its symbiotic bacteria, infecting Colorado potato beetle (CPB).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Objective(s): To cooperate with potato breeders, producers, and processors to improve post harvest potato quality by reducing storage and processing losses.  A major portion of this effort involves the evaluation of storage and processing characteristics of promising new varieties and advanced germplasm developed and submitted by U.S. potato breeding programs.  Identify new genotypes with the ability to process directly from a storage temperature of less than 7 degree C. Identify optimum storage conditions for new cold-sweetening resistant germplasm and field-stressed tubers.Approach:This CRIS project is a service project that provides standardized storage, processing and analysis of advanced breeding clones submitted by public potato breeding programs.  All protocols, storage conditions, and analytical methods used have been standardized in accordance with current industry practices and are therefore invariant. Specific approaches include: 1) storage, processing and evaluation of new breeding lines, 2) determine cold storage potential of selected clones and cultivars, and 3) evaluate and identify optimum postharvest treatments to minimize quality loss in field-stressed potatoes.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2,"Objective(s): To determine the normal and molecular processes that control the initiation, maintenance and termination of potato bud dormancy and regulate early sprout growth wound healing and skin set suberization.Approach:Identify physiological/biochemical mechanisms that control potato tuber dormancy/sprout growth and wound-healing/skin set.  Determine the roles of endogenous hormones in tuber dormancy progression and identify the biochemical mechanisms governing hormone homeostasis in tubers as related to dormancy.  Identify and characterize genes controlling tuber dormancy/sprout growth and wound-healing/skin set.  Identify hormones and endogenous elicitor systems initiating and regulating wound-healing in harvest-damaged and cut-seed tubers.  Determine biochemical changes in tuber periderm cell wall conferring resistance to excoriation (skinning during maturation.)  Project has been classified as  Exempt  by the rating Institutional Biosafety Committee, ltr dated 6-12-02.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,"Objective(s): Isolate and characterize biologically active constituents in grains, legumes, nuts and vegetables, and their co-products.  Optimize processing and storage conditions to enhance flavor and health-promoting phytonutrients.  Add value to grains, legumes, and/or vegetables by extrusion technology using processing parameters and texture-modifying ingredients to control or enhance nutritional, textural and sensory properties.Approach:Extrusion processing will be used to produce new value-added foods with enhanced nutritional and sensory properties.  Extrusion operational parameters such as moisture content, temperature, feed rate, screw speed and screw element configuration will be optimized.  Ingredients from corn, rice, potato, tapioca and apple will be added to legume flours to enhance the physiochemical properties of the extruded products.  To understand the influence of processing on flavor, phytonutrients and antioxidant activity, qualitative and quantitative studies will be performed on the agricultural products before and after processing.  Impact flavor constituents will be localized, characterized and quantified using aroma extract dilution analysis (AEDA), gas chromatography-mass spectrometry (GC-MS), calculation of odor units, and preparation of aroma models.  Biosynthetic precursors of aroma compounds such as glycosides will be identified and model systems will be used to explore precursors of some aroma compounds formed during processing.  The investigators will develop and apply capillary electrochromatography (CEC) to rapidly and efficiently characterize phytonutrients such as carotenoids in foods.  Phytonutrients will be separated, characterized and quantified using HPLC-DAD, HPLC-MS and proton and carbon NMR spectroscopy.  Antioxidant activity will be measured by the ability of extracts of specific constituents to scavenge the free radical DPPH and the ability to inhibit the oxidation of methyl linoleate and hexanal. Replaces 5325-41000-042-00D (12/04).",0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
4,"Objective(s): Objective 1: Develop new knowledge of behavior, genetics, physiology, and ecology of wireworms, aphids, secondary potato pests, and their natural enemies, that provides opportunities for new and improved biorational control of potato insect pests.  Objective 2: Develop monitoring methods and techniques that reduce grower risk from wireworms that improve predictability of threats to potatoes.  Objective 3: Develop economical, sustainable, and ecologically sound methods for control of aphids, wireworms, and secondary pests of potatoes.Approach:Objective 1.The seasonal phenology and movement of green peach aphid and leafhoppers in potato will be described quantitatively. Effects of induced defenses of potato on behavior, development, and reproduction by insect pests will be determined.  Microbial flora resident in the midgut of wireworm larvae will be genetically altered (paratransgenesis) to produce physiological or toxic conditions that in turn will be detrimental to the survival of the wireworm. The role and concentrations of carbon dioxide as an attractant for Pacific coast wireworm and will be determined. Mating behavior of Limonius canus (Pacific coast wireworm) will be described.Objective 2. Baiting methods to monitor wireworms in potatoes will be developed, and the feasibility of using baits to predict end-of-season damage to tubers will be determined. The seasonal phenology of wireworm damage to tubers will be described to assist in management decisions.  Objective 3. The effectiveness of transgenic and traditionally bred potato varieties for resistance to wireworms and secondary pests will be demonstrated.  Methods to manage wireworms and potato flea beetle in potatoes using entomopathogens will be developed.   Methods for enhancing biological control of green peach aphid will be improved, including use of habitat modification, selective insecticides, and predator attractants. Action thresholds for leafhoppers that vector phytoplasmas will be estimated.  Extent of insecticide resistance in green peach aphid in the Northwest will be determined. Formerly 5352-22000-014-00D (3/05).",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,"Objective(s): Provide molecular genetic data defining biosystematics and population diversity (including Wolbachia dispersal) of pest and beneficial insects such as Diabrotica, Aphthona, Lygus et al. Determine the molecular mechanisms of diapause initiation and termination in insects especially leaf beetles and pollinators. Identify conserved sequence motifs associated with diapause specific genes, determine if products (e.g. noncoding RNAs) are produced, and examine the distribution and diversity of the sequences across insect species.Approach:Measure nuclear genetic diversity using microsatellite and AFLP markers. Use mtDNA PCR-RFLP and sequencing to quantitate additional diversity and identify species. Monitor the movement of Wolbachia strain boundaries over several seasons. Define the level of competition between insects infected with different Wolbachia strains and correlate Wolbachia infection, mtDNA genotype, and sex ratio. Identify and Characterize genes differentially expressed in diapause and non-diapause insects. Use interfering RNA (iRNA) experiments to determine the significance of key genes in diapause physiology. Measure respiration quotients at different temperatures and stages of diapause to determine the transition from a diapause respiration pattern to a nondiapause pattern. Conduct comparative study of diapausespecific genes and their regulatory elements in other insects based on primers derived from the original Colorado potato beetle diapause regulated genes.",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
6,"Objective(s): Investigate, develop and evaluate the use of predators, parasitoids, entomopathogens, feeding stimulants or deterrents, cultural controls, host resistance, and other environmentally -friendly tactics in IPM programs for Colorado potato beetle, corn rootworm and other chrysomelid pests.Develop methods for improved management of gypsy moths in non-forest and newly infested forested areas of the United States, particularly mating disruption techniques.Approach:Characterize and develop new tactics to manage chrysomelid leaf beeetles, particularly Colorado potato beetle and corn rootworms, and in labratory, semi-field and field experiments, evaluate various methods of deployment, such as primary toxicants or pathogens, habitat augmentation, conservation biocontrol, baits or other attracticidal formulations, or incorporation in crop or trap plants.  Studies will encompass biology, host specificity, behavior, non-target effects and environmental impact of biological control agents and other tactics. Studies will be conducted in cooperation with US Forest Service  slow the spread  national Gypsy Moth Project and partners to disrupt gypsy moth mating.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,"I intend to study the management of resistance to the insect growth regulator pyriproxifen in the sweet-potato whitefly, Bemisia tabaci (Gennadius). The whitefly is a key pest of cotton, melons, and vegetables in Arizona, as well as one of the world's most devastating crop pests. Pyriproxyfen is a key biorational insecticide that improves the sustainability of whitefly control in several crops. The use of pyriproxyfen also significantly reduces the dependence on broad-spectrum insecticides and contributes in preserving natural enemies. To enhance the ability to design sound strategies for managing resistance to pyriproxifen in the whitefly, I will:  compare resistance to pyriproxyfen between males and females,  determine the dominance of resistance in females,  determine if fitness costs are associated with pyriproxyfen resistance,  and develop and apply resistance management models. Results from this project will be used to help develop novel management strategies for controlling B. tabaci in Arizona and abroad using environmentally-friendly tactics. In addition, knowledge generated from this research can be used to improve management of other similar pests.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,"Objective(s): Enhance productivity, profitability, and environmental quality of Alaska's farming industry and natural resource areas by reducing threats posed by invasive insect pests, weeds and  pathogens through research and technology transfer resulting in the introduction of new and innovative Integrated Pest Management (IPM) strategies. Develop IPM applications suitable to northern latitudes that support viable crop and nursery production systems and the sustainability of natural resource areas.There is a need for increased research to evaluate potatoes grown in northern climates, particularly in developing virus-free potato germplasm. Virus-free potatoes will allow potato producers in Alaska and other northern states to increase export trade with Pacific Rim countries. An environmentally sound and safe method to reduce loss due to viral disease infection is needed. To remain competitive in Alaska varieties must be virus resistant.Approach:Develop IPM systems incorporating biologically based control, host resistance, cultural control, resistance management and application technology for the control and suppression of major insect, pathogen, and weed pests affecting field, vegetable and horticultural crops, as well as rangeland ecosystems in the Delta Junction region and other areas of Alaska. Formerly 5341-22000-001-00D (11/05).Conduct replicated laboratory and field trials that are designed to introduce and evaluate potato germplasm for resistance to viral diseases and adaptability to Alaska. Knowledge acquired from these evaluations will set the foundation for a molecular marker assisted breeding program which will generate new virus resistant and/or free potato germplasm. Study the role of weeds in development of viral diseases in potato fields. 5341-21220-001-00D combined into this project. (3/06)",0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
9,"Objective(s): Determine the value of advanced potato germplasm with particular attention to disease, pest, and stress resistance, yield, quality characteristics, and profitability parameters. Define cultural conditions which will optimize yield and quality of each clone.Approach:New germplasm arising out of Federal and State breeding programs will be propagated to produce relatively disease-free seed. Clones will be grown under several climatic conditions, in multiple locations, under a multitude of cultural practice variables, and under planned disease, pest, and stress exposures. Evaluations will include expressions of resistance, yield, quality (external and internal), processabililty, storability, phytonutrient content and overall assessment of profitability under existing pricing and contracts for raw product in the fresh and processed sectors. Attention will be placed on developing an array of potential cultivars with candidates for every market type on a national and international basis. Larger scale commercial trials of more promising clones will be organized with industry representatives.  Replacing 5354-21000-011-00D expired 8/30/2006.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
