,ABSTRACT,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,"Military and industrial activities have resulted in soils contaminated with   polycyclic aromatic hydrocarbons (PAHs), polychlorinated biphenyls (PCBs), and   trinitrotoluene (TNT). These contaminated soils pose a risk to surface and ground   water and require remediation. Excavation followed by landfilling or incineration   are costly methods and may be impractical when large volumes of soil are contaminated.   Phytoremediation, the use of plants to remove contaminants and/or to stimulate   microbial degradation of contaminants in the rhizosphere, is a cost-effective   alternative for remediation of recalcitrant hydrocarbon contaminated soils.   The main purpose of this research was, 1. to determine the effectiveness of   phytoremediation compared to a fallow bioremediation treatment, 2. to calibrate   and validate a recently developed phytoremediation model that is designed to   predict the effectiveness of warm and cool season grasses upon remediation of   soil contaminated with PAHs, PCBs, and TNT. To achieve these purposes, laboratory,   greenhouse and field experiments were conducted. Column lysimeters were constructed   and the lysimeters were filled with uncontaminated Weswood silt loam soil that   was mixed with TNT, PBB and PAH to a target concentration of 10 mg of each contaminant   per kg of soil. Five lysimeter treatments, 1. Eastern Gamagrass, 2. Annual rye   grass, 3. Gamagrass and Annual rye rotation, 4. bare soil, and 5. Gamagrass   (with uncontaminated soil) were randomly allotted. Each treatment had four replicates.   The weather, soil moisture content, and irrigation amounts were monitored for   the entire project period. Soil, root, and herbage samples were sampled at five   times during three growing seasons. The concentrations of TNT, PBBs, and PAH   in the soil, roots, and herbage as well as microbial biomass and root properties   were measured to determine the phytoremediation effects of Eastern Gamagrass   and Annual rye grass. The amount of the three contaminants that were dissipated   due to the effect of the plant roots was also determined. A mechanistic model   was modified to consider resultant plant contamination and effects of various   environmental factors. The model was then validated and calibrated using field   data.There were two primary objectives of the proposed research: 1. To evaluate   the effectiveness of a warm season grass (Eastern Gamagrass) followed by a cool   season prairie grass (Annual ryegrass) in the phytoremediation of soil contaminated   with common recalcitrant organic pollutants; namely a mixture of a PBB, a PAH,   and TNT. This involved field lysimeter studies and greenhouse column experiments.2.   To use the field and greenhouse data to calibrate and validate a recently developed   bioremediation model that is capable of simulating the removal and degradation   of organic chemicals from the soil by plant roots and their rhizosphere. The   specific objectives of the research were:1. To determine the amounts of chrysene,   2,2&AElig;,5,5&AElig;-tetrabromobipheny, and TNT that were extracted by a warm   season grass (Eastern Gamagrass) and a cool season grass (Annual rye grass)   grown individually and in rotation during three growing seasons.2. To quantify   the concentration of 2,2&AElig;,5,5&AElig;-tetrabromobipheny, chrysene, and   TNT in the leachate from soil lysimeters.3. To quantify the dissipation of 2,2&AElig;,5,5&AElig;-tetrabromobipheny,   chrysene, and TNT in soil columns.4. To validate and calibrate an existing phytoremediation   computer model that simulates organic contaminant transport and root uptake   from soils.",0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1,"Phytoremediation is the use of green plants to remove, contain, or render harmless environmental contaminants (Cunningham and Berti, 1993). This project is an innovative effort to optimize agronomic practices critical to cleaning up polycyclic aromatic hydrocarbons (PAHs) from refinery waste disposal sites using native plant species in managed systems. Several researchers have adopted phytoremediation as an alternative to more expensive and labor-intensive engineering controls (soil washing, chemical addition) to treat refinery waste sites (declared by the U.S. Environmental Protection Agency (EPA) as Superfund sites). Phytoremediation essentially has progressed in two directions: Using non-native species that are shown to survive toxic environments and at the same time reduce contamination with a concomitant biomass growth (managed systems). Allowing native species to naturally revegetate the contaminated sites.Non-native species have the advantage of aggressively degrading contaminants, and at the same time supporting large biomass. A 50% reduction in total petroleum hydrocarbons was observed over 21 months using rye grass on a refinery waste site in southeast Texas (Nedunuri, et al., 2000). However, these species must be carefully managed, requiring frequent irrigation, fertilizer application, and pesticide/herbicide additions. These may well be targeted species for phytoremediation; however, by themselves, non-native species cannot restore the natural ecosystem. The non-native species also may disturb natural plant succession in the vicinity of the contamination. Allowing native species to naturally revegetate is an attractive proposition, since it saves on the cost of restoration and management. If natural revegetation can remediate a site similar to a managed system and establishes a plant community comparable to that existing in the vicinity, the outcome will be both site remediation and ecological restoration (Henry and Shann, 2004; Jodi Shann, personal communication). However, it is not certain whether native species can tolerate such harsh and abruptly introduced toxic environments. Comparisons of ecological recovery through plant invasion and succession on sites contaminated with organic pollutants have shown biodiversity differences of recovering plant communities (Olson and Fletcher, 2000). In situations where native species can encroach into contaminated areas, they may take longer to establish, since contamination in several of these Superfund sites exceeds plant tolerance levels.Both native and non-native species have shown promise in degrading contaminants and at the same time have the limitations indicated above. Therefore, our rationale has been that the success with either approach depends not only on the plant&rsquo;s ability to survive, adapt, and succeed in degrading contaminants at Superfund sites, but also on how one can best optimize conditions conducive to plant growth using agronomic practices. These agronomic practices can include soil tillage/using non-tilled soils, soil amendments, surfactants, fertilizer addition, irrigation, and pesticide addition. The research focused on optimization of agronomic practices typically used to promote remediation efforts at organic contaminated sites. A holistic approach to these efforts should also include site restoration to the natural ecological community prevailing in the region surrounding the contaminated sites. Attempts are underway to remediate a PAH-contaminated site to a prairie grassland using species native to Ohio that may subsequently undergo natural succession to mesophytic forest. Many clean up efforts so far have only addressed site remediation and used species targeted for waste reduction. These species may not promote natural community succession quintessential to site res",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,"Objective(s): Quantify the impact of agricultural practices and environmental changes on surface/atmosphere exchange of greenhouse gases (GHG) in order to develop farming systems that reduce global warming potential (GWP) and promote soil C sequestration; Develop farming systems that permit the removal of biomass for energy production while protecting soil resources; Identify and overcome agronomic impediments to the adoption of farming practices, such as reduced tillage, cover crops, and companion crops, that are developed to reduce GWP and permit stover harvest.Approach:We will participate in a multi-location effort to identify farming practices that will help slow the increase in atmospheric concentrations of the greenhouse gases CO2, N2O, and CCH4.  Our approach will include continuous, field-scale measurement of the surface/atmosphere exchange of all three gases in three adjacent fields under different management.  Parallel plot-scale studies will be conducted with chamber-based gas exchange measurements to permit testing of a broader variety of tillage, nitrogen (N) fertility, and rotation strategies.  In the second principal area of inquiry, we, again in cooperation with other ARS locations, will examine the soil sustainability of harvesting corn stover for ethanol production.  Our goal is to test the hypothesis that cover or companion crops can fill the role of the removed stover in supplying carbon (C) compounds to maintain soil organic matter.  We will explore the use of forage digestibility analyses to characterize the quality and quantity of C compounds contained in corn stover and in cereal rye, kura clover, and selected other cover crops.  The third component of this project will focus on identifying and correcting practical, agronomic impediments to adoption of the practices mentioned above.  In the upper Midwest, the major hindrance to wider use of cover crops, companion crops, and reduced tillage has been the perception that they will reduce the yield of the subsequent crop, due to such factors as cold, compacted spring seed bed conditions and adverse effects on N availability.  We will test and refine theories describing near-surface heat and water flow and develop sensors to more easily measure soil bulk density.  We will also conduct plot-scale studies of the effects of reduced tillage and cover crops on N losses by leaching and gaseous emissions.  The results of this research will facilitate the development of better reduced tillage and cover crop systems for northern soils.",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
3,"Objective(s): Determine the effect of manure application on soil N and P cycling, manure pathogen fate and transport and organic C storage in soil using two and three year rotations with cover crops and different tillage systems. A. Determine the effect of cover crops on the fate of nutrients applied in swine manure by measuring (a) cover crop N and P uptake and leaching, (b) cover crop survival after manure application, and (c) losses of N2O from manured fields with and without a cover crop.B. Determine the effect of alternative swine manure application methods on nutrient fate and bacterial transport in systems with and without cover crops.  1) Determine effect of application method (surface application with disking versus low disturbance injection) on crop and cover crop uptake of N and P.2) Determine retention and form of 15N-manure after application to soil.3) Determine the distribution of bioavailable P in the root zone after manure application.4) Determine loss of N, P and E. coli in runoff. C. Determine the effects of composted animal manure, tillage and their interaction on C and N cycling in extended corn-soybean rotations containing small grains and/or legumes.1) Determine the effects of application of composted animal manure on soil and crop C and N within a corn-soybean-winter wheat/red clover rotation under three tillage treatments (fall moldboard plow, fall chisel plow, and no-tillage).2) Determine the contribution of N from composted animal manure to plant available N within corn-soybean rotations.Approach:This research examines the use of a rye-oat cover crop to increase manure nutrient retention and to prevent losses of nutrients and fecal bacteria in runoff.  The research tests the feasibility of this concept and provides an initial demonstration of this practice to selected growers.  If successful the research would form the foundation for field-scale testing and the development of guidelines for producers. Cover crops have been previously shown to be effective in preventing erosion and nitrate leaching, thus they have the potential to mitigate the off-site effects of manure application.  Cover crops in the Midwest are established following soybean harvest in October or early November.  Swine manure is also applied at this time either as a surface application or by injection.  Manure application causes considerable disturbance, thus cover crop survival and function will be assessed.  Furthermore, the effects of conventional and low disturbance manure injection equipment will be compared with respect N and P retention and cover crop survival.  This research would evaluate the cover crop uptake of nitrogen and phosphorus. The ability of cover crops to mitigate runoff losses of nutrients and fecal bacteria will also be examined in rainfall simulation experiments.  In addition, we will determine the effects of composted manure on nitrogen utilization by corn in a rotational cropping system.",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
4,"Objective(s): 1. Assess the dissipation, fate and transport of commonly used broadcast herbicides and fungicides in soil as a function of tillage management.2. Quantify the affect of cropping and tillage systems on soil organic carbon, specifically how changes in soil organic carbon impacts pesticide and nitrogen dynamics, erosion mechanics, sediment generation, and carbon loss associated with extreme events.  This objective contributes to the CLR GRACEnet project.3. Measure hydrologic components (rainfall, runoff, infiltration, soil water content and redistribution following rainfall and irrigation, lateral subsurface flow, plant water use and evapotranspiration so that differences in plant water use and evapotranspiration so that differnces in plant available water as a function of cropping, tillage systems, soil compaction, and rooting density can be quantified.4. Assess the effeciveness of poultry litter as a nutrient source and as a soil amendment in intensely row cropped systems managed to conventional and strip tillage.  Specifically, assess the environmental costs and benefits associated with the use of poultry litter as a nutrient source compared to conventional fertilizer.Approach:Plots located at a UGA research farm in Tift County, GA (N 31o 26', W 83o 35') will be a primary resource for all aspects of the study. Plots were established in 1998 by dividing a 1.8-ha parcel into six 0.15-ha and one 0.4-ha sub-plots.  Since study inception the three 0.15-ha plots on the northern side of the area have been maintained under conventional tillage management. This involves discing, ripping and bedding each spring leaving a residue free seed bed for planting. The other three 0.15-ha plots have been in strip-tillage. In this case crops are planted into 15-cm wide strips tilled into cover crop residue mulch. Rye (Secale cearale L.) cover crops sown each fall on all plots are killed each spring with herbicides. The 0.4-ha plot at the top of the slope was divided equally across the slope by the two tillage practices. It has and will continue to be used for rainfall simulation investigations. During construction, each of the 0.15-ha plots was surrounded by a 0.6 m earthen berm that directs surface flow to metal H-flumes installed at the downslope corners of each plot. Flumes were equipped with pressure transducers and rating curves were developed. Flow (as a function of changes in pressure) is recorded during runoff events. Flow weighted samples are also collected using autosamplers. Additionally two separate loops of 15-cm diameter tile drain were installed at the surface of the argillic horizon with one loop surrounding the 3 strip- and one the 3 conventional-tillage 0.15-ha plots.  H-flumes were installed on tile outlets to measure flow and refrigerated autosamplers are currently being installed so that water samples can be systematically collected for pesticide and nutrient analysis. Monitoring wells were also constructed at up- and downgradient locations of each plot so that shallow groundwater hydraulics and water quality could be monitored. A climate station at the site continuously measures precipitation, wind speed and direction, relative humidity, air temperature, vapor pressure, and solar radiation. Data are used to estimate crop evapotranspiration rates.  Calibration on the instruments will be checked every year.  Evapotranspiration estimates will be used to develop hydrologic budgets for the crops grown at the site and to make comparisons to the evapotranspiration rates calculated from stem-flow measurements.  A solid set irrigation system capable of applying uniformly water to each plot was installed for the study.",1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
5,"Objective(s): 1. Evaluate the impact of water table management on nitrate losses and crop yield in subsurface drained agricultural fields. (Contributes to Problem Area #3, Drainage Water Management Systems, Products #1 and #4 of the NP 201 Action Plan.) a. Measure the changes in NO3 concentration and load leaving a water table managed field and the fate of the water and N retained within the field, including their impact on crop yields. b. Quantify a partial N balance for a water table management system to determine if the system is accumulating or losing N. c. Examine the relationship between organic N compounds and crop N uptake in soils subjected to water table management. d.	Refine and use agricultural systems models to predict the impact of water table management on crop yield, hydrology, and water quality in tile-drained fields for the different climate and soil conditions in the Midwest Corn Belt. 2. Compare the effectiveness of two small grain winter cover crop systems and in-field wood-chip bioreactors in reducing nitrate losses to subsurface drainage systems in agricultural fields. (Contributes to Problem Area #6, Water Quality Protection Systems, Products #1 and #4 of the NP 201 Action Plan, and Objective 2b secondarily contributes to Problem Area #3, Drainage Water Management Systems, Product #1 of the NP 201 Action Plan.) a. Measure the change in NO3 concentration and load leaving plots with cover crops or in-field wood chip bioreactors and their impacts on crop yields. b. Quantify a partial N and water balance for a corn-soybean rotation with and without cover crops (associated with the subsurface drainage system) to determine how this practice reduces N leaching. c. Examine the relationship between organic N compounds and plant N uptake in soils with and without cover crops. d. Refine and use agricultural system models to predict the impact of cover crops on crop yield, hydrology, and water quality in tile-drained fields under the different climate and soil conditions in the Midwest Corn Belt.Approach:For objective one, a five-year field study at several sites will evaluate the effectiveness of water table management on nitrate losses and crop yield in subsurface drained agricultural fields.  Essentially, the outlets for subsurface drains in corn-soybean production fields will be raised to within 0.30 m of the surface from harvest until March 15 each year, lowered to 1.2 m from March 15 to June 1, and then raised to 0.60 m from June 1 to harvest.  Measurements will be taken of crop growth, N uptake, and yield; nitrate concentration and load in drainage water; N inputs and outputs; soil organic and inorganic N compounds; and percolation, drainage, and lateral flow.  The agricultural systems model, Root Zone Water Quality Model, will be parameterized to account for the impact of water table management on crop yield, hydrology, and water quality in the tile-drained experimental field.  The model will then be used to predict the impact of water table management under different management scenarios, locations, and climate variations.  For objective two, a five year field study will compare the effectiveness of two small grain winter cover crop systems and in-field wood-chip bioreactors in reducing nitrate losses to subsurface drainage systems in agricultural fields.  An oat and a rye small grain winter cover crop will be planted each in a subsurface drained corn-soybean field.  Additionally, in other treatment plots trenches filled with wood chips will parallel subsurface drainage tiles, such that water moving to the tiles will pass through the wood chip trenches.  Measurements will be taken of crop growth, N uptake, and yield; nitrate concentration and load in drainage water; N inputs and outputs; soil organic and inorganic N compounds; and percolation, drainage, and lateral flow.  The agricultural systems model, Root Zone Water Quality Model, will be parameterized to account for the impact of cover crops on crop yield, hydrology, and water quality in the tile-drained experimental field.  The model will then be used to predict the impact of oat and rye winter cover crops under different management scenarios, locations, and climate variations.",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
6,"Objective(s): Objective 1: Enhance the effectiveness of soil amendments and microbes as management agents for plant-parastic nematodes.  Sub-objective 1.A) Improve the efficacy and spectrum of activity of nitrogenous soil amendments and beneficial microbes as plant-parasitic nematode management agents.  Sub-objective 1.B) Evaluate ecological interactions among plants, soils, microorganisms and effective management agents to understand and create environments unfavorable to plant-parasitic nematodes.  Objective 2: Expand utilization of cover crops as nematode management tools by characterizing nematode-suppressive phytochemicals, and develop plant- and microbe-based nematotoxic products for nematode management.  Sub-objective 2.A) Determine the mode of action of rye and other cover crops that produce natural plant compounds suppressive to plant-parasitic nematodes, and develop or improve nematode management systems by maximizing the activity of these compounds.  Sub-objective 2.B) Isolate nematotoxic products from plants and microbes and evaluate the products as natural chemical management agents for plant-parasitic nematodes.Approach:1A) Greenhouse and field trials will be conducted to improve the usefulness of nitrogenous amendments, such as biosolids, for managing plant-parasitic nematodes.  Beneficial microbes, particularly species of Trichoderma and Pseudomonas, will be investigated for activity against nematodes and tested in the greenhouse and field for suppression of nematode populations. 1B) Studies will be conducted at the Farming Systems Project (FSP), Beltsville, MD, in different cropping systems to identify management practices which promote plant-parasitic nematode regulation and lead to development of suppressive soils.  Soil nematodes with undetermined feeding habits will be studied to determine primary food sources in their native habitats. 2A) A diverse set of rye cultivars will be evaluated for M. incognita host status and benzoxazinoid content, cultivars will be tested in field trials for effects on nematode populatons on cotton and peanut, and fate of benzoxazinoids in soil will be determined. 2B) To identify nematotoxic activity from plant- and fungal-derived compounds, laboratory assays with root-knot nematodes will be conducted with various compounds, such as clove oil, fungal culture broth, and fescue root extracts.  Promising compounds will be further tested in the greenhouse.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,"Rice blast disease is caused by a fungus, and is one of the most economically important and destructive diseases of rice and related grasses, including barley, rye and pearl millet. Worldwide, this disease results in major epidemics and yield losses of rice. The utility of two historically important strategies for defeating the rice blast fungus, chemical pesticides and naturally occurring resistance in rice, is severely limited by the fungus' ability to overcome these strategies, rendering them ineffective. If we can pinpoint exactly how the fungus infects, grows within, and reproduces in its host plants, we can more accurately design novel disease control strategies. The ultimate goal of our project is to contribute knowledge towards understanding how the rice blast fungus infects its host plants. A successful infection of the host results from the fungus moving smoothly from one infective life cycle stage to the next, which can only be accomplished by careful control over the expression of its genes. There are several levels of gene control in many organisms ranging from humans to fruit flies. We will specifically target one of these levels, called small RNAs, in the rice blast fungus. Small RNAs are short stretches of nucleic acids that can `match' the sequence of specific genes within a genome. Extensive research on small RNAs has revealed that, along with other jobs, these tiny molecules can control whether a gene will be turned on or off; small RNAs represent a sort of `fine-tuning' mechanism for gene regulation. Thus far, little is known about small RNAs in filamentous fungi, particularly plant parasites; our study aims to fill in these gaps. To do this, we are using several approaches that complement each other; the first approach is genetic and involves `breaking' genes in the fungus that, based on their DNA sequences, might be involved in producing small RNAs. Once we have generated these mutants, we can see whether the small RNAs have disappeared, and what effect this has on growth of the fungus and its ability to infect host plants. Because small RNAs can control gene expression, we will look at expression of all fungal genes when small RNAs are gone (i.e. the mutants). What effect will a lack of small RNAs have on gene expression? What types of genes will be most effected? We can achieve this goal by using microarray technology; microarrays are microscope slides that contain every gene from our fungus. We will put the genetic complement from several of the mutants onto these slides, read the slides using a special scanner, and analyze the data; this data will tell us how genes change when small RNAs are no longer present. Finally, we will sequence small RNAs from the fungus under different environmental conditions, including wild type growth conditions, nutrient starvation, and while infecting the host plant. This will tell us quantity and type of small RNAs produced under different conditions. Together, these three approaches will provide a comprehensive survey into the roles of small RNAs- we will be able to see how they impact gene regulation of the fungus, and how this ties into growth and virulence.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,"Objective(s): Objective 1:  Determine the comparative efficacy of alternative chemicals to methyl bromide and develop methods that keep alternative fumigants as well as methyl bromide out of the atmosphere following postharvest fumigation.  ò	Sub-objective 1.A. Determine efficacy, practicality, and product quality (phytotoxicity) of alternative fumigants such as phosphine, sulfuryl fluoride, propylene oxide, ozone, and others to control postharvest commodity pests. ò	Sub-objective 1.B. Determine the efficacy of sulfuryl fluoride as an alternative to methyl bromide for use in flour/rice mills by direct comparison in laboratory and field experiments. ò	Sub-objective 1.C.  Test absorbent materials to find more efficient materials than coconut-based activated carbon to recapture methyl bromide and other fumigants.ò	Sub-objective 1.D.  Develop stacking and airflow techniques to maximize the efficiency of capturing methyl bromide from airstreams following commodity fumigation.Objective 2:  Electrophysiological and behavioral responses of pests to host compoundsò	Sub-objective 2.A.   Cigarette beetle host attractant identification and behavioral evaluation. ò	Sub-objective 2.B.   Navel Orangeworm host attractant identification and behavioral evaluation.Objective 3:   Develop combination quarantine treatments for foreign and domestic hay exports including timothy, alfalfa, oat, Bermuda, and Sudan grass hays and rye straw that utilize hay harvesting and postharvest handling procedures, and apply chemical fumigants to minimize human exposure.  Objective 4:  Develop models to accurately predict damage to nuts by navel orangeworm and determine the feasibility, accuracy, and precision of these predictions.ò	Sub-objective 4.A. Develop models for damage in Nonpareil and pollenizer almonds in Kern County based on previous yearÆs damage, harvest date and/or sanitation efficacy and then determine if these models can be extended to the entire almond belt  ò	Sub-objective 4.B. Determine if the methodologies or models developed for almonds can be used to predict navel orangeworm damage in pistachios  ò	Sub-objective 4.C. Develop models for almonds relating navel orangeworm damage to males captured in pheromone traps within the same year  Approach:Develop alternative chemical controls and quarantine fumigations for stored product insects. Develop equipment and investigate the feasibility of controlling fumigant emission to the atmosphere by trapping and destruction. Develop combinations of fumigants with other technologies to reduce the dosage of fumigant required to control or eradicate stored product and quarantine insects in durable and perishable commodities. Develop non-chemical control approaches for stored product pests of commodities to reduce the use of methyl bromide. Develop methods to detect infestations by detecting volatile emissions from insects and/or commodity. Develop methods to enhance or maintain quality of perishable commodities and ensure that treatments developed do not reduce quality of persihable commodities or shorten shelf-life.",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
9,"Objective(s): 1) Integrate small grains genetic and genomic data within the GrainGenes database and link to relevant external databases; 2) Develop software and interfaces to enhance utility for researchers.Approach:1) Extend development and curation within the GrainGenes project to include a suite of integrated databases and web-based resources for wheat, barley, rye, triticale, and oats research and improvement.  2) Carry out projects involving direct and collaborative support to those aspects of small grains genomics/genetics/molecular biology relevant to crop improvement. 3) Target user needs through meetings, personal interactions, and electronic communication with the small grains research community.  4) Develop improved displays and tools needed for improvement of the GrainGenes database and its inter-connections to other bioinformatics projects.   Previously  5325-21000-007-00D (7/03).   Replacing  5325-21000-010-00D (04/08).  BSL-1 (4/08).",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
