,ABSTRACT,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,"The objective of this research project is to synthesize a series of new heterometallic oxidation catalysts with a range of steric and electronic properties as a &ldquo;toolbox&rdquo; of catalysts. Ideally, each of these would be effective for the oxidation of only one functional group in a particular substrate. Chiral catalysts would be used for asymmetric oxidations. Molecular oxygen and hydrogen peroxide will be the only stoichiometric oxidants used. An additional objective is to find methods for the chemical transformation of agricultural products, such as fatty acids from soy, to fine chemicals. We also intend to prepare water-soluble catalysts for the oxidation of carbohydrates. To reduce the quantity of volatile organic solvents used in oxidation reactions, we will test water-soluble complexes for catalytic activity in water. Some complexes will be tested in alternative solvents, such as supercritical CO2. Supported metal complexes will be tested as heterogeneous catalysts.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"The objective of this research is to developthe fundamental science and engineering to support recent technology breakthroughsin the field of high-performance, low-cost composite resins and adhesives fromplant oils for new liquid molding and adhesion applications. These materialswill replace petroleum-based plastics, following the demise of the oil industryin the next 25 years. They also are highly integrated into the biofuels and biorefinerynational research programs. Professor Wool&#8217;s research focuses on (1) determinationof the optimal fatty acid distribution (FAD) function of chemically functionalizedplant oils (e.g., soy, corn, linseed, olive, sunflower) using simulation, vectorpercolation theory, and experiments to minimize the properties of crosslinkedtriglyceride networks in the matrix; (2) development of a natural and glass fibersizing or coupling agent using difunctionalized high oleic genetically engineeredoils, applied in situ in the liquid molding manufacturing step (resin transfermolding and vacuum-assisted resin transfer molding [VARTM]) to tailor the fiber-matrixinterface strength; (3) development of a rubber toughening particle (low glasstransition temperature [Tg]) using the new water-based pressure sensitive adhesive(PSA) micro-latex particle technology, applied during liquid molding to enhanceimpact strength and promote self-healing of damage, using high energy ion-clustersurfaces developed for sheet molding compound; (4) development of interfacialand matrix toughening (high Tg) agent using chemically modified lignin; (5) developmentof a natural fiber preform binder using a highly branched structure of the PSAlatex particles (linear chains); and (6) VARTM manufacture of the first largestructures using natural fiber preforms and the optimized bio-based resins insupport of the shaped engineered wood substitute materials proposed for new housingconstruction and civil infrastructure. Such applications of Professor Wool&#8217;snew materials include low-cost, hurricane-resistant roofs and tsunami shelterhouses.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,"A nanoparticle, according to the National Nanotechnology Initiative, has at least one dimension smaller than 100 nm. The nanocomposites that we have made are referred to as particulate nanocomposites since they consist of a uniform dispersion of rigid nanoscale particles in a matrix of a softer plastic. We used sub-microscopic cellulose and chitin nanofibers and nanocrystals derived from them by acid hydrolysis as the nanoparticles. The cellulose particles, which have transverse dimensions on the order of 10 nm, are derived from wood cells, seed hairs, grasses, certain bacterial capsules, recycled paper and board, or even from municipal solid waste They are produced by a combination of acid hydrolysis, cell disruption, and dispersion methods. Microfibril surface chemistry can be modified, where appropriate, to enhance compatibility of particles with the plastic matrix. In the present work, biodegradable polycaprolactone, cellulose esters, soybean oil polyesters, and polymethylmethacrylate were used as the matrix component of the composite. Our primary objective was to make wholly biobased and biodegradable nanocomposites using nanoparticles of cellulose as the reinforcing particle. These will be compared in terms of thermal and mechanical properties to existing glass filled composites made from petrochemicals. Because the reinforcing particles are microfibrils of cellulose or crystals derived from such microfibrils with transverse dimensions on the order of 10 nm, it is appropriate to classify these materials as nanocomposites. Subsidiary objectives included refining the methods for making the nanoparticles and working towards scale up of the production to small pilot plant levels, measuring the mechanical properties of the resulting composites. Finally, a study of biodegradability in aerobic, compost conditions was made.Sources of Nanoparticles:During the course of this work, nanoparticles were made from bacterial cellulose donated by C.P. Kelco, San Diego, CA; a tunicate, Ciona intestinalis, purchased from Woods Hole Biological Laboratories; cotton fiber, obtained from Whatman #1 filter paper; sugar beet, apple pomace, and orange pulp agricultural residues; commercial softwood pulp provided by Weyerhaeuser LLC; and maple wood and its kraft pulp product produced in the SUNY-ESF Bioprocess and Paper Engineering Department. In addition, we also made nanofibers and nanocrystals of chitin, a closely related polymer with N-acetyl-D-glucosamine as the monomer and the same &beta; (1-4) linkage as found in cellulose and obtained from arthropod exoskeletons. In our work, we used shrimp as our chitin source. Our rationale for adding chitin was twofold. First, the particles themselves have different solubility characteristics than cellulose, a fact that might prove useful in making composites with cellulose plastics. Second, the presence of an amine group might provide an easy route to surface modification with proteins.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,"The objectives are to:  Formulate microemulsion systems for motor oil and  triolein. This work will identify  specific surfactant molecules and linkers  and the concentration  of these additives ; will optimization  of the system based on cost per amount of oil solubilized; and will quantify   the solubilization capacity, interfacial tension (IFT),  characteristic length and interfacial rigidity.  Use the surfactant formulations with the most promising  results for hexadecane and motor oil found in Objective 1, and dissolve  a film of this oil deposited on a metal surface and fabric. Measure the amount of oil solubilized versus  time under different shear rate conditions.  Propose a model to explain the data based on different mass transfer  mechanisms for nanostructured fluids. Compare the results with volatile organic compound (VOC)  solvents.  Use the surfactant formulations with the most promising  results for triolein in vegetable oil extraction. Indicate the fraction of oil removed and  compare it with water and hexane extraction.  Investigate and compare the quality of the oil obtained under the  different systems. Correlate the  fraction of oil removed versus the interfacial tension of the equilibrium  microemulsion system and formulate a dynamic model for oil detachment. Improve  surfactant formulations and apply to vegetable oil such as peanut oil, soybean  oil,  canola  oil,  etc. Estimate and compare the cost of  the different alternative solvents and assess their   economic feasibility.  Develop  a general model that will correlate oil solubilization/displacement with the  nanoscale interfacial properties of a microemulsion  system (interfacial tension, characteristic length, interfacial rigidity,  and interfacial curvature) and with the  flow shear conditions of the system.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,"Objective(s): Biodiesel is an alternative diesel fuel derived from vegetable oils, animal fats or used oils.  While it is competitive with (in some aspects even technically superior to) conventional, petroleum derived diesel fuel, its use is still affected by several technical issues that hinder more widespread commercialization.  Therefore, this project proposes to improve the combustion characteristics and fuel properties of vegetable oils (emphasizing soybean oil) and their derivatives as alternative diesel fuels, extenders, and additives in the operation of compression ignition (diesel) engines for on road and off road applications.  Fatty derivatives will be utilized for performance enhancement and exhaust emission reduction (e.g. nitrogen oxides).  Specific objectives for this project include: 1) Improved cold weather start up and operability performance. 2) Novel fuel formulations that reduce regulated exhaust emissions such as nitrogen oxides.  3) Improvement of fuel quality through enhanced oxidative stability and development of new, rapid analytical methods for assessing biodiesel fuel quality.  4) Development of specialty chemicals from biodiesel co-products.Approach:Improve the fuel properties and combustion characteristics of vegetable oils (emphasizing soybean oil) and their derivatives as alternative fuels, extenders, and additives in the operation of compression ignition (diesel) engines for on road and off road applications.  Address technical problems identified by stakeholders and customers.  Specific objectives for this project include: develop new alternative fuel formulations with improved cold weather start up and operability performance without compromising fuel quality as defined by appropriate standard fuel specifications; develop alternative fuel formulations with improved combustion performance that reduces harmful, regulated exhaust emissions such as nitrogen oxides, carbon monoxide and particulate matter; develop new biodiesel formulations with improved storage stability with respect to oxidative degradation; develop rapid instrumental methods for monitoring effects of degradation on biodiesel fuel quality during storage, as defined by appropriate standard fuel specifications; identify and develop novel specialty chemicals that may be prepared from glycerol, mono, and diacylglycerols as marketable co products of biodiesel production.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,"Objective(s): 1) Develop and evaluate autonomous wind-powered water pumping systems for irrigation, livestock, and farmstead water by developing farm size inverter and rectifier based controllers to increase the amount of useable energy available to the pump and by developing control strategies that prioritize and distribute electrical power to multiple loads (for example - pumps, water heaters, batteries, balancer loads).  2) Optimize the volume of water delivered for irrigation, livestock, and farmstead uses from various types of pumps using electricity produced from photovoltaic (PV) solar panels.  Complete pumping systems will be evaluated including pumps, motors, controllers and solar panels.  3) Measure engine performance and exhaust emissions of stationary engines used for electric power generation and irrigation pumping when fueled by biodiesel.Approach:The wind-powered water pumping activity will focus on controlling pumps and wind turbines with permanent magnet alternators during high wind speed (> 12 m/s) operation.  At wind speeds greater than 12 m/s, present controllers often allow the wind turbine to run offline, which results in excessive noise, no water pumped, and possible catastrophic failure of the wind turbine.  This effort is to design a controller that uses a different type of control logic that will allow the turbine to remain loaded at these higher wind speeds (higher voltages and frequencies), continue to pump water, and be cost effective.  Constant voltage, constant frequency utility AC power will be used to verify the basic controller functions.  Variable voltage, constant frequency AC utility power will be used to verify pump control operations.  Variable voltage, variable frequency AC power (from a wind turbine) will be used for the final bench test and the field testing of each controller.  Cost-benefit analyses will be conducted to compare the cost of wind pumping to electric utility, natural gas, diesel, or gasoline powered pumping.  Four different types of pumps will be tested to determine optimum pumping depths and flow rates when powered by solar photovoltaic panels.  Both AC and DC electric motors will be used to determine the best motor/controller combination for each type of pump.  A diaphragm, piston, and helical pump will be used for small flow rates (livestock and domestic use) and a centrifugal pump will be used for higher flows needed for irrigation.  An appropriate controller which is designed for water pumping, as opposed to battery charging, will be used with each system.  The research focus will be to develop guidelines for selecting the appropriate pumping system for each pumping condition encountered, whether it be for livestock, domestic use, or irrigation.The emissions from vehicle engines operating on biodiesel derived from soybeans is well documented; however, actual measurements of emissions from irrigation engines or engines producing electric power are not easily obtained.  These studies are planned to field measure the typical exhaust emissions from stationary and off-road engines using commercially available testing equipment.  The main parameters to be measured are total unburned hydrocarbons, carbon monoxide, particulate matter, nitrogen oxides, sulfates, polycyclic aromatic hydrocarbon, and ozone.  At the same time we will record various engine performance parameters such as but not limited to: fuel efficiency, power output, throttle response, performance degradation in response to constant and varying loads.  Evaluation of the effects of the biodiesel formulations on engine oil, coolant, and the fuel system will also be noted.  Biodiesel derived from soybeans, rapeseed, and used cooking oil or fats are planned to be included in these experiments.  Other fuels, derived from additional feedstocks, will be considered after initial testing with these commercially available fuels.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,"Objective(s): To provide a holding project in the Mid South Area Office until administrative action is taken to establish an ARS Location at Jackson, TN.  Research will be conducted to abate increases in disease pressure that are attributed to current soybean management practices on highly erodable soils of Tennessee and other Southern states.  Modern genetic and plant pathological approaches will be used to enhance soybean resistance to relevant foliar diseases in no-tillage production systems.  Research also will be conducted to determine the interaction of soil nutrient stress and water quality on disease incidence in site-specific soybean production systems.Approach:To provide a holding project in the Mid South Area Office until administrative action is taken to establish an ARS Location at Jackson, TN.  Research will be conducted to abate increases in disease pressure that are attributed to current soybean management practices on highly erodable soils of Tennessee and other Southern states.  Modern genetic and plant pathological approaches will be used to enhance soybean resistance to relevant foliar diseases in no-tillage production systems.  Research also will be conducted to determine the interaction of soil nutrient stress and water quality on disease incidence in site-specific soybean production systems.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Objective(s): LAB:Lipid MetabolismTo determine the effect of altering dietary composition by restricting carbohydrates, fats, glycemic load, or total calories on body weight, and cardiovascular risk factors in overweight and obese subjects in the free-living state.To determine the effect of altering fat and carbohydrate level as well as carbohydrate type or glycemic index and load on weight loss and cardiovascular risk factors in overweight or obese subjects, under controlled, ad libitum, and isoweight conditions.To determine the effect of the standard 2005 Pyramid Diet versus a low glycemic load Pyramid Diet on weight loss and heart disease risk factors in overweight and obese subjects living in a free-living state.To develop and test an interactive web-based program to provide an optimal diet and exercise program for middle-aged and elderly subjects for weight and heart disease reduction.To observe the interactions of nutritional factors, especially intake of calories, types of fat, types of carbohydrate, level of physical activitiy, and different genetic factors on lipoprotein subspecies, obesity, metabolic sydrome, inflammatory markers, and heart disease risk in overweight and obese subjects with premature cardiovascular disease as compared to age and gender-matched control subjects within populations.To determine the in vitro and in vivo effects of dietary fatty acids, cholesterol, carbohydrates, hormone levels, hormonal replacement, B vitamins, cholesterol biosynthesis inhibition and cholesteryl ester transfer protein inhibition on lipoprotein metabolism and gene expression, and inflammation in human liver cells (HepG2) and in human subjects under metabolic ward conditions using stable isotopes.LAB:Cardiovascular Nutrition1) Examine the efficacy of selectively bred and genetically modified vegetable oils and new sources of plant sterols on cardiovascular disease risk factors in middle-aged and older hypercholesterolemic female and male subjects.2) Determine the effect of soy protein on cardiovascular risk factors in middle-aged and older hypercholesterolemic female and male subjects.3) Determine the impact of diet and genotype on cholesterol homeostasis and cardiovascular health in the Framingham Offspring Study-Cycle 6.4) Relate diet-induced changes in plasmalipid and lipoprotein levels to functional changes in gene expression and atherosclerotic lesion formation in Golden-Syrian hamsters.Approach:LAB: Lipid MetabolismAnalyses of data in 160 overweight and obese subjects who were randomized to a one year program to test the efficacy of the Atkins (low carbohydrate), Ornish (low fat), Weight Watchers, (balanced caloric restriction) and Zone Diets (high protein, low glycemic index) in promoting weight loss and heart disease risk reduction. Complete studies in 80 overweight and obese people given controlled feeding studies in which calories were restricted by one third to determine whether fat restriction (15% versus 30%) or glycemic index (high versus low) of the carbohydrate had impact on weight loss, body composition, and heart disease risk factors (blood pressure, glucose, lipid levels, C reactive protein) other than through caloric restriction. Carry out controlled feeding and metabolic studies in 20 subjects comparing the effects of sucrose and starch isocalorically on plasma lipoprotein metabolism. Collect DNA samples on 1000 obese subjects and compare their genotypes at specific gene loci related to obesity versus an equal number of control subjects. Develop and test a web based diet and exercise program for weight loss and heart disease risk reduction in obese subjects (n=100). Carry out animal (rabbit) and cell studies (human hepatoma G2 cells) to examine the effects of different types of carbohydrates and fatty acids on the expressions of genes involved in lipid metabolism and inflammation. LAB:Cardiovascular NutritionDiets will be developed that incorporate 20% of energy as the experimental fat (2/3 of the total fat content of the diet), with the balance of the macronutrients consistent with current recommnedations to maintain heart health.  Human studies will likewise be carried out to assess the effect of foods derived from soybeans but varying in processing technique on measures of cardiovascular health in middle-aged and older hypercholesterolemic female and male subjects.  Diets will be developed that incorporate 10% of energy as soybean derived protein.  Using samples previously collected from the Framingham Offspring Study, the cardiovascular nutrition lab will quantify plasma concentrations of indicators of cholesterol homeostasis in study participants diagnosed with cardiovascular disease and/or >50% carotid stenosis and matched control subjects and integrate these data with the pertinent dietary, biochemical and genetic data available.  Subsequent work will characterize the balance of plasma samples to established normal ranges for the indicators of cholesterol homeostasis.  Lastly, in order to understand the underlying mechanisms by which diet alters plasma lipid and lipoprotein concentrations, hence heart disease risk, the Golden-Syrian hamster will be used as an animal model to relate diet-induced changes in plasma lipid and lipoprotein levels to functional changes in gene expression and atherosclerotic lesion formation.",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
8,"Objective(s): 1) Develop thermal (50-90 C) and non-thermal (<25 C) extrusion-based processes that alter the structures of whey proteins (texturize), identify the process conditions, and develop models that relate the conditions to the quality attributes of texturized proteins.  2) Create co-products linking the texturized whey proteins with carbohydrate and protein polymers such as soy proteins to make health-enhancing products.  Characterize the rheological and viscoelastic properties of the texturized whey protein co-products as specialized ingredients with improved quality and functionality.Approach:Changes in texture of whey protein concentrates and isolates, alone or in combination with starches and polysaccharides, will be induced through thermal and non-thermal processing.  Thermal and non-thermal extrusion process parameters that affect structure and function relative to texturization of whey proteins will be determined.  The properties of the shear-texturized proteins, such as elasticity, gelling strength, expansion, foaming and porosity will be evaluated, along with the rheology and network structure shear-induced viscosity changes that result from changes in protein structure.  The thermal and non-thermal texturized proteins will be used alone or to create co-products which will be linked with other polymers such as soy, carbohydrates and other dairy proteins, to create functionalized foods such as low carbohydrate or low-glycemic index snacks, meat extenders and meat analogs.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,"Objective(s): Determine the effects of diet and nutritional status on psychological and psychoneurophysiological development and other brain-related functions of infants, toddlers, and school-aged children. The overall goal of these studies is to: 1) determine how diet and nutrition affect central nervous system development as measured by non-invasive tools (i.e., psychological testing, multi-channel recording of evoked potentials and fMRI) that can assess brain function and can predict such important areas as language acquisition, learning abilities, cognition, attention, and other behaviors; and 2) determine perceived barriers and facilitators to adhering to the Dietary Guidelines for Americans (DGA) food choice and physical activity recommendations.Approach:Children (infants, toddlers, and school-aged youths) will be studied using a variety of well established and safe assessment tools to determine various central nervous system (CNS) functions. Several psychological and psychoneurophysiological tests have been developed specially for infants (starting at age one day) and children. These will be used to study the effects of diet and nutritional status on brain development and function. The short-term and long-term effects of breast feeding and/or formula on growth, body composition, development, and nutritional status will be studied. Nutritional status assessments, anthropometric measurements, urine and blood analysis, and measures of psychological, neuropsychological and cognitive measures will be obtained and analyzed. The effects of diet (i.e., breast milk, milk-based and soy-based formula, school breakfast, and school lunch) on these measures will be studied. Survey instruments will be validated for use with children and their caregivers to determine perceived barriers and facilitators to adhering to the Dietary Guidelines for Americans (DGA) food choice and physical activity recommendations.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
